Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[collision energy]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 41	proteomic profiling by mass spectrometry	QExHF03707.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03707.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 42	proteomic profiling by mass spectrometry	QExHF03709.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03709.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 43	proteomic profiling by mass spectrometry	QExHF03713.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03713.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 44	proteomic profiling by mass spectrometry	QExHF03715.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03715.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 45	proteomic profiling by mass spectrometry	QExHF03717.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03717.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 46	proteomic profiling by mass spectrometry	QExHF03719.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03719.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 47	proteomic profiling by mass spectrometry	QExHF03721.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03721.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 48	proteomic profiling by mass spectrometry	QExHF03723.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03723.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 49	proteomic profiling by mass spectrometry	QExHF03727.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03727.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 50	proteomic profiling by mass spectrometry	QExHF03729.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03729.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 51	proteomic profiling by mass spectrometry	QExHF03731.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03731.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 52	proteomic profiling by mass spectrometry	QExHF03733.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03733.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 53	proteomic profiling by mass spectrometry	QExHF03735.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03735.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
PXD010690-Sample 1	Homo sapiens	Brain	not available	not available	not applicable	not available	not available	not available	1	whole organism	run 54	proteomic profiling by mass spectrometry	QExHF03737.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2018/09/PXD010690/QExHF03737.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	HCD	24% NCE	27% NCE	30% NCE	5 ppm	0.5 Da	not available
