source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
MSV000085836-Sample-25	Homo sapiens	Skin	not available	A2058	not available	1	run 78	f04745_Prot_03_F06.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04745_Prot_03_F06.raw	1	6	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A2058
MSV000085836-Sample-26	Homo sapiens	Liver	not available	huH-1	not available	1	run 78	f04745_Prot_03_F06.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04745_Prot_03_F06.raw	1	6	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	huH-1
MSV000085836-Sample-27	Homo sapiens	Large Intestine	not available	MDST8	not available	1	run 78	f04745_Prot_03_F06.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04745_Prot_03_F06.raw	1	6	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDST8
MSV000085836-Sample-19	Homo sapiens	Pancreas	not available	PA-TU-8988T	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	PA-TU-8988T
MSV000085836-Sample-20	Homo sapiens	Ovary	not available	COV362	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	COV362
MSV000085836-Sample-21	Homo sapiens	Breast	not available	JIMT-1	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	JIMT-1
MSV000085836-Sample-22	Homo sapiens	Skin	not available	A-375	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A-375
MSV000085836-Sample-23	Homo sapiens	Breast	not available	KPL-1	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	KPL-1
MSV000085836-Sample-24	Homo sapiens	Large Intestine	not available	SW620	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	SW620
MSV000085836-Sample-25	Homo sapiens	Skin	not available	A2058	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A2058
MSV000085836-Sample-26	Homo sapiens	Liver	not available	huH-1	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	huH-1
MSV000085836-Sample-27	Homo sapiens	Large Intestine	not available	MDST8	not available	1	run 79	f04746_Prot_03_F07.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04746_Prot_03_F07.raw	1	7	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDST8
MSV000085836-Sample-19	Homo sapiens	Pancreas	not available	PA-TU-8988T	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	PA-TU-8988T
MSV000085836-Sample-20	Homo sapiens	Ovary	not available	COV362	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	COV362
MSV000085836-Sample-21	Homo sapiens	Breast	not available	JIMT-1	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	JIMT-1
MSV000085836-Sample-22	Homo sapiens	Skin	not available	A-375	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A-375
MSV000085836-Sample-23	Homo sapiens	Breast	not available	KPL-1	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	KPL-1
MSV000085836-Sample-24	Homo sapiens	Large Intestine	not available	SW620	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	SW620
MSV000085836-Sample-25	Homo sapiens	Skin	not available	A2058	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A2058
MSV000085836-Sample-26	Homo sapiens	Liver	not available	huH-1	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	huH-1
MSV000085836-Sample-27	Homo sapiens	Large Intestine	not available	MDST8	not available	1	run 80	f04747_Prot_03_F08.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	1	8	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDST8
MSV000085836-Sample-19	Homo sapiens	Pancreas	not available	PA-TU-8988T	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	PA-TU-8988T
MSV000085836-Sample-20	Homo sapiens	Ovary	not available	COV362	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	COV362
MSV000085836-Sample-21	Homo sapiens	Breast	not available	JIMT-1	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	JIMT-1
MSV000085836-Sample-22	Homo sapiens	Skin	not available	A-375	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A-375
MSV000085836-Sample-23	Homo sapiens	Breast	not available	KPL-1	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	KPL-1
MSV000085836-Sample-24	Homo sapiens	Large Intestine	not available	SW620	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	SW620
MSV000085836-Sample-25	Homo sapiens	Skin	not available	A2058	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A2058
MSV000085836-Sample-26	Homo sapiens	Liver	not available	huH-1	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	huH-1
MSV000085836-Sample-27	Homo sapiens	Large Intestine	not available	MDST8	not available	1	run 81	f04748_Prot_03_F09.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	1	9	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDST8
MSV000085836-Sample-19	Homo sapiens	Pancreas	not available	PA-TU-8988T	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	PA-TU-8988T
MSV000085836-Sample-20	Homo sapiens	Ovary	not available	COV362	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	COV362
MSV000085836-Sample-21	Homo sapiens	Breast	not available	JIMT-1	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	JIMT-1
MSV000085836-Sample-22	Homo sapiens	Skin	not available	A-375	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A-375
MSV000085836-Sample-23	Homo sapiens	Breast	not available	KPL-1	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	KPL-1
MSV000085836-Sample-24	Homo sapiens	Large Intestine	not available	SW620	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	SW620
MSV000085836-Sample-25	Homo sapiens	Skin	not available	A2058	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	A2058
MSV000085836-Sample-26	Homo sapiens	Liver	not available	huH-1	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	huH-1
MSV000085836-Sample-27	Homo sapiens	Large Intestine	not available	MDST8	not available	1	run 82	f04749_Prot_03_F10.raw	ftp://massive.ucsd.edu/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	1	10	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=HCD;AC=PRIDE:0000590	not available	20 ppm	1.0 Da	MDST8
