source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[pooled sample]	assay name	technology type	comment[assay_id]	comment[label]	comment[channel_id]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[Number of missed cleavages]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[file uri]	comment[data file]	factor value[cell line]
MSV000085836-Sample-65	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A-375	1	not pooled	run 80	proteomic profiling by mass spectrometry	3	TMT128C	5	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	A-375
MSV000085836-Sample-66	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A2058	1	not pooled	run 80	proteomic profiling by mass spectrometry	3	TMT129N	6	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	A2058
MSV000085836-Sample-67	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	SW620	1	not pooled	run 80	proteomic profiling by mass spectrometry	3	TMT129C	7	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	SW620
MSV000085836-Sample-68	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	MDST8	1	not pooled	run 80	proteomic profiling by mass spectrometry	3	TMT130N	8	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	MDST8
MSV000085836-Sample-69	Homo sapiens	Liver	cancer or benign tumor	disease cell type	huH-1	1	not pooled	run 80	proteomic profiling by mass spectrometry	3	TMT130C	9	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	huH-1
MSV000085836-Sample-70	Homo sapiens	mixed	cancer or benign tumor	disease cell type	mixed	1	"SN=CAL33_UPPER_AERODIGESTIVE_TRACT,HS578T_BREAST,SW837_LARGE_INTESTINE,WM2664_SKIN,CAL51_BREAST,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH1581_LUNG,NCIH82_LUNG,SW480_LARGE_INTESTINE"	run 80	proteomic profiling by mass spectrometry	3	TMT131	10	8	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04747_Prot_03_F08.raw	f04747_Prot_03_F08.raw	mixed
MSV000085836-Sample-61	Homo sapiens	Pancreas	cancer or benign tumor	disease cell type	PA-TU-8988T	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT126	1	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	PA-TU-8988T
MSV000085836-Sample-62	Homo sapiens	Breast	cancer or benign tumor	disease cell type	JIMT-1	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT127N	2	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	JIMT-1
MSV000085836-Sample-63	Homo sapiens	Ovary	cancer or benign tumor	disease cell type	COV362	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT127C	3	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	COV362
MSV000085836-Sample-64	Homo sapiens	Breast	cancer or benign tumor	disease cell type	KPL-1	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT128N	4	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	KPL-1
MSV000085836-Sample-65	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A-375	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT128C	5	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	A-375
MSV000085836-Sample-66	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A2058	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT129N	6	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	A2058
MSV000085836-Sample-67	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	SW620	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT129C	7	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	SW620
MSV000085836-Sample-68	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	MDST8	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT130N	8	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	MDST8
MSV000085836-Sample-69	Homo sapiens	Liver	cancer or benign tumor	disease cell type	huH-1	1	not pooled	run 81	proteomic profiling by mass spectrometry	3	TMT130C	9	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	huH-1
MSV000085836-Sample-70	Homo sapiens	mixed	cancer or benign tumor	disease cell type	mixed	1	"SN=CAL33_UPPER_AERODIGESTIVE_TRACT,HS578T_BREAST,SW837_LARGE_INTESTINE,WM2664_SKIN,CAL51_BREAST,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH1581_LUNG,NCIH82_LUNG,SW480_LARGE_INTESTINE"	run 81	proteomic profiling by mass spectrometry	3	TMT131	10	9	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04748_Prot_03_F09.raw	f04748_Prot_03_F09.raw	mixed
MSV000085836-Sample-61	Homo sapiens	Pancreas	cancer or benign tumor	disease cell type	PA-TU-8988T	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT126	1	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	PA-TU-8988T
MSV000085836-Sample-62	Homo sapiens	Breast	cancer or benign tumor	disease cell type	JIMT-1	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT127N	2	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	JIMT-1
MSV000085836-Sample-63	Homo sapiens	Ovary	cancer or benign tumor	disease cell type	COV362	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT127C	3	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	COV362
MSV000085836-Sample-64	Homo sapiens	Breast	cancer or benign tumor	disease cell type	KPL-1	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT128N	4	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	KPL-1
MSV000085836-Sample-65	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A-375	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT128C	5	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	A-375
MSV000085836-Sample-66	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A2058	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT129N	6	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	A2058
MSV000085836-Sample-67	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	SW620	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT129C	7	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	SW620
MSV000085836-Sample-68	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	MDST8	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT130N	8	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	MDST8
MSV000085836-Sample-69	Homo sapiens	Liver	cancer or benign tumor	disease cell type	huH-1	1	not pooled	run 82	proteomic profiling by mass spectrometry	3	TMT130C	9	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	huH-1
MSV000085836-Sample-70	Homo sapiens	mixed	cancer or benign tumor	disease cell type	mixed	1	"SN=CAL33_UPPER_AERODIGESTIVE_TRACT,HS578T_BREAST,SW837_LARGE_INTESTINE,WM2664_SKIN,CAL51_BREAST,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH1581_LUNG,NCIH82_LUNG,SW480_LARGE_INTESTINE"	run 82	proteomic profiling by mass spectrometry	3	TMT131	10	10	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04749_Prot_03_F10.raw	f04749_Prot_03_F10.raw	mixed
MSV000085836-Sample-61	Homo sapiens	Pancreas	cancer or benign tumor	disease cell type	PA-TU-8988T	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT126	1	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	PA-TU-8988T
MSV000085836-Sample-62	Homo sapiens	Breast	cancer or benign tumor	disease cell type	JIMT-1	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT127N	2	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	JIMT-1
MSV000085836-Sample-63	Homo sapiens	Ovary	cancer or benign tumor	disease cell type	COV362	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT127C	3	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	COV362
MSV000085836-Sample-64	Homo sapiens	Breast	cancer or benign tumor	disease cell type	KPL-1	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT128N	4	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	KPL-1
MSV000085836-Sample-65	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A-375	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT128C	5	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	A-375
MSV000085836-Sample-66	Homo sapiens	Skin	cancer or benign tumor	disease cell type	A2058	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT129N	6	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	A2058
MSV000085836-Sample-67	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	SW620	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT129C	7	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	SW620
MSV000085836-Sample-68	Homo sapiens	Large Intestine	cancer or benign tumor	disease cell type	MDST8	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT130N	8	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	MDST8
MSV000085836-Sample-69	Homo sapiens	Liver	cancer or benign tumor	disease cell type	huH-1	1	not pooled	run 83	proteomic profiling by mass spectrometry	3	TMT130C	9	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	huH-1
MSV000085836-Sample-70	Homo sapiens	mixed	cancer or benign tumor	disease cell type	mixed	1	"SN=CAL33_UPPER_AERODIGESTIVE_TRACT,HS578T_BREAST,SW837_LARGE_INTESTINE,WM2664_SKIN,CAL51_BREAST,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH1581_LUNG,NCIH82_LUNG,SW480_LARGE_INTESTINE"	run 83	proteomic profiling by mass spectrometry	3	TMT131	10	11	NT=Orbitrap Fusion Lumos	NT=TMT6plex;PP=Any N-term;AC=UNIMOD:737;MT=fixed	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	"NT=Deamidation;TA=N,Q;AC=UNIMOD:7;MT=variable"	NT=Trypsin;AC=MS:1001260	2	20 ppm	0.5 Da	1	ftp://massive.ucsd.edu/v01/MSV000085836/MSV000085836/raw/raw/f04750_Prot_03_F11.raw	f04750_Prot_03_F11.raw	mixed
