Esto estaba dentro del .raw SerumVSPlasma, pero luego pone liver etc																																																		
Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F15	Library7_F15	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3326	21256	0	26682	15830	0	10852	2015	1906	0	109	7.55	12.04	NaN	1	1282	227428	18727	8.23	488	2.61	38762	14721	14280	37.98	43.43	978	6.64	+	0.68901	0.9362	0.49828	0.7203	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F16	Library7_F16	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3173	20603	0	25844	15362	0	10482	1819	1737	0	82	7.04	11.31	NaN	0.78	1206	232810	18127	7.79	510	2.81	39562	14321	13859	36.2	41.47	908	6.34	+	0.67807	0.93034	0.49829	0.73753	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F17	Library7_F17	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2924	18508	0	23063	13953	0	9110	1463	1415	0	48	6.34	10.14	NaN	0.53	1000	222078	16275	7.33	522	3.21	36989	12940	12541	34.98	41.28	838	6.48	+	0.68017	0.9348	0.48527	0.72845	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F18	Library7_F18	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3049	18789	0	23182	14396	0	8786	1543	1474	0	69	6.66	10.24	NaN	0.79	1036	218859	16551	7.56	524	3.17	37440	13403	13036	35.8	41.61	862	6.43	+	0.65948	0.89452	0.46647	0.69156	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F19	Library7_F19	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2458	20157	0	25515	14799	0	10716	1727	1633	0	94	6.77	11.03	NaN	0.88	1087	216150	17694	8.19	565	3.19	37461	13717	13113	36.62	41.49	905	6.6	+	0.68259	0.92645	0.48405	0.69779	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F20	Library7_F20	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		2690	18991	0	23418	14564	0	8854	1735	1659	0	76	7.41	11.39	NaN	0.86	1139	216293	16857	7.79	494	2.93	38407	13650	13180	35.54	41.01	790	5.79	+	0.66143	0.91811	0.4742	0.72059	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F21	Library7_F21	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3446	23560	0	29103	18017	0	11086	2059	1968	0	91	7.07	10.92	NaN	0.82	1322	237822	20737	8.72	497	2.4	44454	16956	16454	38.14	44.23	932	5.5	+	0.70573	0.96117	0.49076	0.70204	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F22	Library7_F22	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3839	22277	0	28069	16483	0	11586	1945	1836	0	109	6.93	11.14	NaN	0.94	1269	221211	19094	8.63	502	2.63	40137	15442	14989	38.47	44.16	912	5.91	+	0.72996	0.98136	0.50927	0.72699	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F23	Library7_F23	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3850	24479	0	30156	18802	0	11354	2241	2122	0	119	7.43	11.29	NaN	1.05	1444	239357	21601	9.02	521	2.41	44525	17693	17243	39.74	45.21	961	5.43	+	0.72384	0.96977	0.52872	0.7538	
20170405_QEp2_PhGe_SA_LC12-14_Liver_Human_3_F24	Library7_F24	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		Standard		3792	22663	0	27785	17541	0	10244	1980	1922	0	58	7.13	10.96	NaN	0.57	1275	238274	20089	8.43	545	2.71	43947	16459	15995	37.45	42.92	934	5.67	+	0.65499	0.8898	0.46517	0.66622	
20171024_QX1_PhGe_SA_LC12-14_0g	0g	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8543	10625	0	11262	9988	0	1274	2891	2806	0	85	25.67	28.09	NaN	6.67	1867	1887172	9854	0.52	481	4.88	321147	9092	8953	2.83	3.57	603	6.63	+	0.64485	0.82183	0.4437	0.61729	
20171024_QX1_PhGe_SA_LC12-14_100g_171105123039	100g	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8511	10503	0	11544	9462	0	2082	2698	2571	0	127	23.37	27.17	NaN	6.1	1538	1901037	9137	0.48	764	8.36	271544	8022	7845	2.95	3.67	798	9.95	+	0.81238	1.0014	0.54261	0.73355	
20171024_QX1_PhGe_SA_LC12-14_200g_171105134609	200g	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8542	10620	0	11386	9854	0	1532	2604	2507	0	97	22.87	25.44	NaN	6.33	1547	1841145	9647	0.52	577	5.98	305900	8798	8631	2.88	3.62	674	7.66	+	0.85441	1.0905	0.5993	0.85454	
20171024_QX1_PhGe_SA_LC12-14_500g	500g	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8562	10641	0	11455	9827	0	1628	2631	2515	0	116	22.97	25.59	NaN	7.13	1540	1790182	9704	0.54	561	5.78	306796	8832	8671	2.88	3.63	657	7.44	+	0.71351	0.92049	0.49169	0.69483	
20171024_QX1_PhGe_SA_LC12-14_2000g	2000g	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8533	10614	0	11312	9916	0	1396	2610	2527	0	83	23.07	25.48	NaN	5.95	1544	1863555	9698	0.52	533	5.5	310066	8910	8771	2.87	3.61	637	7.15	+	0.62814	0.82835	0.44068	0.665	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_1_171108193640	Direct_Volumenfraction_1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8473	10486	0	11259	9713	0	1546	2324	2229	0	95	20.64	22.95	NaN	6.14	1409	1832760	9535	0.52	559	5.86	303640	8634	8467	2.84	3.62	665	7.7	+	0.78644	1.0265	0.53786	0.75916	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_2_171108204252	Direct_Volumenfraction_2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8481	10542	0	11341	9743	0	1598	2411	2352	0	59	21.26	24.14	NaN	3.69	1450	1847648	9683	0.52	498	5.14	313916	8758	8577	2.79	3.52	617	7.04	+	0.63598	0.80452	0.42881	0.584	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_3_171108214909	Direct_Volumenfraction_3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8533	10501	0	11194	9808	0	1386	2474	2411	0	63	22.1	24.58	NaN	4.55	1444	1942774	9702	0.5	457	4.71	334588	8900	8751	2.66	3.35	594	6.67	+	0.76893	0.97747	0.53022	0.7346	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_4_171108225658	Direct_Volumenfraction_4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8510	10537	0	11311	9763	0	1548	2343	2252	0	91	20.71	23.07	NaN	5.88	1415	1877221	9686	0.52	479	4.95	325075	8862	8711	2.73	3.45	595	6.71	+	0.71864	0.92093	0.50595	0.71428	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_5	Direct_Volumenfraction_5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8474	10480	0	11228	9732	0	1496	2292	2240	0	52	20.41	23.02	NaN	3.48	1420	1823789	9669	0.53	477	4.93	315184	8807	8628	2.79	3.54	579	6.57	+	0.86931	1.0752	0.59638	0.785	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_6	Direct_Volumenfraction_6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8459	10470	0	11222	9718	0	1504	2308	2240	0	68	20.57	23.05	NaN	4.52	1484	1875768	9718	0.52	438	4.51	320809	8881	8701	2.77	3.5	556	6.26	+	0.87675	1.0936	0.60306	0.81328	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_7	Direct_Volumenfraction_7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8446	10426	0	11185	9667	0	1518	2258	2187	0	71	20.19	22.62	NaN	4.68	1449	1838097	9651	0.53	451	4.67	316897	8817	8626	2.78	3.51	546	6.19	+	0.87954	1.0917	0.60792	0.82363	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_8	Direct_Volumenfraction_8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8469	10476	0	11165	9787	0	1378	2292	2253	0	39	20.53	23.02	NaN	2.83	1462	1895765	9707	0.51	437	4.5	329139	8948	8748	2.72	3.42	539	6.02	+	0.91857	1.1352	0.63183	0.84109	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_9	Direct_Volumenfraction_9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8467	10477	0	11158	9796	0	1362	2291	2241	0	50	20.53	22.88	NaN	3.67	1491	1888090	9755	0.52	424	4.35	327147	8988	8819	2.75	3.47	527	5.86	+	0.69327	0.8845	0.47193	0.64971	
20171024_QX1_PhGe_SA_LC12-14_Direct_Volumefraction_Pool	Direct_Volumenfraction_Pool	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8461	10465	0	11196	9734	0	1462	2253	2214	0	39	20.12	22.75	NaN	2.67	1439	1868980	9706	0.52	426	4.39	323808	8912	8739	2.75	3.48	550	6.17	+	0.84998	1.0595	0.5774	0.77153	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_1	FalconDirect_Volumenfraction_1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8447	10513	0	11192	9834	0	1358	2318	2294	0	24	20.71	23.33	NaN	1.77	1501	1884386	9782	0.52	426	4.35	325859	9015	8825	2.77	3.49	547	6.07	+	0.81172	1.0042	0.55533	0.75078	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_2	FalconDirect_Volumenfraction_2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8476	10545	0	11186	9904	0	1282	2395	2362	0	33	21.41	23.85	NaN	2.57	1507	1915296	9773	0.51	434	4.44	334017	9032	8861	2.7	3.4	555	6.14	+	0.69764	0.89726	0.47998	0.67121	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_3_171109175051	FalconDirect_Volumenfraction_3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8475	10486	0	11169	9803	0	1366	2278	2218	0	60	20.4	22.63	NaN	4.39	1449	1877298	9785	0.52	403	4.12	327827	8998	8846	2.74	3.44	546	6.07	+	0.87045	1.0823	0.60357	0.81523	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_4	FalconDirect_Volumenfraction_4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8440	10475	0	11228	9722	0	1506	2223	2178	0	45	19.8	22.4	NaN	2.99	1439	1899673	9746	0.51	422	4.33	328124	8915	8723	2.72	3.4	536	6.01	+	0.77961	0.98137	0.53616	0.72638	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_5	FalconDirect_Volumenfraction_5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8459	10509	0	11186	9832	0	1354	2326	2281	0	45	20.79	23.2	NaN	3.32	1483	1897446	9761	0.51	419	4.29	329896	9004	8834	2.73	3.43	545	6.05	+	0.88708	1.0913	0.6005	0.78369	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_6	FalconDirect_Volumenfraction_6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8462	10511	0	11251	9771	0	1480	2292	2242	0	50	20.37	22.95	NaN	3.38	1456	1918083	9748	0.51	452	4.64	332197	8926	8752	2.69	3.37	538	6.03	+	0.88202	1.0946	0.61457	0.83161	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_7	FalconDirect_Volumenfraction_7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8409	10462	0	11117	9807	0	1310	2266	2210	0	56	20.38	22.53	NaN	4.27	1467	1849041	9758	0.53	425	4.36	319390	8970	8812	2.81	3.53	558	6.22	+	0.77113	0.96314	0.53038	0.72554	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_8	FalconDirect_Volumenfraction_8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8459	10511	0	11208	9814	0	1394	2247	2202	0	45	20.05	22.44	NaN	3.23	1438	1877965	9710	0.52	450	4.63	328045	8908	8741	2.72	3.4	564	6.33	+	0.86147	1.0745	0.6074	0.82684	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_9	FalconDirect_Volumenfraction_9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8363	10405	0	11080	9730	0	1350	2174	2122	0	52	19.62	21.81	NaN	3.85	1428	1823333	9739	0.53	406	4.17	313849	8944	8786	2.85	3.57	534	5.97	+	0.77567	0.97648	0.53832	0.73706	
20171024_QX1_PhGe_SA_LC12-14_FalconDirect_Volumefraction_Pool	FalconDirect_Volumenfraction_Pool	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8390	10405	0	11069	9741	0	1328	2282	2243	0	39	20.62	23.03	NaN	2.94	1488	1814700	9704	0.53	402	4.14	313496	8908	8754	2.84	3.57	550	6.17	+	0.84336	1.048	0.57927	0.78622	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_1_171105183434	Standing_Volumenfraction_1	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8557	10630	0	11346	9914	0	1432	2596	2491	0	105	22.88	25.13	NaN	7.33	1551	1838951	9718	0.53	546	5.62	313786	8928	8750	2.85	3.57	674	7.55	+	0.60616	0.82445	0.43839	0.69041	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_2	Standing_Volumenfraction_2	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8556	10610	0	11203	10017	0	1186	2488	2448	0	40	22.21	24.44	NaN	3.37	1498	1838201	9777	0.53	522	5.34	316794	9036	8867	2.85	3.6	645	7.14	+	0.68596	0.90597	0.48675	0.71885	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_3	Standing_Volumenfraction_3	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8540	10605	0	11280	9930	0	1350	2572	2505	0	67	22.8	25.23	NaN	4.96	1594	1829686	9708	0.53	506	5.21	313649	8920	8758	2.84	3.56	633	7.1	+	0.70777	0.91766	0.49362	0.71232	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_4	Standing_Volumenfraction_4	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8542	10607	0	11269	9945	0	1324	2513	2453	0	60	22.3	24.67	NaN	4.53	1545	1849740	9749	0.53	512	5.25	318535	8994	8857	2.82	3.55	612	6.8	+	0.75667	0.96918	0.51703	0.71551	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_5	Standing_Volumenfraction_5	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8543	10622	0	11284	9960	0	1324	2507	2437	0	70	22.22	24.47	NaN	5.29	1551	1840623	9766	0.53	505	5.17	316525	9010	8848	2.85	3.57	636	7.06	+	0.63533	0.84238	0.4493	0.66029	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_6	Standing_Volumenfraction_6	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8556	10624	0	11318	9930	0	1388	2549	2474	0	75	22.52	24.91	NaN	5.4	1543	1855629	9753	0.53	513	5.26	320115	8975	8825	2.8	3.52	628	7	+	0.69212	0.90903	0.49828	0.73689	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_7	Standing_Volumenfraction_7	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8561	10652	0	11305	9999	0	1306	2574	2493	0	81	22.77	24.93	NaN	6.2	1536	1836811	9831	0.54	510	5.19	316867	9057	8897	2.86	3.59	647	7.14	+	0.67459	0.88676	0.4709	0.70063	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_8	Standing_Volumenfraction_8	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8551	10626	0	11321	9931	0	1390	2514	2445	0	69	22.21	24.62	NaN	4.96	1535	1864920	9768	0.52	514	5.26	318863	8991	8834	2.82	3.54	625	6.95	+	0.71874	0.92468	0.50549	0.71457	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_9	Standing_Volumenfraction_9	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8554	10585	0	11303	9867	0	1436	2528	2446	0	82	22.37	24.79	NaN	5.71	1532	1861650	9741	0.52	517	5.31	319884	8929	8782	2.79	3.5	649	7.27	+	0.75179	0.98041	0.53287	0.7763	
20171024_QX1_PhGe_SA_LC12-14_Standing_Volumefraction_Pool	Standing_Volumenfraction_Pool	Trypsin/P	Specific			False	"Oxidation (M);Acetyl (Protein N-term)"			False	False	1	2		BoxCar		8559	10640	0	11279	10001	0	1278	2546	2481	0	65	22.57	24.81	NaN	5.09	1536	1874129	9819	0.52	500	5.09	322130	9060	8923	2.81	3.55	628	6.93	+	0.64143	0.84261	0.45386	0.67614	
																																1867																		
																																1538																		
																																1544																		
																																1547																		
																																1540																		
																																1409																		
																																1450																		
																																1444																		
																																1415																		
																																1420																		
																																1484																		
																																1449																		
																																1462																		
																																1491																		
																																1439																		
																																1501																		
																																1507																		
																																1449																		
																																1439																		
																																1483																		
																																1456																		
																																1467																		
																																1438																		
																																1428																		
																																1488																		
																																571																		
																																511																		
																																468																		
																																409																		
																																450																		
																																777																		
																																769																		
																																755																		
																																619																		
																																655																		
																																594																		
																																425																		
																																596																		
																																750																		
																																669																		
																																712																		
																																665																		
																																398																		
																																427																		
																																327																		
																																594																		
																																648																		
																																648																		
																																510																		
																																1074																		
																																1149																		
																																969																		
																																983																		
																																1088																		
																																1102																		
																																1143																		
																																805																		
																																1025																		
																																1120																		
																																930																		
																																1020																		
																																1318																		
																																1057																		
																																1008																		
																																913																		
																																1127																		
																																683																		
																																974																		
																																915																		
																																912																		
																																928																		
																																1046																		
																																894																		
																																381																		
																																724																		
																																722																		
																																627																		
																																1188																		
																																835																		
																																908																		
																																893																		
																																884																		
																																828																		
																																800																		
																																969																		
																																735																		
																																867																		
																																671																		
																																685																		
																																681																		
																																830																		
																																804																		
																																796																		
																																782																		
																																879																		
																																848																		
																																778																		
																																1253																		
																																1041																		
																																989																		
																																1025																		
																																1198																		
																																1183																		
																																1465																		
																																1893																		
																																947																		
																																1622																		
																																1215																		
																																1397																		
																																1100																		
																																1316																		
																																1218																		
																																1848																		
																																1803																		
																																942																		
																																882																		
																																889																		
																																938																		
																																1225																		
																																1641																		
																																1062																		
																																1058																		
																																1198																		
																																1134																		
																																1266																		
																																1357																		
																																1187																		
																																1349																		
																																1355																		
																																1252																		
																																1233																		
																																1249																		
																																1079																		
																																1344																		
																																1369																		
																																1300																		
																																1512																		
																																1404																		
																																1169																		
																																1214																		
																																1144																		
																																1138																		
																																989																		
																																928																		
																																968																		
																																1239																		
																																1569																		
																																1255																		
																																1290																		
																																1310																		
																																1246																		
																																1424																		
																																1410																		
																																1283																		
																																1231																		
																																1324																		
																																1104																		
																																1256																		
																																1184																		
																																1054																		
																																1266																		
																																1077																		
																																1190																		
																																1269																		
																																1139																		
																																1137																		
																																1185																		
																																1122																		
																																1046																		
																																924																		
																																921																		
																																942																		
																																1114																		
																																1138																		
																																1051																		
																																1282																		
																																1206																		
																																1000																		
																																1036																		
																																1087																		
																																885																		
																																1139																		
																																1322																		
																																1269																		
																																1444																		
																																1275																		
																																934																		
																																930																		
																																1055																		
																																991																		
																																989																		
																																927																		
																																857																		
																																1551																		
																																1498																		
																																1594																		
																																1545																		
																																1551																		
																																1543																		
																																1536																		
																																1535																		
																																1532																		
																																1536																		
																	958740	4296415	0	5250036	3342790	0	1907246	370665	350652	0	20013	7.06	10.49	NaN	1.05	15435	112481566					18646638	3048884	2962647	16.35	19.71	236161	7.75		0.71596	0.95807	0.49941	0.72143	
