Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[time]	characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[time]	factor value[enrichment process]
Sample 16	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 31	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 17	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 32	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_C2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 33	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_10min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_10min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 16	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 34	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 17	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 35	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_C2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	10	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 36	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_10min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_10min_C3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	10	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 37	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 38	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 39	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 19	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 40	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 20	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 41	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 21	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 42	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 43	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 44	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 24	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 45	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 22	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 46	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_B1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 23	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 47	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 24	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 48	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 25	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 49	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 26	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 50	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_C2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 27	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 51	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_5min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_5min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 25	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 52	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 26	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 53	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_C2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 27	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	5	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 54	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_5min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_5min_C3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	5	enrichment of phosphorylated Protein
Sample 28	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 55	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_60min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_60min_A1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 29	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 56	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_60min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_60min_A2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 30	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 57	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_60min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_60min_A3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 31	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 58	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_60min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_60min_B2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 32	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 59	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_60min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_60min_B3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 33	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 60	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_60min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_60min_C1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
Sample 34	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	60	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 61	proteomic profiling by mass spectrometry	OR8_121123_EDG_PG_phosJurkat_60min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121123_EDG_PG_phosJurkat_60min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	60	enrichment of phosphorylated Protein
