source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD003028-sample-36	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run36	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-37	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run37	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-38	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run38	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-39	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run39	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-40	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run40	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-41	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run41	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-42	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run42	1	20150414_QEp1_LC7_NiGr_SA_Saliva_5m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_5m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-43	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run43	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-44	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run44	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-45	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run45	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-46	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run46	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-47	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run47	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-48	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run48	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-49	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run49	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-50	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run50	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-51	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run51	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-52	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run52	1	20150414_QEp1_LC7_NiGr_SA_Saliva_6m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_6m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-53	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run53	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-54	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run54	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-55	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run55	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-56	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run56	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-57	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run57	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-58	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run58	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-59	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run59	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-60	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run60	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-61	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run61	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-62	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run62	1	20150414_QEp1_LC7_NiGr_SA_Saliva_7m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_7m.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-63	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run63	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-64	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run64	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-65	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run65	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-66	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run66	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-67	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run67	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-68	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run68	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-69	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run69	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
PXD003028-sample-70	Homo sapiens	Saliva	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run70	1	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	HCD	4.5 ppm	0.5 Da	Saliva
