source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[batch]	characteristics[Batch.Injection]	characteristics[Sample.Type]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	factor value[organism part]
PXD039023-Sample 210	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	216	biological	run 210	proteomic profiling by mass spectrometry	216_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/216_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 211	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	217	biological	run 211	proteomic profiling by mass spectrometry	217_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/217_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 212	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	218	MS.QC	run 212	proteomic profiling by mass spectrometry	218_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/218_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 213	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	219	biological	run 213	proteomic profiling by mass spectrometry	219_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/219_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 214	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	220	biological	run 214	proteomic profiling by mass spectrometry	220_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/220_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 215	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	221	biological	run 215	proteomic profiling by mass spectrometry	221_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/221_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 216	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	222	biological	run 216	proteomic profiling by mass spectrometry	222_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/222_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 217	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	223	biological	run 217	proteomic profiling by mass spectrometry	223_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/223_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 218	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	224	biological	run 218	proteomic profiling by mass spectrometry	224_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/224_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 219	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	225	not available	run 219	proteomic profiling by mass spectrometry	225_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/225_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 220	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	226	not available	run 220	proteomic profiling by mass spectrometry	226_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/226_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 221	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	227	biological	run 221	proteomic profiling by mass spectrometry	227_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/227_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 222	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	229	MS.QC	run 222	proteomic profiling by mass spectrometry	229_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/229_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 223	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	230	biological	run 223	proteomic profiling by mass spectrometry	230_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/230_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 224	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	231	biological	run 224	proteomic profiling by mass spectrometry	231_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/231_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 225	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	232	biological	run 225	proteomic profiling by mass spectrometry	232_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/232_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 226	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	233	biological	run 226	proteomic profiling by mass spectrometry	233_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/233_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 227	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	234	biological	run 227	proteomic profiling by mass spectrometry	234_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/234_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 228	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	235	biological	run 228	proteomic profiling by mass spectrometry	235_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/235_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 229	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	236	biological	run 229	proteomic profiling by mass spectrometry	236_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/236_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 230	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	237	biological	run 230	proteomic profiling by mass spectrometry	237_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/237_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 231	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	238	biological	run 231	proteomic profiling by mass spectrometry	238_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/238_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 232	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	239	MS.QC	run 232	proteomic profiling by mass spectrometry	239_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/239_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 233	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	240	biological	run 233	proteomic profiling by mass spectrometry	240_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/240_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 234	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	241	biological	run 234	proteomic profiling by mass spectrometry	241_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/241_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 235	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	242	biological	run 235	proteomic profiling by mass spectrometry	242_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/242_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 236	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	243	biological	run 236	proteomic profiling by mass spectrometry	243_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/243_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 237	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	244	biological	run 237	proteomic profiling by mass spectrometry	244_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/244_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 238	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	245	biological	run 238	proteomic profiling by mass spectrometry	245_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/245_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 239	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	246	biological	run 239	proteomic profiling by mass spectrometry	246_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/246_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 240	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	247	biological	run 240	proteomic profiling by mass spectrometry	247_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/247_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 241	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	248	biological	run 241	proteomic profiling by mass spectrometry	248_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/248_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 242	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	249	MS.QC	run 242	proteomic profiling by mass spectrometry	249_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/249_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
PXD039023-Sample 243	Homo sapiens	blood plasma	not applicable	not available	not available	not available	not available	not available	1	1	250	biological	run 243	proteomic profiling by mass spectrometry	250_batch1.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD039023/250_batch1.wiff	NT=Data-Independent Acquisition;AC=PRIDE:0000450	1	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000932;NT=TripleTOF 5600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	12 ppm	20 ppm	100m/z-1500m/z	blood plasma
