Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[treatment]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]
PXD030881-Sample-2	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	2	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-3	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	3	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-4	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	1	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-5	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	2	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-6	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	3	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-7	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	1	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-8	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	2	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-9	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	3	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-10	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	control	1	organism part	run 4	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F4.raw	1	4	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	control
PXD030881-Sample-1	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	1	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-2	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	2	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-3	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	3	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-4	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	1	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-5	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	2	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-6	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	3	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-7	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	1	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-8	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	2	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-9	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	3	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-10	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	control	1	organism part	run 5	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F5.raw	1	5	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	control
PXD030881-Sample-1	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	1	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-2	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	2	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-3	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	3	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-4	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	1	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-5	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	2	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-6	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs doxorubicin	3	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs doxorubicin
PXD030881-Sample-7	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	1	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-8	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	2	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-9	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs tamoxifen	3	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs tamoxifen
PXD030881-Sample-10	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	control	1	organism part	run 6	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F6.raw	1	6	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	control
PXD030881-Sample-1	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	1	organism part	run 7	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F7.raw	1	7	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
PXD030881-Sample-2	Homo sapiens	Breast cancer cell line	epithelial cell	MCF-7	not available	breast cancer	White	Female	69Y	anticancer drugs paclitaxel	2	organism part	run 7	proteomic profiling by mass spectrometry	20180902_breast_Drug_TMT10_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/04/PXD030881/20180902_breast_Drug_TMT10_F7.raw	1	7	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	32% NCE	10 ppm	20 ppm	anticancer drugs paclitaxel
