source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[depletion]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[separation]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD005200-Sample-39	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 39	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O120.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-40	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 40	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O121.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O121.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-41	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 41	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O123.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-42	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 42	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_O124.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_O124.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-43	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 43	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q34.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-44	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 44	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q35.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-45	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 45	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q36.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-46	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 46	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q37.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-47	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 47	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q38.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-48	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 48	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_G_Q39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_G_Q39.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=glutamyl endopeptidase; AC=MS:1001917	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-49	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 49	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O81_160310165033.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O81_160310165033.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-50	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 50	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O82.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O82.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	20 ppm	0.5 Da	erythrocyte
PXD005200-Sample-51	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 51	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O84.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O84.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	21 ppm	0.5 Da	erythrocyte
PXD005200-Sample-52	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 52	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O85.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O85.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	22 ppm	0.5 Da	erythrocyte
PXD005200-Sample-53	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 53	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O87.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O87.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	23 ppm	0.5 Da	erythrocyte
PXD005200-Sample-54	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 54	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_O88.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_O88.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	24 ppm	0.5 Da	erythrocyte
PXD005200-Sample-55	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	1	1	no depletion	run 55	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q28.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25 ppm	0.5 Da	erythrocyte
PXD005200-Sample-56	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	2	2	no depletion	run 56	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q29.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	26 ppm	0.5 Da	erythrocyte
PXD005200-Sample-57	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 57	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q30.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	27 ppm	0.5 Da	erythrocyte
PXD005200-Sample-58	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	3	3	no depletion	run 58	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q31.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	28 ppm	0.5 Da	erythrocyte
PXD005200-Sample-59	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 59	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q32.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	29 ppm	0.5 Da	erythrocyte
PXD005200-Sample-60	Homo Sapiens	blood	erythrocyte	ghost	not available	not available	not available	not available	normal	4	4	no depletion	run 60	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_L_Q33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_L_Q33.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Lys-C/P; AC=MS:1001310	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	30 ppm	0.5 Da	erythrocyte
PXD005200-Sample-61	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 61	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O100.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	31 ppm	0.5 Da	erythrocyte
PXD005200-Sample-62	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 62	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O102.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O102.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	32 ppm	0.5 Da	erythrocyte
PXD005200-Sample-63	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 63	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O103.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O103.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	33 ppm	0.5 Da	erythrocyte
PXD005200-Sample-64	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 64	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O105.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	34 ppm	0.5 Da	erythrocyte
PXD005200-Sample-65	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 65	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O106.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O106.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	35 ppm	0.5 Da	erythrocyte
PXD005200-Sample-66	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 66	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O117.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O117.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	36 ppm	0.5 Da	erythrocyte
PXD005200-Sample-67	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 67	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O118.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O118.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	37 ppm	0.5 Da	erythrocyte
PXD005200-Sample-68	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 68	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O120.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	38 ppm	0.5 Da	erythrocyte
PXD005200-Sample-69	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 69	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O121.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O121.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	39 ppm	0.5 Da	erythrocyte
PXD005200-Sample-70	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 70	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O123.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	40 ppm	0.5 Da	erythrocyte
PXD005200-Sample-71	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 71	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O124.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O124.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	41 ppm	0.5 Da	erythrocyte
PXD005200-Sample-72	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 72	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O81.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O81.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	not applicable	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	42 ppm	0.5 Da	erythrocyte
PXD005200-Sample-73	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	1	1	no depletion	run 73	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O82.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O82.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	43 ppm	0.5 Da	erythrocyte
PXD005200-Sample-74	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	2	2	no depletion	run 74	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O84.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O84.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	44 ppm	0.5 Da	erythrocyte
PXD005200-Sample-75	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 75	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O85.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O85.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	45 ppm	0.5 Da	erythrocyte
PXD005200-Sample-76	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	3	3	no depletion	run 76	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O87.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O87.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	46 ppm	0.5 Da	erythrocyte
PXD005200-Sample-77	Homo Sapiens	blood	erythrocyte	not applicable	not available	not available	not available	not available	normal	4	4	no depletion	run 77	proteomic profiling by mass spectrometer	20160309_QEp7_JRW_SA_T_O88.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/08/PXD005200/20160309_QEp7_JRW_SA_T_O88.raw	1	not applicable	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=glutamyl endopeptidase; AC=MS:1001917	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	47 ppm	0.5 Da	erythrocyte
