source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ghost]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[MS2 mass analyzer]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD009258-Sample-26	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude1_SCX1_F23807	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude1_SCX1_F23807.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude1_SCX1_F23807.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-27	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude1_SCX2_F23808	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude1_SCX2_F23808.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude1_SCX2_F23808.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-28	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude1_SCX3_F23809	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude1_SCX3_F23809.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude1_SCX3_F23809.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-29	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude1_SCX4_F23810	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude1_SCX4_F23810.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude1_SCX4_F23810.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-30	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude1_SCX5_F23811	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude1_SCX5_F23811.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude1_SCX5_F23811.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-31	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude2_SCX1_F23813	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude2_SCX1_F23813.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude2_SCX1_F23813.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-32	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude2_SCX2_F23814	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude2_SCX2_F23814.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude2_SCX2_F23814.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-33	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude2_SCX3_F23815	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude2_SCX3_F23815.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude2_SCX3_F23815.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-34	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude2_SCX4_F23816	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude2_SCX4_F23816.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude2_SCX4_F23816.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-35	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	6	not applicable	no available	no available	not applicable	normal	no depletion	6	DVPTPaMA_171030_HD6_crude2_SCX5_F23817	proteomic profiling by mass spectrometry	DVPTPaMA_171030_HD6_crude2_SCX5_F23817.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA_171030_HD6_crude2_SCX5_F23817.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-36	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_P3_SCX1_F21698	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_P3_SCX1_F21698.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_P3_SCX1_F21698.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-37	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_P3_SCX2_F21699	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_P3_SCX2_F21699.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_P3_SCX2_F21699.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-38	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_P3_SCX3_F21700	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_P3_SCX3_F21700.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_P3_SCX3_F21700.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-39	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_P3_SCX4_F21701	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_P3_SCX4_F21701.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_P3_SCX4_F21701.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-40	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_P3_SCX5_F21702	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_P3_SCX5_F21702.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_P3_SCX5_F21702.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-41	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_Retic_SCX1_F21187	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_Retic_SCX1_F21187.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_Retic_SCX1_F21187.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-42	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_Retic_SCX2_F21188	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_Retic_SCX2_F21188.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_Retic_SCX2_F21188.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-43	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_Retic_SCX3_F21189	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_Retic_SCX3_F21189.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_Retic_SCX3_F21189.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-44	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_Retic_SCX4_F21190	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_Retic_SCX4_F21190.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_Retic_SCX4_F21190.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-45	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	1	not applicable	no available	no available	not applicable	normal	no depletion	1	DVPTPaMA170522_HD1_Retic_SCX5_F21191	proteomic profiling by mass spectrometry	DVPTPaMA170522_HD1_Retic_SCX5_F21191.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170522_HD1_Retic_SCX5_F21191.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-46	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_Ghosts_SCX1_F21621	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_Ghosts_SCX1_F21621.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_Ghosts_SCX1_F21621.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-47	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_Ghosts_SCX2_F21622	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_Ghosts_SCX2_F21622.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_Ghosts_SCX2_F21622.raw	2	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-48	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_Ghosts_SCX3_F21623	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_Ghosts_SCX3_F21623.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_Ghosts_SCX3_F21623.raw	3	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-49	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_Ghosts_SCX4_F21624	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_Ghosts_SCX4_F21624.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_Ghosts_SCX4_F21624.raw	4	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-50	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	ghost	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_Ghosts_SCX5_F21625	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_Ghosts_SCX5_F21625.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_Ghosts_SCX5_F21625.raw	5	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
PXD009258-Sample-51	Homo sapiens	blood	AC=CL:0000232; NT=erythrocyte	not applicable	3	not applicable	no available	no available	not applicable	normal	no depletion	3	DVPTPaMA170619_HD3_P3_SCX1_F21633	proteomic profiling by mass spectrometry	DVPTPaMA170619_HD3_P3_SCX1_F21633.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD009258/DVPTPaMA170619_HD3_P3_SCX1_F21633.raw	1	AC=PRIDE:0000561; NT=Strong cation-exchange chromatography (SCX)	AC=MS:1002038;NT=label free sample	1	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	AC=MS:1002416; NT=Orbitrap Fusion	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	not available	not available	AC=CL:0000232; NT=erythrocyte
