# Best Performing Samples
# Cluster: 0
# Total Samples: 4318
# Format: Sample_ID, Peptide_Sequences_Identified

2019_04_01_23_03_Q-Exactive-HF-X-Orbitrap_6075, 40869
2018_08_22_17_10_Q-Exactive-HF-X-Orbitrap_6070, 40866
2018_01_09_11_14_Q-Exactive-HF-X-Orbitrap_6078, 40861
2019_08_16_16_06_Q-Exactive-HF-X-Orbitrap_6028, 40858
2019_03_19_16_38_Q-Exactive-HF-X-Orbitrap_6075, 40857
2017_12_14_20_47_Q-Exactive-HF-X-Orbitrap_6071, 40854
2019_04_09_20_05_Q-Exactive-HF-X-Orbitrap_6101, 40839
2019_01_07_15_45_Q-Exactive-HF-X-Orbitrap_6071, 40839
2019_07_09_09_46_Q-Exactive-HF-X-Orbitrap_6078, 40838
2019_10_01_00_27_Q-Exactive-HF-X-Orbitrap_6011, 40837
2019_11_04_19_36_Q-Exactive-HF-X-Orbitrap_6078, 40835
2020_06_24_13_19_Orbitrap-Exploris-480_MA10132C, 40833
2019_02_14_19_43_Q-Exactive-HF-X-Orbitrap_6075, 40832
2019_03_19_17_23_Q-Exactive-HF-X-Orbitrap_6070, 40829
2019_05_10_20_50_Q-Exactive-HF-X-Orbitrap_6028, 40826
2017_08_03_23_44_Q-Exactive-HF-X-Orbitrap_6016, 40824
2019_11_18_05_51_Q-Exactive-HF-X-Orbitrap_6071, 40823
2020_06_10_11_46_Orbitrap-Exploris-480_MA10132C, 40822
2019_09_24_06_31_Q-Exactive-HF-X-Orbitrap_6043, 40818
2020_10_30_14_04_Orbitrap-Exploris-480_MA10132C, 40818
2019_09_02_14_55_Q-Exactive-HF-X-Orbitrap_6071, 40802
2018_03_07_01_31_Q-Exactive-HF-X-Orbitrap_6070, 40801
2019_09_11_02_51_Q-Exactive-HF-X-Orbitrap_6101, 40795
2019_07_15_17_27_Q-Exactive-HF-X-Orbitrap_6096, 40792
2019_02_09_22_10_Q-Exactive-HF-X-Orbitrap_6096, 40791
2018_03_06_22_52_Q-Exactive-HF-X-Orbitrap_6070, 40790
2019_05_16_12_51_Q-Exactive-HF-X-Orbitrap_6044, 40785
2018_09_29_22_57_Q-Exactive-HF-X-Orbitrap_6070, 40779
2019_03_11_21_48_Q-Exactive-HF-X-Orbitrap_6078, 40773
2019_11_01_12_04_Q-Exactive-HF-X-Orbitrap_6070, 40771
2019_10_29_10_42_Q-Exactive-HF-X-Orbitrap_6025, 40767
2019_04_29_15_41_Q-Exactive-HF-X-Orbitrap_6028, 40760
2020_07_04_19_20_Orbitrap-Exploris-480_Invalid_SN_0001, 40757
2018_06_30_17_53_Q-Exactive-HF-X-Orbitrap_6078, 40757
2018_12_21_11_08_Q-Exactive-HF-X-Orbitrap_6070, 40752
2019_06_21_12_33_Q-Exactive-HF-X-Orbitrap_6101, 40749
2020_01_06_20_17_Q-Exactive-HF-X-Orbitrap_6070, 40746
2018_03_20_22_07_Q-Exactive-HF-X-Orbitrap_6073, 40730
2019_08_16_10_53_Q-Exactive-HF-X-Orbitrap_6070, 40725
2020_06_29_20_49_Orbitrap-Exploris-480_Invalid_SN_0001, 40723
2020_06_04_08_11_Orbitrap-Exploris-480_MA10134C, 40721
2019_12_12_07_39_Q-Exactive-HF-X-Orbitrap_6096, 40719
2018_05_30_21_50_Q-Exactive-HF-X-Orbitrap_6011, 40708
2019_05_09_19_47_Q-Exactive-HF-X-Orbitrap_6096, 40703
2018_04_19_22_12_Q-Exactive-HF-X-Orbitrap_6096, 40683
2019_08_30_16_20_Q-Exactive-HF-X-Orbitrap_6004, 40675
2020_05_12_21_07_Q-Exactive-HF-X-Orbitrap_6070, 40673
2020_02_29_00_50_Orbitrap-Exploris-480_MA10134C, 40667
2019_12_06_21_40_Q-Exactive-HF-X-Orbitrap_6071, 40663
2019_02_04_21_40_Q-Exactive-HF-X-Orbitrap_6096, 40658
2019_01_21_11_21_Q-Exactive-HF-X-Orbitrap_6096, 40656
2019_06_14_15_30_Q-Exactive-HF-X-Orbitrap_6075, 40654
2020_01_17_22_03_Q-Exactive-HF-X-Orbitrap_6071, 40653
2019_08_06_20_06_Q-Exactive-HF-X-Orbitrap_6101, 40634
2019_09_26_18_22_Q-Exactive-HF-X-Orbitrap_6004, 40624
2018_01_12_21_38_Q-Exactive-HF-X-Orbitrap_6016, 40623
2018_06_29_17_15_Q-Exactive-HF-X-Orbitrap_6096, 40620
2019_08_12_23_33_Q-Exactive-HF-X-Orbitrap_6075, 40619
2019_02_11_11_46_Q-Exactive-HF-X-Orbitrap_6101, 40617
2019_12_05_10_00_Q-Exactive-HF-X-Orbitrap_6096, 40606
2018_03_09_11_53_Q-Exactive-HF-X-Orbitrap_6071, 40597
2019_08_18_01_11_Q-Exactive-HF-X-Orbitrap_6044, 40584
2018_08_12_21_23_Q-Exactive-HF-X-Orbitrap_6070, 40581
2019_09_11_15_51_Q-Exactive-HF-X-Orbitrap_6044, 40573
2018_06_20_19_58_Q-Exactive-HF-X-Orbitrap_6070, 40570
2019_09_30_12_13_Q-Exactive-HF-X-Orbitrap_6004, 40570
2019_02_08_10_18_Q-Exactive-HF-X-Orbitrap_6096, 40569
2020_06_04_05_02_Orbitrap-Exploris-480_MA10134C, 40567
2019_04_26_22_24_Q-Exactive-HF-X-Orbitrap_6013, 40566
2020_06_29_14_29_Orbitrap-Exploris-480_MA10132C, 40564
2018_03_20_19_17_Q-Exactive-HF-X-Orbitrap_6073, 40564
2019_12_09_13_52_Q-Exactive-HF-X-Orbitrap_6096, 40552
2019_09_18_14_59_Q-Exactive-HF-X-Orbitrap_6324, 40551
2018_08_06_17_05_Q-Exactive-HF-X-Orbitrap_6070, 40540
2018_01_12_18_48_Q-Exactive-HF-X-Orbitrap_6016, 40538
2019_03_13_16_19_Q-Exactive-HF-X-Orbitrap_6101, 40536
2019_02_10_01_31_Q-Exactive-HF-X-Orbitrap_6096, 40535
2020_02_04_08_15_Q-Exactive-HF-X-Orbitrap_6071, 40528
2019_09_19_19_10_Q-Exactive-HF-X-Orbitrap_6101, 40527
2017_12_13_21_00_Q-Exactive-HF-X-Orbitrap_6070, 40520
2019_02_07_11_53_Q-Exactive-HF-X-Orbitrap_6071, 40516
2018_07_13_23_39_Q-Exactive-HF-X-Orbitrap_6101, 40510
2019_09_02_21_33_Q-Exactive-HF-X-Orbitrap_6070, 40503
2019_10_29_13_02_Q-Exactive-HF-X-Orbitrap_6078, 40486
2019_10_22_14_05_Q-Exactive-HF-X-Orbitrap_6101, 40479
2018_05_27_00_18_Q-Exactive-HF-X-Orbitrap_6075, 40471
2019_08_16_03_29_Q-Exactive-HF-X-Orbitrap_6096, 40471
2019_03_25_22_37_Q-Exactive-HF-X-Orbitrap_6075, 40470
2018_03_10_13_23_Q-Exactive-HF-X-Orbitrap_6075, 40463
2019_08_02_13_34_Q-Exactive-HF-X-Orbitrap_6043, 40462
2019_03_06_18_40_Q-Exactive-HF-X-Orbitrap_6101, 40461
2020_05_04_11_39_Q-Exactive-HF-X-Orbitrap_6070, 40460
2018_04_09_12_32_Q-Exactive-HF-X-Orbitrap_6071, 40459
2018_06_18_14_44_Q-Exactive-HF-X-Orbitrap_6004, 40457
2019_11_12_21_55_Q-Exactive-HF-X-Orbitrap_6096, 40451
2018_07_05_14_49_Q-Exactive-HF-X-Orbitrap_6073, 40448
2017_08_03_18_14_Q-Exactive-HF-X-Orbitrap_6016, 40432
2018_04_10_20_45_Q-Exactive-HF-X-Orbitrap_6070, 40430
2019_02_15_01_12_Q-Exactive-HF-X-Orbitrap_6075, 40424
2020_06_04_01_53_Orbitrap-Exploris-480_MA10134C, 40416
2019_09_10_11_02_Q-Exactive-HF-X-Orbitrap_6101, 40415
2018_08_24_02_56_Q-Exactive-HF-X-Orbitrap_6070, 40393
2018_02_11_23_46_Q-Exactive-HF-X-Orbitrap_6073, 40391
2019_08_15_14_39_Q-Exactive-HF-X-Orbitrap_6101, 40389
2018_04_12_11_27_Q-Exactive-HF-X-Orbitrap_6096, 40386
2019_06_18_14_04_Q-Exactive-HF-X-Orbitrap_6043, 40383
2018_10_09_17_29_Q-Exactive-HF-X-Orbitrap_6070, 40379
2018_09_14_18_38_Q-Exactive-HF-X-Orbitrap_6078, 40378
2018_03_18_13_10_Q-Exactive-HF-X-Orbitrap_6071, 40369
2018_06_15_01_35_Q-Exactive-HF-X-Orbitrap_6078, 40368
2018_04_10_18_06_Q-Exactive-HF-X-Orbitrap_6070, 40367
2019_07_08_16_13_Q-Exactive-HF-X-Orbitrap_6044, 40367
2019_08_08_16_28_Q-Exactive-HF-X-Orbitrap_6073, 40360
2019_04_11_18_03_Q-Exactive-HF-X-Orbitrap_6078, 40359
2017_08_03_20_59_Q-Exactive-HF-X-Orbitrap_6016, 40352
2018_02_21_16_34_Q-Exactive-HF-X-Orbitrap_6016, 40352
2019_04_30_13_04_Q-Exactive-HF-X-Orbitrap_6324, 40349
2020_01_04_04_23_Q-Exactive-HF-X-Orbitrap_6070, 40349
2018_06_14_22_58_Q-Exactive-HF-X-Orbitrap_6078, 40335
2019_11_30_18_25_Q-Exactive-HF-X-Orbitrap_6078, 40329
2019_12_19_09_57_Q-Exactive-HF-X-Orbitrap_6071, 40325
2020_02_29_09_38_Orbitrap-Exploris-480_MA10134C, 40313
2018_03_30_17_30_Q-Exactive-HF-X-Orbitrap_6078, 40310
2018_03_02_19_44_Q-Exactive-HF-X-Orbitrap_6073, 40297
2019_04_26_20_01_Q-Exactive-HF-X-Orbitrap_6013, 40289
2020_05_15_10_30_Q-Exactive-HF-X-Orbitrap_6070, 40288
2019_12_18_17_49_Q-Exactive-HF-X-Orbitrap_6101, 40286
2018_01_16_17_24_Q-Exactive-HF-X-Orbitrap_6075, 40284
2019_08_19_14_05_Q-Exactive-HF-X-Orbitrap_6324, 40283
2019_11_25_11_26_Q-Exactive-HF-X-Orbitrap_6070, 40278
2018_01_01_13_45_Q-Exactive-HF-X-Orbitrap_6071, 40273
2019_05_06_11_28_Q-Exactive-HF-X-Orbitrap_6043, 40265
2018_05_24_15_33_Q-Exactive-HF-X-Orbitrap_6078, 40262
2019_04_01_20_19_Q-Exactive-HF-X-Orbitrap_6075, 40260
2019_05_13_08_01_Q-Exactive-HF-X-Orbitrap_6023, 40256
2018_03_05_14_30_Q-Exactive-HF-X-Orbitrap_6016, 40254
2017_12_13_18_17_Q-Exactive-HF-X-Orbitrap_6070, 40252
2020_06_19_12_53_Orbitrap-Exploris-480_Invalid_SN_0001, 40251
2018_06_25_15_37_Q-Exactive-HF-X-Orbitrap_6011, 40250
2019_04_29_17_49_Q-Exactive-HF-X-Orbitrap_6013, 40243
2018_06_05_02_35_Q-Exactive-HF-X-Orbitrap_6071, 40243
2018_05_27_16_21_Q-Exactive-HF-X-Orbitrap_6070, 40241
2019_02_08_10_10_Q-Exactive-HF-X-Orbitrap_6071, 40239
2019_01_28_19_30_Q-Exactive-HF-X-Orbitrap_6016, 40223
2019_01_28_18_57_Q-Exactive-HF-X-Orbitrap_6011, 40198
2019_08_13_02_20_Q-Exactive-HF-X-Orbitrap_6075, 40184
2018_03_21_20_17_Q-Exactive-HF-X-Orbitrap_6070, 40176
2019_06_15_13_41_Q-Exactive-HF-X-Orbitrap_6078, 40174
2018_04_13_15_01_Q-Exactive-HF-X-Orbitrap_6096, 40166
2019_11_28_09_54_Q-Exactive-HF-X-Orbitrap_6071, 40165
2018_01_12_18_55_Q-Exactive-HF-X-Orbitrap_6070, 40153
2019_08_16_11_01_Q-Exactive-HF-X-Orbitrap_6028, 40149
2019_12_16_18_07_Q-Exactive-HF-X-Orbitrap_6101, 40148
2019_09_23_22_20_Q-Exactive-HF-X-Orbitrap_6078, 40145
2019_12_02_01_36_Q-Exactive-HF-X-Orbitrap_6071, 40141
2019_11_12_08_25_Q-Exactive-HF-X-Orbitrap_6096, 40133
2019_02_11_19_34_Q-Exactive-HF-X-Orbitrap_6011, 40132
2020_10_16_14_48_Orbitrap-Exploris-480_MA10132C, 40126
2018_11_13_21_03_Q-Exactive-HF-X-Orbitrap_6073, 40125
2019_02_04_18_45_Q-Exactive-HF-X-Orbitrap_6078, 40101
2018_08_26_15_56_Q-Exactive-HF-X-Orbitrap_6078, 40093
2020_06_05_20_02_Orbitrap-Exploris-480_MA10134C, 40093
2019_08_16_20_35_Q-Exactive-HF-X-Orbitrap_6013, 40089
2019_03_24_22_23_Q-Exactive-HF-X-Orbitrap_6073, 40089
2019_10_30_09_27_Q-Exactive-HF-X-Orbitrap_6101, 40087
2020_02_28_21_53_Orbitrap-Exploris-480_MA10134C, 40084
2019_02_13_20_21_Q-Exactive-HF-X-Orbitrap_6071, 40081
2019_01_28_16_49_Q-Exactive-HF-X-Orbitrap_6016, 40078
2019_06_26_15_40_Q-Exactive-HF-X-Orbitrap_6073, 40074
2019_10_22_17_21_Q-Exactive-HF-X-Orbitrap_6028, 40071
2019_11_23_00_39_Q-Exactive-HF-X-Orbitrap_6096, 40060
2018_06_04_23_56_Q-Exactive-HF-X-Orbitrap_6071, 40057
2018_06_04_18_39_Q-Exactive-HF-X-Orbitrap_6071, 40056
2019_05_21_19_48_Q-Exactive-HF-X-Orbitrap_6028, 40050
2018_06_06_13_06_Q-Exactive-HF-X-Orbitrap_6078, 40043
2018_05_22_20_30_Q-Exactive-HF-X-Orbitrap_6101, 40042
2016_12_07_20_26_Q-Exactive-HF-Orbitrap_207, 40039
2019_09_03_14_30_Q-Exactive-HF-X-Orbitrap_6324, 40035
2019_11_30_21_35_Q-Exactive-HF-X-Orbitrap_6078, 40033
2019_04_30_18_36_Q-Exactive-HF-X-Orbitrap_6070, 40032
2019_05_20_17_59_Q-Exactive-HF-X-Orbitrap_6022, 40030
2018_04_13_18_00_Q-Exactive-HF-X-Orbitrap_6101, 40029
2018_05_27_05_44_Q-Exactive-HF-X-Orbitrap_6075, 40024
2020_06_22_05_03_Orbitrap-Exploris-480_Invalid_SN_0001, 40021
2018_06_28_01_29_Q-Exactive-HF-X-Orbitrap_6071, 40014
2018_06_28_09_37_Q-Exactive-HF-X-Orbitrap_6071, 40012
2019_05_15_13_04_Q-Exactive-HF-X-Orbitrap_6101, 40011
2018_06_27_22_46_Q-Exactive-HF-X-Orbitrap_6071, 40005
2019_08_14_05_21_Q-Exactive-HF-X-Orbitrap_6101, 39989
2020_07_06_01_32_Orbitrap-Exploris-480_Invalid_SN_0001, 39986
2019_07_30_18_46_Q-Exactive-HF-X-Orbitrap_6011, 39982
2018_04_20_21_58_Q-Exactive-HF-X-Orbitrap_6070, 39980
2017_11_21_00_37_Q-Exactive-HF-X-Orbitrap_6075, 39979
2018_07_22_17_21_Q-Exactive-HF-X-Orbitrap_6070, 39977
2018_06_01_20_46_Q-Exactive-HF-X-Orbitrap_6075, 39966
2018_10_12_00_14_Q-Exactive-HF-X-Orbitrap_6070, 39960
2019_10_30_14_24_Q-Exactive-HF-X-Orbitrap_6096, 39954
2018_05_26_21_35_Q-Exactive-HF-X-Orbitrap_6075, 39951
2018_06_30_12_48_Q-Exactive-HF-X-Orbitrap_6096, 39949
2018_06_04_21_18_Q-Exactive-HF-X-Orbitrap_6071, 39947
2019_08_23_20_32_Q-Exactive-HF-X-Orbitrap_6022, 39941
2019_11_25_20_59_Q-Exactive-HF-X-Orbitrap_6096, 39934
2018_08_25_19_51_Q-Exactive-HF-X-Orbitrap_6070, 39930
2019_04_09_02_12_Q-Exactive-HF-X-Orbitrap_6075, 39917
2018_08_27_23_43_Q-Exactive-HF-X-Orbitrap_6004, 39914
2018_08_17_09_43_Q-Exactive-HF-X-Orbitrap_6071, 39909
2018_12_28_23_38_Q-Exactive-HF-X-Orbitrap_6004, 39908
2019_01_29_23_12_Q-Exactive-HF-X-Orbitrap_6101, 39905
2019_04_25_15_36_Q-Exactive-HF-X-Orbitrap_6043, 39903
2018_04_13_15_09_Q-Exactive-HF-X-Orbitrap_6101, 39902
2017_12_08_19_39_Q-Exactive-HF-X-Orbitrap_6078, 39901
2019_09_23_19_38_Q-Exactive-HF-X-Orbitrap_6078, 39881
2019_08_07_02_09_Q-Exactive-HF-X-Orbitrap_6101, 39878
2020_09_05_01_30_Orbitrap-Exploris-480_MA10215C, 39872
2019_04_17_23_31_Q-Exactive-HF-X-Orbitrap_6075, 39869
2020_06_21_20_31_Orbitrap-Exploris-480_Invalid_SN_0001, 39867
2019_03_25_19_52_Q-Exactive-HF-X-Orbitrap_6075, 39866
2019_05_02_12_45_Q-Exactive-HF-X-Orbitrap_6044, 39858
2019_10_25_20_55_Q-Exactive-HF-X-Orbitrap_6096, 39857
2019_07_17_08_02_Q-Exactive-HF-X-Orbitrap_6096, 39853
2019_11_26_21_52_Q-Exactive-HF-X-Orbitrap_6096, 39850
2017_12_14_18_04_Q-Exactive-HF-X-Orbitrap_6071, 39850
2018_02_12_18_43_Q-Exactive-HF-X-Orbitrap_6016, 39849
2019_08_19_11_48_Q-Exactive-HF-X-Orbitrap_6043, 39847
2018_02_19_21_08_Q-Exactive-HF-X-Orbitrap_6011, 39846
2019_05_06_12_13_Q-Exactive-HF-X-Orbitrap_6044, 39841
2019_10_20_22_22_Q-Exactive-HF-X-Orbitrap_6004, 39841
2019_10_04_20_15_Q-Exactive-HF-X-Orbitrap_6004, 39840
2018_02_12_02_35_Q-Exactive-HF-X-Orbitrap_6073, 39840
2019_10_21_01_07_Q-Exactive-HF-X-Orbitrap_6004, 39836
2018_10_03_02_28_Q-Exactive-HF-X-Orbitrap_6070, 39834
2018_01_05_00_03_Q-Exactive-HF-X-Orbitrap_6078, 39831
2019_06_16_05_29_Q-Exactive-HF-X-Orbitrap_6101, 39828
2018_01_08_01_42_Q-Exactive-HF-X-Orbitrap_6078, 39826
2018_11_16_01_31_Q-Exactive-HF-X-Orbitrap_6073, 39822
2019_05_16_13_34_Q-Exactive-HF-X-Orbitrap_6101, 39822
2019_06_29_08_07_Q-Exactive-HF-X-Orbitrap_6070, 39821
2019_01_31_15_27_Q-Exactive-HF-X-Orbitrap_6071, 39807
2019_11_19_22_25_Q-Exactive-HF-X-Orbitrap_6096, 39798
2019_04_17_20_46_Q-Exactive-HF-X-Orbitrap_6075, 39788
2020_05_12_18_10_Q-Exactive-HF-X-Orbitrap_6070, 39786
2019_04_16_22_46_Q-Exactive-HF-X-Orbitrap_6073, 39779
2019_09_12_18_37_Q-Exactive-HF-X-Orbitrap_6101, 39769
2018_02_19_23_57_Q-Exactive-HF-X-Orbitrap_6011, 39762
2019_02_19_17_33_Q-Exactive-HF-X-Orbitrap_6096, 39761
2018_06_06_17_49_Q-Exactive-HF-X-Orbitrap_6078, 39754
2018_07_23_17_32_Q-Exactive-HF-X-Orbitrap_6011, 39750
2019_06_25_15_11_Q-Exactive-HF-X-Orbitrap_6075, 39744
2018_06_02_04_54_Q-Exactive-HF-X-Orbitrap_6075, 39739
2018_06_27_20_04_Q-Exactive-HF-X-Orbitrap_6071, 39732
2020_06_10_07_00_Orbitrap-Exploris-480_MA10132C, 39719
2018_12_29_02_22_Q-Exactive-HF-X-Orbitrap_6004, 39716
2019_10_30_15_44_Q-Exactive-HF-X-Orbitrap_6071, 39712
2018_01_04_21_23_Q-Exactive-HF-X-Orbitrap_6078, 39704
2019_06_25_19_05_Q-Exactive-HF-X-Orbitrap_6011, 39701
2019_12_11_19_46_Q-Exactive-HF-X-Orbitrap_6101, 39700
2020_06_10_01_20_Orbitrap-Exploris-480_MA10132C, 39698
2018_06_02_10_20_Q-Exactive-HF-X-Orbitrap_6075, 39696
2017_11_20_18_55_Q-Exactive-HF-X-Orbitrap_6075, 39694
2018_10_05_19_26_Q-Exactive-HF-X-Orbitrap_6011, 39687
2019_02_12_10_31_Q-Exactive-HF-X-Orbitrap_6101, 39686
2019_07_23_20_33_Q-Exactive-HF-X-Orbitrap_6075, 39685
2018_06_30_15_35_Q-Exactive-HF-X-Orbitrap_6096, 39683
2019_05_24_00_25_Q-Exactive-HF-X-Orbitrap_6096, 39680
2018_06_17_19_07_Q-Exactive-HF-X-Orbitrap_6004, 39680
2019_10_31_01_20_Q-Exactive-HF-X-Orbitrap_6101, 39661
2019_05_24_03_13_Q-Exactive-HF-X-Orbitrap_6096, 39658
2019_05_22_15_26_Q-Exactive-HF-X-Orbitrap_6016, 39657
2019_08_22_20_22_Q-Exactive-HF-X-Orbitrap_6011, 39655
2020_02_13_06_17_Q-Exactive-HF-X-Orbitrap_6071, 39646
2019_04_26_14_27_Q-Exactive-HF-X-Orbitrap_6023, 39642
2019_10_23_18_37_Q-Exactive-HF-X-Orbitrap_6078, 39628
2018_08_02_19_35_Q-Exactive-HF-X-Orbitrap_6004, 39628
2018_05_29_03_38_Q-Exactive-HF-X-Orbitrap_6070, 39626
2019_09_27_15_34_Q-Exactive-HF-X-Orbitrap_6025, 39621
2019_12_11_00_03_Q-Exactive-HF-X-Orbitrap_6071, 39618
2018_05_27_11_09_Q-Exactive-HF-X-Orbitrap_6075, 39611
2018_04_23_10_16_Q-Exactive-HF-X-Orbitrap_6073, 39610
2019_07_01_14_39_Q-Exactive-HF-X-Orbitrap_6013, 39610
2019_12_31_18_37_Q-Exactive-HF-X-Orbitrap_6078, 39608
2019_04_08_23_27_Q-Exactive-HF-X-Orbitrap_6075, 39607
2019_04_03_19_33_Q-Exactive-HF-X-Orbitrap_6071, 39604
2019_12_18_21_05_Q-Exactive-HF-X-Orbitrap_6078, 39598
2019_04_03_00_59_Q-Exactive-HF-X-Orbitrap_6011, 39598
2018_10_12_03_11_Q-Exactive-HF-X-Orbitrap_6070, 39597
2019_11_12_19_04_Q-Exactive-HF-X-Orbitrap_6096, 39597
2018_02_20_08_24_Q-Exactive-HF-X-Orbitrap_6011, 39597
2019_01_17_20_01_Q-Exactive-HF-X-Orbitrap_6078, 39593
2018_06_05_05_14_Q-Exactive-HF-X-Orbitrap_6071, 39588
2019_07_31_16_39_Q-Exactive-HF-X-Orbitrap_6078, 39585
2018_12_11_10_17_Q-Exactive-HF-X-Orbitrap_6071, 39584
2018_06_02_07_37_Q-Exactive-HF-X-Orbitrap_6075, 39580
2019_08_06_07_43_Q-Exactive-HF-X-Orbitrap_6043, 39580
2019_08_01_15_11_Q-Exactive-HF-X-Orbitrap_6078, 39579
2018_01_29_10_26_Q-Exactive-HF-X-Orbitrap_6078, 39577
2018_09_29_20_03_Q-Exactive-HF-X-Orbitrap_6070, 39569
2018_08_18_12_32_Q-Exactive-HF-X-Orbitrap_6070, 39568
2018_06_28_06_55_Q-Exactive-HF-X-Orbitrap_6071, 39565
2018_04_03_00_15_Q-Exactive-HF-X-Orbitrap_6073, 39565
2019_10_29_17_32_Q-Exactive-HF-X-Orbitrap_6101, 39559
2018_08_02_16_26_Q-Exactive-HF-X-Orbitrap_6004, 39553
2018_06_28_04_12_Q-Exactive-HF-X-Orbitrap_6071, 39553
2019_07_01_15_47_Q-Exactive-HF-X-Orbitrap_6070, 39551
2020_06_10_04_10_Orbitrap-Exploris-480_MA10132C, 39550
2019_04_29_13_12_Q-Exactive-HF-X-Orbitrap_6025, 39550
2018_04_12_08_27_Q-Exactive-HF-X-Orbitrap_6096, 39548
2018_06_01_23_29_Q-Exactive-HF-X-Orbitrap_6075, 39540
2018_02_13_00_18_Q-Exactive-HF-X-Orbitrap_6016, 39539
2018_02_14_19_51_Q-Exactive-HF-X-Orbitrap_6096, 39533
2017_11_29_16_40_Q-Exactive-HF-X-Orbitrap_6075, 39532
2018_07_02_21_47_Q-Exactive-HF-X-Orbitrap_6078, 39532
2019_04_11_15_22_Q-Exactive-HF-X-Orbitrap_6078, 39531
2019_02_08_13_26_Q-Exactive-HF-X-Orbitrap_6016, 39529
2018_08_23_23_22_Q-Exactive-HF-X-Orbitrap_6078, 39519
2018_02_12_21_31_Q-Exactive-HF-X-Orbitrap_6016, 39512
2019_07_23_17_47_Q-Exactive-HF-X-Orbitrap_6075, 39510
2018_03_22_01_37_Q-Exactive-HF-X-Orbitrap_6070, 39510
2018_07_12_22_42_Q-Exactive-HF-X-Orbitrap_6101, 39507
2019_10_07_15_40_Q-Exactive-HF-X-Orbitrap_6023, 39506
2019_01_14_10_03_Q-Exactive-HF-X-Orbitrap_6096, 39503
2018_06_01_18_53_Q-Exactive-HF-X-Orbitrap_6071, 39503
2019_10_30_01_57_Q-Exactive-HF-X-Orbitrap_6071, 39498
2018_07_02_21_09_Q-Exactive-HF-X-Orbitrap_6004, 39492
2018_03_12_20_40_Q-Exactive-HF-X-Orbitrap_6016, 39487
2019_09_10_20_33_Q-Exactive-HF-X-Orbitrap_6101, 39486
2019_11_11_23_23_Q-Exactive-HF-X-Orbitrap_6011, 39483
2020_02_29_21_24_Orbitrap-Exploris-480_MA10134C, 39481
2018_04_18_22_11_Q-Exactive-HF-X-Orbitrap_6075, 39480
2018_07_24_07_21_Q-Exactive-HF-X-Orbitrap_6011, 39478
2018_01_07_23_01_Q-Exactive-HF-X-Orbitrap_6078, 39472
2018_07_16_15_42_Q-Exactive-HF-X-Orbitrap_6071, 39465
2019_04_26_22_42_Q-Exactive-HF-X-Orbitrap_6022, 39465
2019_12_17_04_40_Q-Exactive-HF-X-Orbitrap_6096, 39455
2019_11_11_10_05_Q-Exactive-HF-X-Orbitrap_6096, 39451
2018_06_02_15_46_Q-Exactive-HF-X-Orbitrap_6075, 39447
2018_08_14_11_09_Q-Exactive-HF-X-Orbitrap_6071, 39442
2018_06_06_17_51_Q-Exactive-HF-X-Orbitrap_6071, 39438
2019_10_07_20_08_Q-Exactive-HF-X-Orbitrap_6004, 39437
2019_02_14_12_45_Q-Exactive-HF-X-Orbitrap_6101, 39434
2019_06_25_09_28_Q-Exactive-HF-X-Orbitrap_6096, 39430
2019_09_25_14_06_Q-Exactive-HF-X-Orbitrap_6013, 39429
2018_06_29_13_58_Q-Exactive-HF-X-Orbitrap_6011, 39428
2019_02_13_21_23_Q-Exactive-HF-X-Orbitrap_6016, 39420
2018_12_18_23_07_Q-Exactive-HF-X-Orbitrap_6070, 39420
2019_04_09_04_56_Q-Exactive-HF-X-Orbitrap_6075, 39420
2018_01_27_07_19_Q-Exactive-HF-X-Orbitrap_6011, 39416
2018_08_23_20_44_Q-Exactive-HF-X-Orbitrap_6078, 39411
2019_07_23_23_20_Q-Exactive-HF-X-Orbitrap_6075, 39410
2018_04_19_00_55_Q-Exactive-HF-X-Orbitrap_6075, 39405
2018_06_02_13_03_Q-Exactive-HF-X-Orbitrap_6075, 39400
2018_07_24_00_27_Q-Exactive-HF-X-Orbitrap_6011, 39387
2018_04_11_08_56_Q-Exactive-HF-X-Orbitrap_6096, 39384
2019_01_31_18_00_Q-Exactive-HF-X-Orbitrap_6078, 39370
2018_06_02_02_11_Q-Exactive-HF-X-Orbitrap_6075, 39369
2019_12_19_03_25_Q-Exactive-HF-X-Orbitrap_6101, 39361
2017_11_20_21_46_Q-Exactive-HF-X-Orbitrap_6075, 39359
2018_03_21_22_57_Q-Exactive-HF-X-Orbitrap_6070, 39352
2018_10_05_22_14_Q-Exactive-HF-X-Orbitrap_6011, 39350
2018_05_26_18_52_Q-Exactive-HF-X-Orbitrap_6075, 39346
2018_07_12_17_18_Q-Exactive-HF-X-Orbitrap_6101, 39341
2019_04_17_18_01_Q-Exactive-HF-X-Orbitrap_6075, 39331
2018_03_12_01_33_Q-Exactive-HF-X-Orbitrap_6016, 39331
2018_05_22_17_41_Q-Exactive-HF-X-Orbitrap_6101, 39329
2018_05_28_12_13_Q-Exactive-HF-X-Orbitrap_6101, 39323
2018_07_14_11_58_Q-Exactive-HF-X-Orbitrap_6101, 39322
2019_04_25_18_46_Q-Exactive-HF-X-Orbitrap_6022, 39318
2019_01_17_21_07_Q-Exactive-HF-X-Orbitrap_6101, 39304
2018_12_18_19_41_Q-Exactive-HF-X-Orbitrap_6016, 39303
