										Triplicados	Vuelvo a empezar?																
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M2_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	14	Tissue	20141110_QEp1_LC7_PhGe_4_53_M2_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M2_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	4	14	Tissue	20141110_QEp1_LC7_PhGe_4_53_M2_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M3_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	15	Tissue	20141110_QEp1_LC7_PhGe_4_53_M3_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M3_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	15	Tissue	20141110_QEp1_LC7_PhGe_4_53_M3_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M3_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	15	Tissue	20141110_QEp1_LC7_PhGe_4_53_M3_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M3_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	4	15	Tissue	20141110_QEp1_LC7_PhGe_4_53_M3_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M4_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	16	Tissue	20141110_QEp1_LC7_PhGe_4_53_M4_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M4_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	16	Tissue	20141110_QEp1_LC7_PhGe_4_53_M4_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M4_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	16	Tissue	20141110_QEp1_LC7_PhGe_4_53_M4_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M4_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	4	16	Tissue	20141110_QEp1_LC7_PhGe_4_53_M4_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M5_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	1	17	Tissue	20141110_QEp1_LC7_PhGe_4_53_M5_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M5_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	2	17	Tissue	20141110_QEp1_LC7_PhGe_4_53_M5_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M5_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	3	17	Tissue	20141110_QEp1_LC7_PhGe_4_53_M5_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_M5_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	male	Healthy	Alive	4	17	Tissue	20141110_QEp1_LC7_PhGe_4_53_M5_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W1_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	18	Tissue	20141110_QEp1_LC7_PhGe_4_53_W1_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W1_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	18	Tissue	20141110_QEp1_LC7_PhGe_4_53_W1_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W1_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	18	Tissue	20141110_QEp1_LC7_PhGe_4_53_W1_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W1_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	4	18	Tissue	20141110_QEp1_LC7_PhGe_4_53_W1_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W2_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	19	Tissue	20141110_QEp1_LC7_PhGe_4_53_W2_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W2_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	19	Tissue	20141110_QEp1_LC7_PhGe_4_53_W2_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W2_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	19	Tissue	20141110_QEp1_LC7_PhGe_4_53_W2_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W2_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	4	19	Tissue	20141110_QEp1_LC7_PhGe_4_53_W2_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W3_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	20	Tissue	20141110_QEp1_LC7_PhGe_4_53_W3_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W3_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	20	Tissue	20141110_QEp1_LC7_PhGe_4_53_W3_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W3_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	20	Tissue	20141110_QEp1_LC7_PhGe_4_53_W3_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W3_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	4	20	Tissue	20141110_QEp1_LC7_PhGe_4_53_W3_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W4_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	21	Tissue	20141110_QEp1_LC7_PhGe_4_53_W4_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W4_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	21	Tissue	20141110_QEp1_LC7_PhGe_4_53_W4_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W4_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	21	Tissue	20141110_QEp1_LC7_PhGe_4_53_W4_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W4_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	4	21	Tissue	20141110_QEp1_LC7_PhGe_4_53_W4_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W5_1	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	1	22	Tissue	20141110_QEp1_LC7_PhGe_4_53_W5_1	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W5_2	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	2	22	Tissue	20141110_QEp1_LC7_PhGe_4_53_W5_2	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W5_3	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	3	22	Tissue	20141110_QEp1_LC7_PhGe_4_53_W5_3	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141110_QEp1_LC7_PhGe_4_53_W5_4	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	female	Healthy	Alive	4	22	Tissue	20141110_QEp1_LC7_PhGe_4_53_W5_4	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_10Different.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_10Different.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A1_141108192017	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A1_141108192017	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A4_141108195020	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	2	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A4_141108195020	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A7_141108202018	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	3	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A7_141108202018	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A10_141108205017	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	4	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A10_141108205017	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A12_141108212016	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	5	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_A12_141108212016	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d1_141108134754	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	6	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d1_141108134754	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d4_141108141755	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	7	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d4_141108141755	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d7_141108144754	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	8	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d7_141108144754	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d10_141108151752	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	9	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d10_141108151752	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d12_141108154751	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	10	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_d12_141108154751	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h1_141107202236	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	11	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h1_141107202236	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h4_141107205223	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	12	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h4_141107205223	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h7_141107212216	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	13	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h7_141107212216	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
PXD002854 20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h10_141107215159	Homo sapiens	Blood plasma	not available	not available	not applicable	not applicable	not available	Healthy	Alive	14	23	Tissue	20141017_QEp1_LC7_PhGe_SA_4_45_Day2_h10_141107215159	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_15WorkflowReplicates	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_15WorkflowReplicates.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
