source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[ion exchange method]	comment[salt step]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026127-Sample 34	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 34	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F6_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F6_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000657	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 35	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 35	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F7_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F7_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000658	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 36	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 36	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F7_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F7_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000659	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 37	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 37	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F8_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F8_CID_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000660	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 38	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 38	proteomic profiling by mass spectrometer	LCA_08222018_CD3_200_F8_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F8_CID_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000661	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 39	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 39	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F1_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F1_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000662	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 40	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 40	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F1_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F1_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000663	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 41	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 41	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F2_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F2_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000664	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 42	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 42	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F2_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F2_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000665	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 43	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 43	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F3_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F3_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000666	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 44	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 44	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F3_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F3_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000667	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 45	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 45	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F4_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F4_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000668	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 46	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 46	proteomic profiling by mass spectrometer	LCA_08232018_CD3_500_F4_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F4_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000669	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 47	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 47	proteomic profiling by mass spectrometer	LCA_08232018_CD3_pool_FT_200_F9_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_pool_FT_200_F9_01.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000670	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 48	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 48	proteomic profiling by mass spectrometer	LCA_08232018_CD3_pool_FT_200_F9_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_pool_FT_200_F9_02.raw		200 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000671	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 49	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 49	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F5_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F5_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000672	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 50	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 50	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F5_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F5_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000673	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 51	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 51	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F6_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F6_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000674	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 52	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 52	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F6_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F6_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000675	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 53	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 53	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F7_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F7_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000676	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 54	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 54	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F7_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F7_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	7	NT=Data-Dependent Acquisition;AC=PRIDE:0000677	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 55	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 55	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F8_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F8_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000678	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 56	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 56	proteomic profiling by mass spectrometer	LCA_08242018_CD3_500_F8_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F8_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	8	NT=Data-Dependent Acquisition;AC=PRIDE:0000679	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 57	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 57	proteomic profiling by mass spectrometer	LCA_08242018_CD3_pool_500_1M_F9_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_pool_500_1M_F9_CID_01.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000680	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 58	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 58	proteomic profiling by mass spectrometer	LCA_08242018_CD3_pool_500_1M_F9_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_pool_500_1M_F9_CID_02.raw		500 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	9	NT=Data-Dependent Acquisition;AC=PRIDE:0000681	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 59	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 59	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F1_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F1_CID_01.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000682	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 60	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 60	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F1_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F1_CID_02.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000683	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 61	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 61	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F2_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F2_CID_01.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000684	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 62	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 62	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F2_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F2_CID_02.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000685	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 63	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 63	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F3_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F3_CID_01.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000686	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 64	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 64	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F3_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F3_CID_02.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000687	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 65	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 65	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F4_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F4_CID_01.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000688	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 66	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 66	proteomic profiling by mass spectrometer	LCA_08252018_CD3_1M_F4_CID_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F4_CID_02.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000689	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026127-Sample 67	Homo Sapiens	Blood	"CD4-positive, alpha-beta T cell"	peripheral blood	1	not available	not available	not available	not available	normal	1	run 67	proteomic profiling by mass spectrometer	LCA_08262018_CD3_1M_F5_CID_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F5_CID_01.raw		1 M	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000691	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
