Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[metastasis site]	Sample Characteristic Ontology Term[metastasis site]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR760287	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LB647-SCLC		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			LB647-SCLC		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767020	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LC-1-sq		lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	male	http://purl.obolibrary.org/obo/PATO_0000384			LC-1-sq		lung	http://purl.obolibrary.org/obo/UBERON_0002048	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
ERR767021	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LC-2-ad	http://www.ebi.ac.uk/efo/EFO_0003140	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	female	http://purl.obolibrary.org/obo/PATO_0000383	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	LC-2-ad	http://www.ebi.ac.uk/efo/EFO_0003140	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	Yes
ERR767022	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU-134-A		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			LU-134-A		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767023	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU-135	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			LU-135	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767024	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU-139	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			LU-139	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767025	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LU-165	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			LU-165	http://www.ebi.ac.uk/efo/EFO_0002828	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767026	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDST8	http://www.ebi.ac.uk/efo/EFO_0006644	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available				MDST8	http://www.ebi.ac.uk/efo/EFO_0006644	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR767027	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MS-1	http://www.ebi.ac.uk/efo/EFO_0002836	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	not available				MS-1	http://www.ebi.ac.uk/efo/EFO_0002836	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767028	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H128		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			NCI-H128		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767029	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1304		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	female	http://purl.obolibrary.org/obo/PATO_0000383			NCI-H1304		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767030	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1417		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	female	http://purl.obolibrary.org/obo/PATO_0000383			NCI-H1417		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767031	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1688		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	liver	http://purl.obolibrary.org/obo/UBERON_0002107	NCI-H1688		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767032	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1770	http://www.ebi.ac.uk/efo/EFO_0002265	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	male	http://purl.obolibrary.org/obo/PATO_0000384	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	NCI-H1770	http://www.ebi.ac.uk/efo/EFO_0002265	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0001071	Yes
ERR767033	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1836		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384			NCI-H1836		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767034	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H187	http://www.ebi.ac.uk/efo/EFO_0002269	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	NCI-H187	http://www.ebi.ac.uk/efo/EFO_0002269	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR767035	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1993	http://www.ebi.ac.uk/efo/EFO_0002272	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	female	http://purl.obolibrary.org/obo/PATO_0000383			NCI-H1993	http://www.ebi.ac.uk/efo/EFO_0002272	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	Yes
ERR773638	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2135	http://www.ebi.ac.uk/efo/EFO_0006674	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	not available				NCI-H2135	http://www.ebi.ac.uk/efo/EFO_0006674	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR773639	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H2141		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	NCI-H2141		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR773640	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H250		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	unspecified		NCI-H250		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR773641	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H3122		lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available				NCI-H3122		lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR773642	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H345	http://www.ebi.ac.uk/efo/EFO_0006692	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	NCI-H345	http://www.ebi.ac.uk/efo/EFO_0006692	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR773643	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H378		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	female	http://purl.obolibrary.org/obo/PATO_0000383	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	NCI-H378		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR773644	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NOS-1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	male	http://purl.obolibrary.org/obo/PATO_0000384			NOS-1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773645	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NY		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				NY		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773646	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	143b	http://www.ebi.ac.uk/efo/EFO_0006355	bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	female	http://purl.obolibrary.org/obo/PATO_0000383			143b	http://www.ebi.ac.uk/efo/EFO_0006355	bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773647	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HOSMNNG		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				HOSMNNG		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773648	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NOS-1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	male	http://purl.obolibrary.org/obo/PATO_0000384			NOS-1		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773649	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HAL		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				HAL		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773650	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KPD		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				KPD		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR773651	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OST		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				OST		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR861996	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OHS		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				OHS		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR861997	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MHM		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	not available				MHM		bone	http://purl.obolibrary.org/obo/UBERON_0002481	osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
ERR865751	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	451Lu		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available				451Lu		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR865752	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A388		skin	http://purl.obolibrary.org/obo/UBERON_0000014	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	male	http://purl.obolibrary.org/obo/PATO_0000384	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	A388		skin	http://purl.obolibrary.org/obo/UBERON_0000014	squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000707	Yes
ERR865753	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A431	http://www.ebi.ac.uk/efo/EFO_0006268	skin	http://purl.obolibrary.org/obo/UBERON_0000014	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	female	http://purl.obolibrary.org/obo/PATO_0000383			A431	http://www.ebi.ac.uk/efo/EFO_0006268	skin	http://purl.obolibrary.org/obo/UBERON_0000014	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	Yes
ERR865754	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHL-1	http://www.ebi.ac.uk/efo/EFO_0002132	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available				CHL-1	http://www.ebi.ac.uk/efo/EFO_0002132	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR865755	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHSA0011		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	not available				CHSA0011		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR865756	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHSA0108		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	not available				CHSA0108		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR865757	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHSA8926		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	not available				CHSA8926		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR865758	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	COLO-824	http://purl.obolibrary.org/obo/CLO_0002577	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	female	http://purl.obolibrary.org/obo/PATO_0000383	unspecified		COLO-824	http://purl.obolibrary.org/obo/CLO_0002577	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ERR876056	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	A431	http://www.ebi.ac.uk/efo/EFO_0006268	skin	http://purl.obolibrary.org/obo/UBERON_0000014	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	female	http://purl.obolibrary.org/obo/PATO_0000383			A431	http://www.ebi.ac.uk/efo/EFO_0006268	skin	http://purl.obolibrary.org/obo/UBERON_0000014	carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	Yes
ERR876057	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHL-1	http://www.ebi.ac.uk/efo/EFO_0002132	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	not available				CHL-1	http://www.ebi.ac.uk/efo/EFO_0002132	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR876058	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CHSA0011		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	not available				CHSA0011		bone	http://purl.obolibrary.org/obo/UBERON_0002481	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
ERR886461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	CP66-MEL		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	male	http://purl.obolibrary.org/obo/PATO_0000384			CP66-MEL		skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR886462	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ES3		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	male	http://purl.obolibrary.org/obo/PATO_0000384			ES3		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR886463	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	ES4		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	male	http://purl.obolibrary.org/obo/PATO_0000384			ES4		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900124	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCC13		skin	http://purl.obolibrary.org/obo/UBERON_0000014	Merkel cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001471	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	MCC13		skin	http://purl.obolibrary.org/obo/UBERON_0000014	Merkel cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1001471	Yes
ERR900125	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-330	http://www.ebi.ac.uk/efo/EFO_0006454	breast	http://purl.obolibrary.org/obo/UBERON_0000310	invasive lobular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000553	female	http://purl.obolibrary.org/obo/PATO_0000383			MDA-MB-330	http://www.ebi.ac.uk/efo/EFO_0006454	breast	http://purl.obolibrary.org/obo/UBERON_0000310	invasive lobular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000553	Yes
ERR900126	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast	http://purl.obolibrary.org/obo/UBERON_0000310	ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	female	http://purl.obolibrary.org/obo/PATO_0000383	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	MFM-223	http://www.ebi.ac.uk/efo/EFO_0006649	breast	http://purl.obolibrary.org/obo/UBERON_0000310	ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR900127	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MRK-nu-1		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	female	http://purl.obolibrary.org/obo/PATO_0000383			MRK-nu-1		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ERR900128	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H510A	http://www.ebi.ac.uk/efo/EFO_0006693	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	NCI-H510A	http://www.ebi.ac.uk/efo/EFO_0006693	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR900129	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H64		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	female	http://purl.obolibrary.org/obo/PATO_0000383			NCI-H64		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR900130	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H720	http://www.ebi.ac.uk/efo/EFO_0002302	lung	http://purl.obolibrary.org/obo/UBERON_0002048	atypical carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_1000097	male	http://purl.obolibrary.org/obo/PATO_0000384			NCI-H720	http://www.ebi.ac.uk/efo/EFO_0002302	lung	http://purl.obolibrary.org/obo/UBERON_0002048	atypical carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_1000097	Yes
ERR900131	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H740		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	male	http://purl.obolibrary.org/obo/PATO_0000384	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	NCI-H740		lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR900132	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-13		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	not available				EW-13		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900133	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-16		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	not available				EW-16		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900134	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-18		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	not available				EW-18		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900135	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-22		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	not available				EW-22		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900136	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-24		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	not available				EW-24		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
ERR900137	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	EW-7		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	female	http://purl.obolibrary.org/obo/PATO_0000383			EW-7		bone	http://purl.obolibrary.org/obo/UBERON_0002481	Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	Yes
