Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413534	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1500	http://www.ebi.ac.uk/efo/EFO_0001172	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	32 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1500	http://www.ebi.ac.uk/efo/EFO_0001172	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413535	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1534	http://www.ebi.ac.uk/efo/EFO_0006428	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1534	http://www.ebi.ac.uk/efo/EFO_0006428	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413536	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1569	http://www.ebi.ac.uk/efo/EFO_0001173	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast metaplastic carcinoma	http://www.ebi.ac.uk/efo/EFO_1000040	70 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1569	http://www.ebi.ac.uk/efo/EFO_0001173	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast metaplastic carcinoma	http://www.ebi.ac.uk/efo/EFO_1000040	No
ERR413537	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1576	http://www.ebi.ac.uk/efo/EFO_0006429	other		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	unknown adrenal cancer	http://www.ebi.ac.uk/efo/EFO_0003850	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1576	http://www.ebi.ac.uk/efo/EFO_0006429	adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	unknown adrenal cancer	http://www.ebi.ac.uk/efo/EFO_0003850	Yes
ERR413538	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1599	http://www.ebi.ac.uk/efo/EFO_0002186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	44 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		FBS, 90%; DMSO, 10%		HCC1599	http://www.ebi.ac.uk/efo/EFO_0002186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413539	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1806	http://www.ebi.ac.uk/efo/EFO_0005373	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000053	60 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth media, 10% DMSO		HCC1806	http://www.ebi.ac.uk/efo/EFO_0005373	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000053	No
ERR413540	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC193	http://www.ebi.ac.uk/efo/EFO_0003130	lung	http://purl.obolibrary.org/obo/UBERON_0002048			lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	71 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC193	http://www.ebi.ac.uk/efo/EFO_0003130	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413541	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	breast	http://purl.obolibrary.org/obo/UBERON_0000310	soft tissue		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	23 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1937	http://www.ebi.ac.uk/efo/EFO_0001174	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	No
ERR413542	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC1954	http://www.ebi.ac.uk/efo/EFO_0001175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	soft tissue		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	61 year		female	http://purl.obolibrary.org/obo/PATO_0000383	East Indian		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC1954	http://www.ebi.ac.uk/efo/EFO_0001175	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413543	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC202	http://www.ebi.ac.uk/efo/EFO_0001176	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	82 year		not available		Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC202	http://www.ebi.ac.uk/efo/EFO_0001176	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413544	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2157	http://www.ebi.ac.uk/efo/EFO_0001177	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	48 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640 10% FBS, 2mM L-Gln		Complete growth medium, 90%; DMSO, 10%		HCC2157	http://www.ebi.ac.uk/efo/EFO_0001177	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413545	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2218	http://www.ebi.ac.uk/efo/EFO_0002187	breast	http://purl.obolibrary.org/obo/UBERON_0000310	soft tissue		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	38 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2218	http://www.ebi.ac.uk/efo/EFO_0002187	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413546	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2270	http://www.ebi.ac.uk/efo/EFO_0006430	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	64 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2270	http://www.ebi.ac.uk/efo/EFO_0006430	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413547	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2279	http://www.ebi.ac.uk/efo/EFO_0006431	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	52 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2279	http://www.ebi.ac.uk/efo/EFO_0006431	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413548	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2302	http://www.ebi.ac.uk/efo/EFO_0006432	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2302	http://www.ebi.ac.uk/efo/EFO_0006432	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413549	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2688	http://www.ebi.ac.uk/efo/EFO_0006433	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2688	http://www.ebi.ac.uk/efo/EFO_0006433	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413550	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2885	http://www.ebi.ac.uk/efo/EFO_0006434	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2885	http://www.ebi.ac.uk/efo/EFO_0006434	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413551	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2911	http://www.ebi.ac.uk/efo/EFO_0006435	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC2911	http://www.ebi.ac.uk/efo/EFO_0006435	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
ERR413552	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC2935	http://www.ebi.ac.uk/efo/EFO_0005375	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	39 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		FBS, 90%; DMSO, 10%		HCC2935	http://www.ebi.ac.uk/efo/EFO_0005375	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413553	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC33	http://www.ebi.ac.uk/efo/EFO_0006417	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	53 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 20% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC33	http://www.ebi.ac.uk/efo/EFO_0006417	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR413554	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC364	http://www.ebi.ac.uk/efo/EFO_0006420	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	76 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC364	http://www.ebi.ac.uk/efo/EFO_0006420	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413555	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC366	http://www.ebi.ac.uk/efo/EFO_0003131	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	80 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC366	http://www.ebi.ac.uk/efo/EFO_0003131	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413556	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast	http://purl.obolibrary.org/obo/UBERON_0000310	soft tissue		breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	50 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC38	http://www.ebi.ac.uk/efo/EFO_0001180	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413557	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC4006	http://www.ebi.ac.uk/efo/EFO_0003132	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	50 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC4006	http://www.ebi.ac.uk/efo/EFO_0003132	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413558	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC4011	http://www.ebi.ac.uk/efo/EFO_0006436	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	53 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC4011	http://www.ebi.ac.uk/efo/EFO_0006436	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413559	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC4017	http://www.ebi.ac.uk/efo/EFO_0006437	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC4017	http://www.ebi.ac.uk/efo/EFO_0006437	lung	http://purl.obolibrary.org/obo/UBERON_0002048	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
ERR413560	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC44	http://www.ebi.ac.uk/efo/EFO_0003133	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	54 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC44	http://www.ebi.ac.uk/efo/EFO_0003133	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413561	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC461	http://www.ebi.ac.uk/efo/EFO_0003134	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC461	http://www.ebi.ac.uk/efo/EFO_0003134	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413562	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC515	http://www.ebi.ac.uk/efo/EFO_0003135	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC515	http://www.ebi.ac.uk/efo/EFO_0003135	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413563	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC60	http://www.ebi.ac.uk/efo/EFO_0006418	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	26 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	not determined		not determined		HCC60	http://www.ebi.ac.uk/efo/EFO_0006418	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR413564	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC630	http://www.ebi.ac.uk/efo/EFO_0006421	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	32 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Hispanic	http://purl.obolibrary.org/obo/HANCESTRO_0014	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC630	http://www.ebi.ac.uk/efo/EFO_0006421	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR413565	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC70	http://www.ebi.ac.uk/efo/EFO_0001181	breast	http://purl.obolibrary.org/obo/UBERON_0000310	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	49 year		female	http://purl.obolibrary.org/obo/PATO_0000383	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC70	http://www.ebi.ac.uk/efo/EFO_0001181	breast	http://purl.obolibrary.org/obo/UBERON_0000310	breast ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006318	Yes
ERR413566	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC78	http://www.ebi.ac.uk/efo/EFO_0003136	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	65 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC78	http://www.ebi.ac.uk/efo/EFO_0003136	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413567	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC827	http://www.ebi.ac.uk/efo/EFO_0003137	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC827	http://www.ebi.ac.uk/efo/EFO_0003137	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413568	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	HCC89	http://www.ebi.ac.uk/efo/EFO_0006419	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	64 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		HCC89	http://www.ebi.ac.uk/efo/EFO_0006419	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
