Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[fraction]	Sample Characteristic Ontology Term[fraction]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[fraction]	Factor Value Ontology Term[fraction]	Analysed
ppb.iBAQ.SNB19_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SNB19	http://www.ebi.ac.uk/efo/EFO_0002342	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SNB75_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	embryonic central brain glia	http://purl.obolibrary.org/obo/FBbt_00005663	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	SNB-75		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SNB-75		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SR_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood component	http://www.ebi.ac.uk/efo/EFO_0001941	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0003032	SR		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SR		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.SW620_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	colorectum	http://purl.obolibrary.org/obo/UBERON_0012652	colorectal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	SW620	http://www.ebi.ac.uk/efo/EFO_0002368	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.T47D_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	T47D	http://www.ebi.ac.uk/efo/EFO_0001247	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	T47D	http://www.ebi.ac.uk/efo/EFO_0001247	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.TK10_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal glomerulus	http://purl.obolibrary.org/obo/UBERON_0000074	clear cell renal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000349	TK-10	http://www.ebi.ac.uk/efo/EFO_0006765	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	TK-10	http://www.ebi.ac.uk/efo/EFO_0006765	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.U251MG_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	U-251 MG	http://www.ebi.ac.uk/efo/EFO_0006498	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	U-251 MG	http://www.ebi.ac.uk/efo/EFO_0006498	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.U251MG_1_Gholami_deepProteome	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	U-251 MG	http://www.ebi.ac.uk/efo/EFO_0006498	deep proteome		U-251 MG	http://www.ebi.ac.uk/efo/EFO_0006498	deep proteome		Yes
ppb.iBAQ.UACC.257_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	UACC-257	http://www.ebi.ac.uk/efo/EFO_0005376	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	UACC-257	http://www.ebi.ac.uk/efo/EFO_0005376	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.UACC62_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	UACC-62	http://www.ebi.ac.uk/efo/EFO_0005377	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	UACC-62	http://www.ebi.ac.uk/efo/EFO_0005377	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
ppb.iBAQ.UO31_1_Gholami	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	renal glomerulus	http://purl.obolibrary.org/obo/UBERON_0000074	renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	UO31		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	UO31		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	Yes
