source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[cell line]
PXD042233-Sample-1379	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1379	2015_12_27_23_44_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_27_23_44_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1380	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1380	2015_12_28_05_42_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_28_05_42_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1381	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1381	2015_12_28_08_56_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_28_08_56_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1382	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1382	2015_12_28_12_10_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_28_12_10_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1383	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1383	2015_12_28_13_54_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2015_12_28_13_54_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1384	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1384	2015_12_29_14_58_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_29_14_58_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1385	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1385	2015_12_29_15_42_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	1	2015_12_29_15_42_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1386	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1386	2015_12_29_18_14_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_29_18_14_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1387	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1387	2015_12_29_19_51_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	1	2015_12_29_19_51_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1388	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1388	2015_12_29_21_38_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2015_12_29_21_38_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1389	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1389	2015_12_31_13_21_Q-Exactive-HF-Orbitrap_1	proteomic profiling by mass spectrometer	1	2015_12_31_13_21_Q-Exactive-HF-Orbitrap_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1390	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1390	2016_01_04_13_07_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	1	2016_01_04_13_07_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1391	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1391	2016_01_04_14_16_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	1	2016_01_04_14_16_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1392	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1392	2016_01_04_16_04_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	1	2016_01_04_16_04_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1393	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1393	2016_01_04_17_02_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	1	2016_01_04_17_02_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1394	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1394	2016_01_04_21_19_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	1	2016_01_04_21_19_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1395	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1395	2016_01_05_00_40_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	1	2016_01_05_00_40_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1396	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1396	2016_01_05_04_01_Q-Exactive-HF-Orbitrap_206	proteomic profiling by mass spectrometer	1	2016_01_05_04_01_Q-Exactive-HF-Orbitrap_206.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1397	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1397	2016_01_05_20_45_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	1	2016_01_05_20_45_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1398	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1398	2016_01_06_02_36_Q-Exactive-HF-Orbitrap_147	proteomic profiling by mass spectrometer	1	2016_01_06_02_36_Q-Exactive-HF-Orbitrap_147.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1399	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1399	2016_01_06_10_38_Q-Exactive-HF-Orbitrap_147	proteomic profiling by mass spectrometer	1	2016_01_06_10_38_Q-Exactive-HF-Orbitrap_147.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1400	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1400	2016_01_06_15_24_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_06_15_24_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1401	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1401	2016_01_06_18_06_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_06_18_06_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1402	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1402	2016_01_07_19_18_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	1	2016_01_07_19_18_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1403	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1403	2016_01_07_19_22_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2016_01_07_19_22_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1404	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1404	2016_01_07_22_08_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2016_01_07_22_08_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1405	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1405	2016_01_07_22_10_Q-Exactive-HF-Orbitrap_204	proteomic profiling by mass spectrometer	1	2016_01_07_22_10_Q-Exactive-HF-Orbitrap_204.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1406	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1406	2016_01_10_23_56_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2016_01_10_23_56_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1407	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1407	2016_01_11_02_42_Q-Exactive-HF-Orbitrap_207	proteomic profiling by mass spectrometer	1	2016_01_11_02_42_Q-Exactive-HF-Orbitrap_207.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1408	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1408	2016_01_11_07_33_Q-Exactive-HF-Orbitrap_148	proteomic profiling by mass spectrometer	1	2016_01_11_07_33_Q-Exactive-HF-Orbitrap_148.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1409	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1409	2016_01_11_18_04_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_11_18_04_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1410	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1410	2016_01_11_20_51_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_11_20_51_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1411	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1411	2016_01_11_22_59_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1	2016_01_11_22_59_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1412	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1412	2016_01_12_02_11_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1	2016_01_12_02_11_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1413	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1413	2016_01_12_05_41_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1	2016_01_12_05_41_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1414	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1414	2016_01_12_14_23_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_12_14_23_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1415	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1415	2016_01_12_16_35_Q-Exactive-HF-Orbitrap_143	proteomic profiling by mass spectrometer	1	2016_01_12_16_35_Q-Exactive-HF-Orbitrap_143.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1416	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1416	2016_01_13_01_10_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1	2016_01_13_01_10_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
PXD042233-Sample-1417	Homo sapiens	Cervix	African American	30Y6M	adult	female	HeLa	epithelial	Human papillomavirus-related cervical adenocarcinoma	1417	2016_01_13_04_26_Orbitrap-Fusion-Lumos_FSN20115	proteomic profiling by mass spectrometer	1	2016_01_13_04_26_Orbitrap-Fusion-Lumos_FSN20115.raw	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.05 Da	10 ppm	HeLa
