cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
JJN-3	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; leukemia	not available	no available	not available	no available	no available
JIMT-1	Homo sapiens	breast	breast carcinoma; breast ductal adenocarcinoma	62 year	no available	female	no available	no available
JMSU-1	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
JM1	Homo sapiens	hematopoietic system and lymphoid system	T-cell acute lymphoblastic leukemia	no available	no available	no available	no available	no available
SW 1573	Homo sapiens	lung	bronchioloalveolar carcinoma; bronchoalveolar adenocarcinoma	44 year	no available	female	no available	no available
SW-1710	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
SW1417	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
SW1463	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
SNU-1196	Homo sapiens	biliary system	hilar cholangiocarcinoma	no available	no available	no available	no available	no available
SNU-1105	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SW 1783	Homo sapiens	central nervous system	anaplastic astrocytoma	no available	no available	no available	no available	no available
SW 1990	Homo sapiens	pancreas	pancreatic adenocarcinoma	56 year	no available	male	no available	no available
CAL-62	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	no available	no available	no available	no available	no available
SNU-1066	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	no available	no available	no available	no available	no available
SNU-1079	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	no available	no available	no available	no available	no available
SNU-1077	Homo sapiens	endometrium	uterine carcinosarcoma	no available	no available	no available	no available	no available
SNU-1033	Homo sapiens	large intestine	rectal adenocarcinoma	no available	no available	no available	no available	no available
SNG-M	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
SNU-1041	Homo sapiens	upper digestive tract	hypopharyngeal squamous cell carcinoma	no available	no available	no available	no available	no available
SNU-1040	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
MDA-MB-453	Homo sapiens	breast	breast adenocarcinoma; breast carcinoma	not available	no available	female	no available	no available
MDA-MB-468	Homo sapiens	breast	breast adenocarcinoma	51 year	no available	female	no available	no available
MDA PCa 2b	Homo sapiens	prostate	prostate carcinoma	no available	no available	no available	no available	no available
MDST8	Homo sapiens	large intestine	colon carcinoma; colorectal adenocarcinoma	not available	no available	not available	no available	no available
MDA-MB-361	Homo sapiens	breast	breast adenocarcinoma	not available	no available	female; not available	no available	no available
MDA-MB-415	Homo sapiens	breast	breast adenocarcinoma	38 year	no available	female	no available	no available
MDA-MB-435S	Homo sapiens	skin	amelanotic melanoma	no available	no available	no available	no available	no available
MDA-MB-436	Homo sapiens	breast	invasive ductal carcinoma; breast adenocarcinoma	43 year	no available	female	no available	no available
ME-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myelogenic leukemia	40 year	no available	male	no available	no available
MEC-1	Homo sapiens	hematopoietic system and lymphoid system	chronic lymphocytic leukemia	no available	no available	no available	no available	no available
S-117	Homo sapiens	thyroid gland	thyroid gland sarcoma	no available	no available	no available	no available	no available
HEC-50B	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
NCI-H1435	Homo sapiens	lung	non-small cell lung carcinoma	35 year	no available	female	no available	no available
RERF-LC-KJ	Homo sapiens	lung	lung adenocarcinoma	78 year	no available	male	no available	no available
RERF-LC-AI	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
RD-ES	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
RCM-1	Homo sapiens	large intestine	rectal adenocarcinoma; colon adenocarcinoma	73 year	no available	female	no available	no available
REC-1	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma; B-cell lymphoma	61 year	no available	male	no available	no available
RD	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	no available	no available	no available	no available	no available
RERF-GC-1B	Homo sapiens	stomach	gastric adenocarcinoma; gastric carcinoma	41 year	no available	male	no available	no available
Reh	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	no available	no available	no available	no available	no available
RERF-LC-Ad2	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
RERF-LC-Ad1	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H1155	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	36 year	no available	male	no available	no available
NCI-H2081	Homo sapiens	lung	small cell lung carcinoma	59 year	no available	female	no available	no available
NCI-H1963	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1944	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	62 year	no available	female	no available	no available
NCI-H209	Homo sapiens	lung	small cell lung carcinoma	not available	no available	male	no available	no available
NCI-H2106	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	58 year	no available	male	no available	no available
NCI-H2110	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
NCI-H211	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1838	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	no available	female	no available	no available
NCI-H1836	Homo sapiens	lung	small cell lung carcinoma	no available	no available	male	no available	no available
NCI-H1819	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H1793	Homo sapiens	lung	lung adenocarcinoma	52 year	no available	female	no available	no available
NCI-H1373	Homo sapiens	lung	lung adenocarcinoma	56 year	no available	male	no available	no available
NCI-H1915	Homo sapiens	lung	non-small cell lung carcinoma	61 year	no available	female	no available	no available
NCI-H1876	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1869	Homo sapiens	lung	non-small cell lung carcinoma	58 year	no available	male	no available	no available
NCI-H1385	Homo sapiens	lung	non-small cell lung carcinoma	no available	no available	no available	no available	no available
COLO 829	Homo sapiens	skin	melanoma	45 year	no available	male	no available	no available
COLO-800	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
SNU-C4	Homo sapiens	large intestine	colon adenocarcinoma	no available	no available	no available	no available	no available
TE 159.T	Homo sapiens	fibroblast	rhabdomyosarcoma	no available	no available	no available	no available	no available
HEC-1-B	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
HEC-251	Homo sapiens	endometrium	endometrial carcinoma	no available	no available	no available	no available	no available
HEC-265	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
ECC12	Homo sapiens	stomach	gastric small cell neuroendocrine carcinoma	no available	no available	no available	no available	no available
HEC-59	Homo sapiens	endometrium	endometrial carcinoma	no available	no available	no available	no available	no available
HEC-6	Homo sapiens	endometrium	endometrial endometrioid adenocarcinoma, variant with squamous differentiation	no available	no available	no available	no available	no available
HEK TE	Homo sapiens	kidney	normal cell line	no available	no available	no available	no available	no available
HEL 92.1.7	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	no available	no available	no available	no available	no available
HeLa	Homo sapiens	cervix; uterine cervix	cervical adenocarcinoma; cervical carcinoma	not available		female	no available	
HEL	Homo sapiens	hematopoietic system and lymphoid system	erythroleukemia	30 year	no available	male	no available	no available
DOHH-2	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	60 year	no available	male	no available	no available
DND-41	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia; acute lymphoblastic leukemia	no available	no available	male	no available	no available
ECC10	Homo sapiens	stomach	gastric small cell neuroendocrine carcinoma	no available	no available	no available	no available	no available
EBC-1	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	not available	no available	not available	no available	no available
EB1	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	not available	no available	not available	no available	no available
DV-90	Homo sapiens	lung	lung adenocarcinoma	50 year	no available	male	no available	no available
A2058	Homo sapiens	skin	amelanotic melanoma; melanoma	43 year	no available	male	no available	no available
A-204	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	no available	no available	no available	no available	no available
COLO-679	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
PC-14	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
786-O	Homo sapiens	kidney	renal cell carcinoma; renal adenocarcinoma	58 year	no available	male	no available	no available
769-P	Homo sapiens	kidney	renal cell carcinoma; renal adenocarcinoma	63 year	no available	female	no available	no available
8505C	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma		adult	female	no available	
8305C	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	no available	no available	no available	no available	no available
A101D	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
8-MG-BA	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
A172	Homo sapiens	central nervous system	glioblastoma	not available	no available	male	no available	no available
A1207	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SNU-475	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
SNU-478	Homo sapiens	biliary system	ampulla of Vater adenocarcinoma	no available	no available	no available	no available	no available
SNU-489	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SNU-503	Homo sapiens	large intestine	rectal adenocarcinoma	no available	no available	no available	no available	no available
SNU-423	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
SNU-449	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
SNU-466	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SNU-46	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	no available	no available	no available	no available	no available
SNU-520	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	no available	no available	no available
SNU-5	Homo sapiens	stomach	gastric carcinoma	not available	no available	not available	no available	no available
HuNS1	Homo sapiens	hematopoietic system and lymphoid system	normal cell line	no available	no available	no available	no available	no available
HuH-7	Homo sapiens	liver	hepatocellular carcinoma	57 year; 57	adult	male	no available	HuH7
HuH-6	Homo sapiens	liver	hepatoblastoma	no available	no available	no available	no available	no available
HuH28	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	no available	no available	no available	no available	no available
HuH-1	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
HuG1-N	Homo sapiens	stomach	gastric tubular adenocarcinoma	no available	no available	no available	no available	no available
HuCCT1	Homo sapiens	biliary system	intrahepatic cholangiocarcinoma	no available	no available	no available	no available	no available
HT	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse mixed lymphoma	70 year	no available	male	no available	no available
HUP-T4	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	60 year	no available	male	no available	no available
HUP-T3	Homo sapiens	pancreas	pancreatic adenocarcinoma	66 year	no available	male	no available	no available
PE/CA-PJ15	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	no available	not available	no available	no available
SW 780	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	80 year	no available	female	no available	no available
TGBC11TKB	Homo sapiens	stomach	gastric carcinoma; gastric adenocarcinoma	no available	no available	female	no available	no available
SIG-M5	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute monocytic leukemia	not available	no available	not available	no available	no available
SHP-77	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
SIMA	Homo sapiens	autonomic ganglion	neuroblastoma	no available	no available	no available	no available	no available
SiHa	Homo sapiens	cervix; uterine cervix	cervical squamous cell carcinoma	not available		female; not available	no available	
SK-BR-3	Homo sapiens	breast; mammary gland	breast adenocarcinoma; adenocarcinoma	43 year; 43	adult	female	no available	
SJSA-1	Homo sapiens	bone	osteosarcoma	no available	no available	no available	no available	no available
SK-ES-1	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
SK-CO-1	Homo sapiens	large intestine	colon adenocarcinoma	65 year	no available	male	no available	no available
SK-LMS-1	Homo sapiens	soft tissue	vulvar leiomyosarcoma	no available	no available	no available	no available	no available
SK-HEP-1	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	no available	no available	no available
L-540	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	no available	no available	no available
LAMA-84	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenous leukemia	no available	no available	female	no available	no available
PANC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	56 year	no available	male	no available	no available
MUTZ-5	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	no available	no available	no available	no available	no available
MV-4-11	Homo sapiens	hematopoietic system and lymphoid system	childhood acute monocytic leukemia; acute myeloid leukemia	10 year	no available	male	no available	no available
U-118 MG	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
U-178MG	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
PA-TU-8902	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	no available	not available	no available	no available
U-2 OS	Homo sapiens	bone	osteosarcoma	15 year	no available	female	no available	no available
U-343MG	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
MOLT-3	Homo sapiens	hematopoietic system and lymphoid system; blood	adult T acute lymphoblastic leukemia	19	adult	male	no available	
MONO-MAC-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	no available	no available	no available	no available	no available
MONO-MAC-6	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	no available	no available	no available	no available	no available
MON	Homo sapiens	soft tissue	malignant rhabdoid tumour	no available	no available	no available	no available	no available
MOR/CPR	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
MPP 89	Homo sapiens	pleura	mesothelioma	no available	no available	no available	no available	no available
MSTO-211H	Homo sapiens	pleura; lung	pleural mesothelioma; Biphasic Mesothelioma				no available	
MUTZ-3	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	no available	no available	no available	no available	no available
KNS-60	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
KNS-42	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
KARPAS-422	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; non-Hodgkin's lymphoma	not available	no available	not available	no available	no available
KARPAS-620	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; plasma cell leukemia; leukemia	77 year	no available	not available; female	no available	no available
KOPN-8	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	no available	no available	no available	no available	no available
KO52	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia; acute myelomonocytic leukemia	no available	no available	male	no available	no available
KNS-81	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
KNS-62	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	49 year	no available	male	no available	no available
JVM-2	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma	no available	no available	no available	no available	no available
JVM-3	Homo sapiens	hematopoietic system and lymphoid system	B-cell prolymphocytic leukemia	no available	no available	no available	no available	no available
JURKAT	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
JURL-MK1	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	no available	no available	no available	no available	no available
KALS-1	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
KARPAS-299	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma	no available	no available	no available	no available	no available
K029AX	Homo sapiens	skin	cutaneous melanoma	no available	no available	no available	no available	no available
K-562	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelogenic leukemia	not available	no available	not available	no available	no available
RH-18	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	no available	no available	no available	no available	no available
LCLC-97TM1	Homo sapiens	lung	large cell lung carcinoma	44 year	no available	male	no available	no available
TUHR14TKB	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
TUHR10TKB	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
RH-30	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	no available	no available	no available	no available	no available
U-87 MG	Homo sapiens	central nervous system; brain	glioblastoma				no available	
TTC-709	Homo sapiens	soft tissue	malignant rhabdoid tumour	no available	no available	no available	no available	no available
TTC-642	Homo sapiens	soft tissue	malignant rhabdoid tumour	no available	no available	no available	no available	no available
TT	Homo sapiens	thyroid gland	multiple endocrine neoplasia	no available	no available	no available	no available	no available
T.T	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
TT2609-C02	Homo sapiens	thyroid gland	hereditary thyroid gland medullary carcinoma; follicular thyroid carcinoma	no available	no available	male	no available	no available
TOV-21G	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	no available	no available	no available	no available	no available
TTC-549	Homo sapiens	soft tissue	malignant rhabdoid tumour	no available	no available	no available	no available	no available
TTC-1240	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	no available	no available	no available	no available	no available
GB-1	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
GCIY	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	female	no available	no available
OVMANA	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	not available	no available	not available	no available	no available
FU97	Homo sapiens	stomach	gastric adenocarcinoma	66 year	no available	male	no available	no available
FU-OV-1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	no available	no available	no available	no available	no available
G-292-clone-A141B1	Homo sapiens	bone	osteosarcoma	no available	no available	no available	no available	no available
G-361	Homo sapiens	skin	melanoma	31 year	no available	male	no available	no available
G-401	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	no available	no available	no available	no available	no available
G-402	Homo sapiens	soft tissue	leiomyoma, epithelioid; renal leiomyoma	9 month	no available	female	no available	no available
GA-10	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma; malignant Burkitt's lymphoma	41 year	no available	male	no available	no available
GAMG	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
RL95-2	Homo sapiens	endometrium	endometrial adenosquamous carcinoma	no available	no available	no available	no available	no available
SH-10-TC	Homo sapiens	stomach	mucinous gastric adenocarcinoma	no available	no available	no available	no available	no available
SF-295	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
RL	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	52 year	no available	male	no available	no available
Set-2	Homo sapiens	hematopoietic system and lymphoid system	adult acute megakaryoblastic leukaemia	no available	no available	no available	no available	no available
SEM	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	no available	no available	no available	no available	no available
SF172	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
SF126	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
OVKATE	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma; ovarian papillary serous adenocarcinoma	40 year	adult	female	no available	no available
U-937	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia; diffuse large B-cell lymphoma	37 year	no available	male	no available	no available
MDA-MB-134-VI	Homo sapiens	breast	invasive lobular carcinoma; breast carcinoma	47 year	no available	female	no available	no available
MDA-MB-157	Homo sapiens	breast	breast carcinoma; breast medullary carcinoma	44 year	no available	female	no available	no available
MCAS	Homo sapiens	ovary	ovarian mucinous cystadenocarcinoma; ovarian adenocarcinoma	not available	no available	not available	no available	no available
MCF7	Homo sapiens	breast	invasive ductal carcinoma; breast cancer	no available	no available	no available	no available	no available
Malme-3M	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
MC116	Homo sapiens	hematopoietic system and lymphoid system	B-cell non-Hodgkins lymphoma; lymphoma	not available	no available	not available	no available	no available
M059K	Homo sapiens	central nervous system	glioblastoma	33 year	no available	male	no available	no available
M-07e	Homo sapiens	hematopoietic system and lymphoid system	childhood acute megakaryoblastic leukemia	no available	no available	no available	no available	no available
SW 1353	Homo sapiens	bone	chondrosarcoma	no available	no available	no available	no available	no available
NCI-H1930	Homo sapiens	lung	small cell lung carcinoma	41 year	no available	male	no available	no available
Panc 04.03	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	70 year	no available	male	no available	no available
MDA-MB-175-VII	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	56 year	no available	female	no available	no available
MDA-MB-231	Homo sapiens	breast	breast adenocarcinoma	51 year	no available	female	no available	no available
BFTC-905	Homo sapiens	urinary tract	bladder transitional cell carcinoma; urinary bladder transitional cell carcinoma	51 year	no available	female	no available	no available
BFTC-909	Homo sapiens	kidney	transitional cell carcinoma of kidney	64 year	no available	male	no available	no available
BDCM	Homo sapiens	hematopoietic system and lymphoid system	acute myeloid leukemia	no available	no available	no available	no available	no available
BEN	Homo sapiens	lung	non-small cell lung carcinoma; lung carcinoma	71 year	no available	male	no available	no available
BCP-1	Homo sapiens	hematopoietic system and lymphoid system	primary effusion lymphoma	no available	no available	no available	no available	no available
B-CPAP	Homo sapiens	thyroid gland	papillary thyroid carcinoma	no available	no available	no available	no available	no available
AU565	Homo sapiens	breast	breast adenocarcinoma	no available	no available	no available	no available	no available
BC-3C	Homo sapiens	urinary tract	bladder transitional cell carcinoma	no available	no available	no available	no available	no available
BHT-101	Homo sapiens	thyroid gland	thyroid gland undifferentiated (anaplastic) carcinoma	no available	no available	no available	no available	no available
BHY	Homo sapiens	upper digestive tract	oral squamous cell carcinoma; oral cavity squamous cell carcinoma	not available	no available	not available	no available	no available
Hs 695T	Homo sapiens	skin	amelanotic melanoma; melanoma	not available	no available	not available	no available	no available
Hs 698.T	Homo sapiens	fibroblast	colorectal carcinoma	no available	no available	no available	no available	no available
Hs 706.T	Homo sapiens	bone	bone giant cell tumor	no available	no available	no available	no available	no available
Hs 729	Homo sapiens	soft tissue	embryonal rhabdomyosarcoma	no available	no available	no available	no available	no available
Hs 618.T	Homo sapiens	fibroblast	lung adenocarcinoma	no available	no available	no available	no available	no available
Hs 675.T	Homo sapiens	fibroblast	colorectal carcinoma; colon carcinoma	not available	no available	male	no available	no available
Hs 683	Homo sapiens	central nervous system	oligodendroglioma; glioma	not available	no available	not available	no available	no available
Hs 688(A).T	Homo sapiens	fibroblast	melanoma	no available	no available	no available	no available	no available
COLO 792	Homo sapiens	skin	melanoma	62 year	no available	male	no available	no available
COLO-783	Homo sapiens	skin	melanoma; metastatic melanoma	48 year	no available	female	no available	no available
COLO 741	Homo sapiens	skin	colon adenocarcinoma; colon carcinoma	69 year	no available	not available	no available	no available
COLO 684	Homo sapiens	endometrium	endometrium adenocarcinoma	no available	no available	no available	no available	no available
Hs 737.T	Homo sapiens	fibroblast	bone giant cell tumor	no available	no available	no available	no available	no available
Hs 739.T	Homo sapiens	fibroblast	breast carcinoma	no available	no available	no available	no available	no available
COLO-678	Homo sapiens	large intestine	colon carcinoma	no available	no available	no available	no available	no available
COLO 668	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H2077	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
PA-TU-8988S	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	no available	female	no available	no available
NCI-H2085	Homo sapiens	lung	non-small cell lung carcinoma	no available	no available	no available	no available	no available
RERF-LC-Sq1	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H520	Homo sapiens	lung	squamous cell lung carcinoma	not available	no available	male	no available	no available
RH-41	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	no available	no available	no available	no available	no available
RI-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	57 year	no available	female	no available	no available
NCI-H2087	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
RKO	Homo sapiens	large intestine	colon carcinoma; colorectal carcinoma	not available	no available	not available	no available	no available
NCI-H441	Homo sapiens	lung	papillary lung adenocarcinoma; lung papillary adenocarcinoma	not available	no available	male	no available	no available
NCI-H358	Homo sapiens	lung	bronchoalveolar adenocarcinoma; non-small cell lung carcinoma	not available		not available	no available	
NCI-H3255	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
NCI-H322	Homo sapiens	lung	bronchoalveolar adenocarcinoma	no available	no available	no available	no available	no available
NCI-H510	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H508	Homo sapiens	large intestine	cecum adenocarcinoma	no available	no available	no available	no available	no available
NCI-H446	Homo sapiens	lung	small cell lung carcinoma	61 year	no available	male	no available	no available
T-47D	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	54 year	no available	female	no available	no available
NCI-H2122	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	46 year	no available	female	no available	no available
NCI-H2126	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	65 year	no available	male	no available	no available
HCC-1438	Homo sapiens	lung	large cell lung carcinoma	no available	no available	no available	no available	no available
HCC1428	Homo sapiens	breast	breast adenocarcinoma	49 year	no available	female	no available	no available
HCC1187	Homo sapiens	breast	breast ductal adenocarcinoma; ductal carcinoma	41 year	no available	female	no available	no available
HCC-1171	Homo sapiens	lung	lung adenocarcinoma	no available	no available	no available	no available	no available
HCC1143	Homo sapiens	breast	breast ductal adenocarcinoma	52 year	not available	female; not available	no available	no available
HARA	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
HCC1419	Homo sapiens	breast	breast ductal adenocarcinoma	42 year	no available	female	no available	no available
HCC1395	Homo sapiens	breast	breast ductal adenocarcinoma	43 year	no available	female	no available	no available
HCC-1359	Homo sapiens	lung	lung giant cell carcinoma	no available	no available	no available	no available	no available
HCC-1195	Homo sapiens	lung	adenosquamous lung carcinoma	no available	no available	no available	no available	no available
TCC-PAN2	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	68 year	no available	female	no available	no available
TCCSUP	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
TE-10	Homo sapiens	esophagus	esophageal squamous cell carcinoma; esophageal carcinoma	no available	no available	male	no available	no available
TE-11	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
T84	Homo sapiens	large intestine	colon adenocarcinoma; colon carcinoma	not available	no available	not available	no available	no available
T98G	Homo sapiens	central nervous system	glioblastoma	61 year	no available	male	no available	no available
TALL-1	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	no available	no available	no available	no available	no available
TC-71	Homo sapiens	bone	Ewing sarcoma; Ewing's sarcoma	22 year	no available	male	no available	no available
TE 125.T	Homo sapiens	fibroblast	rhabdomyosarcoma	no available	no available	no available	no available	no available
TE-14	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	no available	no available	no available
LN-235	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
LN-229	Homo sapiens	central nervous system; brain	glioblastoma; glioma	not available		not available	no available	
