cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
MFE-280	no available	Endometrium	Endometrial Carcinoma	Unknown	Endometrial Adenocarcinoma	CVCL_1405	Homo Sapiens	Female	Unknown	77	SIDM00335	SIDS01106	SIDP00995
MFH-ino	no available	Soft Tissue	Other Sarcomas	Unknown	Undifferentiated Pleomorphic Sarcoma	CVCL_1407	Homo Sapiens	Female	East Asian	no available	SIDM00299	SIDS00687	SIDP00614
MKN1	no available	Stomach	Gastric Carcinoma	Lymph Node	Gastric Adenosquamous Carcinoma	CVCL_1415	Homo Sapiens	Male	East Asian	72	SIDM00271	SIDS00688	SIDP00615
NB10	SJNB-10;NB10-DH	Peripheral Nervous System	Neuroblastoma	Unknown	Neuroblastoma	CVCL_1441	Homo Sapiens	Male	Unknown	2	SIDM00259	SIDS00718	SIDP00642
NCC010	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_X505	Homo Sapiens	Male	Unknown	no available	SIDM00231	SIDS00649	SIDP00578
NCC021	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_X506	Homo Sapiens	Unknown	Unknown	no available	SIDM00232	SIDS00650	SIDP00579
NOS-1	no available	Bone	Osteosarcoma	Unknown	Osteosarcoma	CVCL_1610	Homo Sapiens	Male	East Asian	16	SIDM00242	SIDS00696	SIDP00622
OMC-1	no available	Cervix	Cervical Carcinoma	Lymph Node	Cervical Squamous Cell Carcinoma	CVCL_1623	Homo Sapiens	Female	East Asian	52	SIDM00240	SIDS00698	SIDP00624
TE-11	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1761	Homo Sapiens	Male	Unknown	58	SIDM00348	SIDS01074	SIDP00963
TE-4	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Lymph Node	Esophageal Squamous Cell Carcinoma	CVCL_3337	Homo Sapiens	Female	Unknown	no available	SIDM00250	SIDS00706	SIDP00631
TE-5	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1764	Homo Sapiens	Female	Unknown	no available	SIDM00347	SIDS01075	SIDP00964
TE-6	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1765	Homo Sapiens	Male	Unknown	no available	SIDM00328	SIDS01076	SIDP00965
TE-8	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1766	Homo Sapiens	Male	Unknown	no available	SIDM00326	SIDS01077	SIDP00966
TE-9	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Pleural effusion	Esophageal Squamous Cell Carcinoma	CVCL_1767	Homo Sapiens	Male	Unknown	no available	SIDM00325	SIDS01078	SIDP00967
TGW	TOG;TGW-nu;TGW-I-nu;TGW-nu-1	Peripheral Nervous System	Neuroblastoma	Adrenal Gland	Adrenal Gland Neuroblastoma	CVCL_1771	Homo Sapiens	Male	Unknown	no available	SIDM00324	SIDS01079	SIDP00968
TK	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peripheral blood	B-Cell Non-Hodgkin's Lymphoma	CVCL_3216	Homo Sapiens	Female	Unknown	80	SIDM00323	SIDS01080	SIDP00969
VMRC-MELG	Leggee	Skin	Melanoma	Colon	Melanoma	CVCL_1789	Homo Sapiens	Male	Unknown	no available	SIDM00319	SIDS01084	SIDP00973
VMRC-RCW	Thomas Wirts	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1790	Homo Sapiens	Male	Unknown	no available	SIDM00318	SIDS01085	SIDP00974
VMRC-RCZ	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_1791	Homo Sapiens	Unknown	Unknown	no available	SIDM00317	SIDS01086	SIDP00975
YH-13	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1795	Homo Sapiens	Male	Unknown	40	SIDM00316	SIDS01087	SIDP00976
NCI-H1882	no available	Lung	Small Cell Lung Carcinoma	Bone marrow	Small Cell Lung Carcinoma	CVCL_1504	Homo Sapiens	Male	White	59	SIDM00764	SIDS00253	SIDP00209
GP2d	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_2450	Homo Sapiens	Female	White	71	SIDM00536	SIDS00905	SIDP00808
LU-99	C-Lu99	Lung	Non-Small Cell Lung Carcinoma	Unknown	Giant Cell Lung Carcinoma	CVCL_3015	Homo Sapiens	Male	East Asian	63	SIDM00546	SIDS01012	SIDP00906
KP-3N	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Adenosquamous Carcinoma	CVCL_0U13	Homo Sapiens	Male	East Asian	75	SIDM00558	SIDS01000	SIDP00894
KP-3L	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Adenosquamous Carcinoma	CVCL_3006	Homo Sapiens	Male	East Asian	75	SIDM00559	SIDS00999	SIDP00894
MY	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Peripheral blood	Acute Biphenotypic Leukemia	CVCL_3034	Homo Sapiens	Female	East Asian	52	SIDM00563	SIDS01017	SIDP00911
HEL-92-1-7	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone marrow	Erythroleukemia	CVCL_2481	Homo Sapiens	Male	White	30	SIDM00593	SIDS00965	SIDP00863
HEC-1-A	no available	Endometrium	Endometrial Carcinoma	Endometrium	Endometrial Adenocarcinoma	CVCL_0293	Homo Sapiens	Female	East Asian	71	SIDM00595	SIDS00963	SIDP00862
JHOS-4	no available	Ovary	Ovarian Carcinoma	Unknown	High Grade Ovarian Serous Adenocarcinoma	CVCL_4649	Homo Sapiens	Female	East Asian	44	SIDM00303	SIDS00675	SIDP00603
SUIT-2	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Ductal Adenocarcinoma	CVCL_3172	Homo Sapiens	Male	East Asian	73	SIDM00371	SIDS01070	SIDP00959
RMG-I	RMG1	Ovary	Ovarian Carcinoma	Ascites	Ovarian Clear Cell Adenocarcinoma	CVCL_1662	Homo Sapiens	Female	East Asian	34	SIDM00352	SIDS01050	SIDP00943
YAPC	no available	Pancreas	Pancreatic Carcinoma	Ascites	Pancreatic Carcinoma	CVCL_1794	Homo Sapiens	Male	East Asian	43	SIDM00411	SIDS01180	SIDP01066
TE-10	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1760	Homo Sapiens	Male	Unknown	no available	SIDM00349	SIDS01073	SIDP00962
KU812	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Peripheral Blood	Chronic Myelogenous Leukemia	CVCL_0379	Homo Sapiens	Male	East Asian	38	SIDM00308	SIDS00678	SIDP00606
RT-112	no available	Bladder	Bladder Carcinoma	Unknown	Bladder Carcinoma	CVCL_1670	Homo Sapiens	Female	Unknown	no available	SIDM00402	SIDS01150	SIDP01037
LC-2-ad	no available	Lung	Non-Small Cell Lung Carcinoma	Pleural Effusion	Lung Adenocarcinoma	CVCL_1373	Homo Sapiens	Female	East Asian	51	SIDM00297	SIDS00681	SIDP00608
SNU-C4	NCI-SNU-C4	Large Intestine	Colorectal Carcinoma	Transverse Colon	Colon Adenocarcinoma	CVCL_5111	Homo Sapiens	Male	East Asian	35	SIDM00500	SIDS00941	SIDP00841
CHSA0108	no available	Bone	Chondrosarcoma	Unknown	Chondrosarcoma	CVCL_X484	Homo Sapiens	Male	Unknown	no available	SIDM00050	SIDS00733	SIDP00657
EKVX	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1195	Homo Sapiens	Male	Unknown	no available	SIDM00119	SIDS00818	SIDP00731
NCI-H2804	no available	Lung	Mesothelioma	Unknown	Malignant Pleural Mesothelioma	CVCL_U998	Homo Sapiens	Male	Unknown	no available	SIDM00310	SIDS00881	SIDP00785
JHOS-2	no available	Ovary	Ovarian Carcinoma	Unknown	High Grade Ovarian Serous Adenocarcinoma	CVCL_4647	Homo Sapiens	Female	East Asian	45	SIDM00305	SIDS00673	SIDP00601
L-1236	no available	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	Peripheral blood	Hodgkin's Lymphoma	CVCL_2096	Homo Sapiens	Male	Unknown	34	SIDM00313	SIDS01090	SIDP00979
LXF-289	LXF 289L	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1394	Homo Sapiens	Male	Unknown	63	SIDM00339	SIDS01102	SIDP00991
MFM-223	no available	Breast	Breast Carcinoma	Pleural effusion	Breast Carcinoma	CVCL_1408	Homo Sapiens	Female	Unknown	no available	SIDM00332	SIDS01109	SIDP00998
P32-ISH	P32/Ishida	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Peripheral blood	Burkitt's Lymphoma	CVCL_3119	Homo Sapiens	Male	East Asian	8	SIDM00362	SIDS01040	SIDP00933
QGP-1	no available	Pancreas	Other Solid Cancers	Pancreas	Pancreatic Somatostatinoma	CVCL_3143	Homo Sapiens	Male	East Asian	61	SIDM00360	SIDS01042	SIDP00935
RCM-1	no available	Large Intestine	Colorectal Carcinoma	Rectum	Rectal Adenocarcinoma	CVCL_1648	Homo Sapiens	Female	Unknown	no available	SIDM00359	SIDS01043	SIDP00936
RERF-GC-1B	no available	Stomach	Gastric Carcinoma	Pyloric lymph nodes	Gastric Adenocarcinoma	CVCL_3152	Homo Sapiens	Male	East Asian	41	SIDM00358	SIDS01044	SIDP00937
RERF-LC-FM	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1653	Homo Sapiens	Unknown	East Asian	no available	SIDM00357	SIDS01045	SIDP00938
RERF-LC-KJ	no available	Lung	Non-Small Cell Lung Carcinoma	Unknown	Lung Adenocarcinoma	CVCL_1654	Homo Sapiens	Male	Unknown	78	SIDM00356	SIDS01046	SIDP00939
RERF-LC-Sq1	no available	Lung	Squamous Cell Lung Carcinoma	Lung	Squamous Cell Lung Carcinoma	CVCL_1656	Homo Sapiens	Female	East Asian	74	SIDM00354	SIDS01048	SIDP00941
RKN	no available	Soft Tissue	Other Sarcomas	Ovary	Ovarian Leiomyosarcoma	CVCL_3156	Homo Sapiens	Female	East Asian	45	SIDM00353	SIDS01049	SIDP00942
ROS-50	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peripheral blood	Diffuse Large B-Cell Lymphoma	CVCL_1887	Homo Sapiens	Male	Unknown	69	SIDM00415	SIDS01148	SIDP01035
RPMI-8402	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1667	Homo Sapiens	Female	Unknown	16	SIDM00403	SIDS01149	SIDP01036
RVH-421	no available	Skin	Melanoma	Intracranial	Melanoma	CVCL_1672	Homo Sapiens	Male	Other	28	SIDM00401	SIDS01151	SIDP01038
SAS	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_1675	Homo Sapiens	Female	Unknown	no available	SIDM00351	SIDS01051	SIDP00944
SAT	no available	Head and Neck	Head and Neck Carcinoma	Oral cavity	Head and Neck Squamous Cell Carcinoma	CVCL_3160	Homo Sapiens	Unknown	East Asian	no available	SIDM00350	SIDS01052	SIDP00945
SBC-1	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1676	Homo Sapiens	Male	Unknown	no available	SIDM00365	SIDS01053	SIDP00946
SCC-3	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural effusion	B-Cell Non-Hodgkin's Lymphoma	CVCL_1683	Homo Sapiens	Female	Unknown	20	SIDM00384	SIDS01057	SIDP00949
SCH	no available	Stomach	Gastric Carcinoma	Stomach	Gastric Choriocarcinoma	CVCL_1687	Homo Sapiens	Male	Unknown	no available	SIDM00383	SIDS01058	SIDP00950
SISO	no available	Cervix	Cervical Carcinoma	Unknown	Cervical Adenocarcinoma	CVCL_2193	Homo Sapiens	Female	East Asian	67	SIDM00394	SIDS01158	SIDP01044
SK-GT-2	no available	Stomach	Gastric Carcinoma	gastric fundus	Gastric Fundus Carcinoma	CVCL_2194	Homo Sapiens	Male	Other	72	SIDM00393	SIDS01159	SIDP01045
SK-MEL-30	AW-Mel	Skin	Melanoma	Unknown	Cutaneous Melanoma	CVCL_0039	Homo Sapiens	Male	White	67	SIDM00392	SIDS01160	SIDP01046
SK-MG-1	AJ	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_1698	Homo Sapiens	Female	Unknown	no available	SIDM00379	SIDS01062	SIDP00954
SK-MM-2	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral blood	Plasma Cell Myeloma	CVCL_1699	Homo Sapiens	Male	Unknown	54	SIDM00391	SIDS01161	SIDP01047
SKG-IIIa	SKG-3a	Cervix	Cervical Carcinoma	Uterine cervix	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_1704	Homo Sapiens	Female	East Asian	no available	SIDM00381	SIDS01060	SIDP00952
SKM-1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_0098	Homo Sapiens	Male	East Asian	76	SIDM00380	SIDS01061	SIDP00953
SKN-3	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Head and Neck Squamous Cell Carcinoma	CVCL_3168	Homo Sapiens	Unknown	Unknown	no available	SIDM00375	SIDS01066	SIDP00956
SKN	no available	Uterus	Other Sarcomas	Uterus	Uterine Corpus Leiomyosarcoma	CVCL_3167	Homo Sapiens	Female	Other	52	SIDM00377	SIDS01065	SIDP00955
SLVL	VL51	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peripheral blood	Splenic Marginal Zone B-Cell Lymphoma with Villous Lymphocytes	CVCL_3169	Homo Sapiens	Female	East Asian	70	SIDM00374	SIDS01067	SIDP00957
SU-DHL-4	SUD4;SU4	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural effusion	Diffuse Large B-Cell Lymphoma	CVCL_0539	Homo Sapiens	Male	Unknown	38	SIDM00405	SIDS01165	SIDP01051
T-T	tdott	Esophagus	Esophageal Squamous Cell Carcinoma	Oesophagus	Esophageal Squamous Cell Carcinoma	CVCL_3174	Homo Sapiens	Male	Unknown	67	SIDM00322	SIDS01081	SIDP00970
TT2609-C02	TT2609-CO2	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_2218	Homo Sapiens	Male	White	57	SIDM00418	SIDS01173	SIDP01059
WSU-DLCL2	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural effusion	Diffuse Large B-Cell Lymphoma	CVCL_1902	Homo Sapiens	Male	White	41	SIDM00413	SIDS01178	SIDP01064
YKG-1	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1796	Homo Sapiens	Female	Unknown	53	SIDM00315	SIDS01088	SIDP00977
VM-CUB-1	VM-CUB-I	Bladder	Bladder Carcinoma	Unknown	Bladder Carcinoma	CVCL_1786	Homo Sapiens	Male	Unknown	no available	SIDM00414	SIDS01177	SIDP01063
PANC-1	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_0480	Homo Sapiens	Male	White	56	SIDM00610	SIDS00996	SIDP00892
MM1	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral Blood	Plasma Cell Myeloma	CVCL_5801	Homo Sapiens	Female	Black	42	SIDM00624	SIDS00203	SIDP00165
SF767	no available	Cervix	Cervical Carcinoma	Unknown	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_6950	Homo Sapiens	Female	White	66	SIDM00626	SIDS00201	SIDP00163
MC-CAR-Z2	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_6671	Homo Sapiens	Male	White	81	SIDM00635	SIDS00192	SIDP00155
M059K	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_0401	Homo Sapiens	Male	Unknown	33	SIDM00639	SIDS00189	SIDP00153
NCI-H1870	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1502	Homo Sapiens	Female	Unknown	no available	SIDM00647	SIDS00218	SIDP00178
SK-GT-4	no available	Esophagus	Esophageal Carcinoma	Esophagus	Esophageal Adenocarcinoma	CVCL_2195	Homo Sapiens	Male	White	89	SIDM00483	SIDS00937	SIDP00837
OCI-M1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Erythroleukemia blasts	Adult Acute Myeloid Leukemia	CVCL_2149	Homo Sapiens	Unknown	Unknown	62	SIDM00458	SIDS01135	SIDP01022
PSN1	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Adenocarcinoma	CVCL_1644	Homo Sapiens	Male	Unknown	no available	SIDM00469	SIDS00933	SIDP00834
SW1710	no available	Bladder	Bladder Carcinoma	Unknown	Bladder Carcinoma	CVCL_1721	Homo Sapiens	Female	White	84	SIDM00420	SIDS01171	SIDP01057
NCI-BL1395	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_2638	Homo Sapiens	Female	White	55	SIDM00643	SIDS00222	SIDP00181
SUP-M2	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Cerebrospinal fluid 	Anaplastic Large Cell Lymphoma	CVCL_2209	Homo Sapiens	Female	Unknown	5	SIDM00421	SIDS01170	SIDP01056
OE19	JROECL19;OEC19	Esophagus	Esophageal Carcinoma	Esophagus	Esophageal Adenocarcinoma	CVCL_1622	Homo Sapiens	Male	White	72	SIDM00479	SIDS00923	SIDP00826
U-698-M	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Tonsil	Precursor Lymphoblastic Lymphoma	CVCL_0017	Homo Sapiens	Male	Unknown	7	SIDM00424	SIDS01175	SIDP01061
ASH-3	no available	Thyroid	Thyroid Gland Carcinoma	Neck	Thyroid Gland Anaplastic Carcinoma	CVCL_2856	Homo Sapiens	Female	East Asian	68	SIDM00491	SIDS00950	SIDP00850
BICR22	no available	Head and Neck	Oral Cavity Carcinoma	Lymph node	Tongue Squamous Cell Carcinoma	CVCL_2310	Homo Sapiens	Male	White	no available	SIDM00485	SIDS00939	SIDP00839
Becker	AK	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_1093	Homo Sapiens	Male	Unknown	57	SIDM00490	SIDS00951	SIDP00851
Ca9-22	no available	Head and Neck	Oral Cavity Carcinoma	Oral, gingiva	Gingival Squamous Cell Carcinoma	CVCL_1102	Homo Sapiens	Male	East Asian	no available	SIDM00489	SIDS00952	SIDP00852
CaR-1	no available	Large Intestine	Colorectal Carcinoma	Rectum	Rectal Adenocarcinoma	CVCL_1116	Homo Sapiens	Male	Unknown	no available	SIDM00488	SIDS00953	SIDP00853
MHH-ES-1	no available	Bone	Ewing's Sarcoma	Ascites	Ewing's Sarcoma	CVCL_1411	Homo Sapiens	Male	Other	12	SIDM00386	SIDS01112	SIDP01001
ML-1	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Follicular Thyroid Carcinoma	CVCL_H525	Homo Sapiens	Female	Unknown	50	SIDM00442	SIDS01115	SIDP01004
ML-2	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_1418	Homo Sapiens	Male	Unknown	no available	SIDM00441	SIDS01116	SIDP01005
MUTZ-1	no available	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Unknown	Epstein-Barr Virus-Related Burkitt s Lymphoma	CVCL_1431	Homo Sapiens	Female	Black	3	SIDM00656	SIDS00209	SIDP00170
NB4	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone marrow	Acute Promyelocytic Leukemia	CVCL_0005	Homo Sapiens	Female	Unknown	23	SIDM00428	SIDS01126	SIDP01013
NU-DUL-1	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Cerebrospinal fluid 	Diffuse Large B-Cell Lymphoma	CVCL_1877	Homo Sapiens	Male	White	43	SIDM00443	SIDS01127	SIDP01014
OAW-28	no available	Ovary	Ovarian Carcinoma	Ascites	High Grade Ovarian Serous Adenocarcinoma	CVCL_1614	Homo Sapiens	Female	Unknown	no available	SIDM00481	SIDS00921	SIDP00824
OCI-AML2	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_1619	Homo Sapiens	Male	Unknown	65	SIDM00446	SIDS01130	SIDP01017
OCI-AML3	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_1844	Homo Sapiens	Male	Unknown	57	SIDM00462	SIDS01131	SIDP01018
OCI-LY-19	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Bone marrow	Diffuse Large B-Cell Lymphoma	CVCL_1878	Homo Sapiens	Female	Unknown	27	SIDM00460	SIDS01133	SIDP01020
OE21	JROECL21	Esophagus	Esophageal Squamous Cell Carcinoma	Esophagus	Esophageal Squamous Cell Carcinoma	CVCL_2661	Homo Sapiens	Male	White	74	SIDM00478	SIDS00924	SIDP00827
OE33	JROECL33;OEC33	Esophagus	Esophageal Carcinoma	Esophagus	Barrett s Adenocarcinoma	CVCL_0471	Homo Sapiens	Female	White	73	SIDM00477	SIDS00925	SIDP00828
OPM-2	no available	Haematopoietic and Lymphoid	Plasma Cell Myeloma	Peripheral blood	Plasma Cell Myeloma	CVCL_1625	Homo Sapiens	Female	Unknown	56	SIDM00457	SIDS01136	SIDP01023
OV-56	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Serous Adenocarcinoma	CVCL_2673	Homo Sapiens	Female	Unknown	46	SIDM00475	SIDS00927	SIDP00830
OV-7	no available	Ovary	Ovarian Carcinoma	Ovary	Ovarian Carcinoma	CVCL_2675	Homo Sapiens	Female	Unknown	78	SIDM00474	SIDS00928	SIDP00831
OVKATE	no available	Ovary	Ovarian Carcinoma	Ovary	High Grade Ovarian Serous Adenocarcinoma	CVCL_3110	Homo Sapiens	Female	East Asian	40	SIDM00466	SIDS01034	SIDP00928
OVMIU	no available	Ovary	Ovarian Carcinoma	Ovary	High Grade Ovarian Serous Adenocarcinoma	CVCL_3112	Homo Sapiens	Female	East Asian	no available	SIDM00465	SIDS01035	SIDP00929
P12-ICHIKAWA	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1630	Homo Sapiens	Male	Unknown	7	SIDM00463	SIDS01137	SIDP01024
PA-TU-8988T	PATU-T	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Adenocarcinoma	CVCL_1847	Homo Sapiens	Female	Unknown	64	SIDM00453	SIDS01139	SIDP01026
PEO1	PE01	Ovary	Ovarian Carcinoma	Ascites	Ovarian Cystadenocarcinoma	CVCL_2686	Homo Sapiens	Female	Unknown	no available	SIDM00472	SIDS00930	SIDP00833
PF-382	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Pleural effusion	Childhood T Acute Lymphoblastic Leukemia	CVCL_1641	Homo Sapiens	Female	Unknown	6	SIDM00451	SIDS01140	SIDP01027
PL-21	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Acute Myeloid Leukemia	CVCL_2161	Homo Sapiens	Male	Unknown	24	SIDM00450	SIDS01141	SIDP01028
QIMR-WIL	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Acute Myeloid Leukemia	CVCL_1645	Homo Sapiens	Female	Unknown	no available	SIDM00467	SIDS00935	SIDP00835
RC-K8	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Peritoneal effusion	Diffuse Large B-Cell Lymphoma	CVCL_1883	Homo Sapiens	Unknown	Unknown	no available	SIDM00448	SIDS01143	SIDP01030
RH-1	SJRH-1	Bone	Ewing's Sarcoma	Bone marrow	Ewing's Sarcoma	CVCL_1658	Homo Sapiens	Male	Unknown	no available	SIDM00427	SIDS01145	SIDP01032
SIMA	no available	Peripheral Nervous System	Neuroblastoma	Adrenal Tissue	Neuroblastoma	CVCL_1695	Homo Sapiens	Male	Other	1	SIDM00395	SIDS01157	SIDP01043
SU-DHL-1	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Pleural effusion	Anaplastic Large Cell Lymphoma	CVCL_0538	Homo Sapiens	Male	Unknown	10	SIDM00390	SIDS01162	SIDP01048
SU-DHL-8	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Pleural effusion	Diffuse Large B-Cell Lymphoma	CVCL_2207	Homo Sapiens	Male	Unknown	59	SIDM00423	SIDS01168	SIDP01054
TC-71	GM11654	Bone	Ewing's Sarcoma	Humerus	Ewing's Sarcoma	CVCL_2213	Homo Sapiens	Male	Unknown	22	SIDM00419	SIDS01172	SIDP01058
TE-1	no available	Esophagus	Esophageal Squamous Cell Carcinoma	Unknown	Esophageal Squamous Cell Carcinoma	CVCL_1759	Homo Sapiens	Male	Unknown	no available	SIDM00369	SIDS01072	SIDP00961
TT	MTC-TT	Thyroid	Thyroid Gland Carcinoma	Thyroid	Hereditary Thyroid Gland Medullary Carcinoma	CVCL_1774	Homo Sapiens	Female	White	77	SIDM00484	SIDS00938	SIDP00838
VAL	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Bone marrow	Diffuse Large B-Cell Lymphoma	CVCL_1819	Homo Sapiens	Female	Unknown	50	SIDM00416	SIDS01176	SIDP01062
YT	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Pericardial fluid	Natural Killer Cell Lymphoblastic Leukemia or Lymphoma	CVCL_1797	Homo Sapiens	Male	Unknown	15	SIDM00410	SIDS01181	SIDP01067
NCI-H1417	no available	Lung	Small Cell Lung Carcinoma	Lung	Small Cell Lung Carcinoma	CVCL_1469	Homo Sapiens	Female	White	61	SIDM00642	SIDS00223	SIDP00182
1205Lu	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_5239	Homo Sapiens	Male	Unknown	37	SIDM00972	SIDS00435	SIDP00372
WM-165-1	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_L033	Homo Sapiens	Female	Unknown	55	SIDM00977	SIDS00430	SIDP00368
BeWo	no available	Placenta	Other Solid Cancers	Placenta	Gestational Choriocarcinoma	CVCL_0044	Homo Sapiens	Male	Unknown	no available	SIDM00692	SIDS00173	SIDP00139
NCI-H1881	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_A513	Homo Sapiens	Male	White	59	SIDM00765	SIDS00252	SIDP00209
HCT-8	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Adenocarcinoma	CVCL_2478	Homo Sapiens	Male	Unknown	67	SIDM00786	SIDS00041	SIDP00030
DLD-1	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Adenocarcinoma	CVCL_0248	Homo Sapiens	Male	Unknown	no available	SIDM00787	SIDS00040	SIDP00030
