cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
Hs-172-T	Hs 172.T	CVCL_0660	no available	Homo Sapiens	Bladder	Urinary bladder	50Y	Adult	no available	Caucasian	Bladder carcinoma	fibroblast	cell	HS172T; HS-172-T	curated
Hs-229-T	Hs 229.T	CVCL_0698	no available	Homo Sapiens	Lung	Lung	65Y	Elderly	no available	Caucasian	Non-small cell lung carcinoma	fibroblast of lung	cell	HS-229-T; HS229T	curated
Hs-255-T	Hs 255.T	CVCL_0707	no available	Homo Sapiens	Colon	Colon	46Y	Adult	Female	Caucasian	Colorectal carcinoma	fibroblast	cell	HS255; HS255T; HS-255-T	curated
Hs-274-T	Hs 274.T	CVCL_0711	no available	Homo Sapiens	Breast	Mammary gland	66Y	Elderly	Female	Caucasian	Breast carcinoma	fibroblast	cell	HS-274-T; HS 274; HS274T	curated
Hs-281-T	Hs 281.T	CVCL_0715	no available	Homo Sapiens	Breast	Mammary gland	37Y	Adult	Female	Caucasian	Breast carcinoma	fibroblast	cell	HS-281-T; HS281T	curated
Hs-343-T	Hs 343.T	CVCL_0726	no available	Homo Sapiens	Breast	Mammary gland	47Y	Adult	Female	Caucasian	Breast carcinoma	fibroblast	cell	HS343T; HS-343-T	curated
Hs-445	Hs 445	CVCL_0761	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	56Y	Adult	Female	Caucasian	Non-cancerous	no available	cell	HS 445T; HS445; HS-445	curated
Hs-571-T	Hs 571.T	CVCL_0802	no available	Homo Sapiens	Ovary	Ovary	no available	no available	Female	Caucasian	Ovarian carcinoma	no available	cell	HS571T	curated
Hs-600-T	Hs 600.T	CVCL_0814	no available	Homo Sapiens	Skin	Skin	no available	no available	no available	Caucasian	Melanoma	skin fibroblast	cell	HS600T; HS-600-T	curated
Hs-604-T	Hs 604.T	CVCL_0816	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	21Y	Adult	Male	Caucasian	Hodgkin's lymphoma	fibroblast	cell	HS-604-T; HS604T	curated
Hs-606-T	Hs 606.T	CVCL_0819	no available	Homo Sapiens	Breast	no available	44Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	HS606; HS-606-T; HS606T; HS 606	curated
Hs-611-T	Hs 611.T	CVCL_0823	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	48Y	Adult	Female	Caucasian	Hodgkins lymphoma	no available	cell	HS-611-T; HS611T	curated
Hs-616-T	Hs 616.T	CVCL_0825	no available	Homo Sapiens	Haematopoietic and Lymphoid	no available	16Y	Juvenile	Male	Caucasian	Hodgkin's lymphoma	fibroblast	cell	HS-616-T; HS616T	curated
Hs-618-T	Hs 618.T	CVCL_0827	no available	Homo Sapiens	Lung	Lung	60Y	Adult	no available	no available	Non-small cell lung carcinoma	fibroblast of lung	cell	HS618T; HS-618-T; 618T	curated
Hs-633T	Hs 633.T	CVCL_0832	no available	Homo Sapiens	Soft Tissue	no available	25Y	Adult	Female	no available	Fibrosarcoma	no available	cell	HS-633-T; HS-633T; MB 8387; HS 633T; HS633T; HS 8387; MBA/8387; LINE 8387; 8387	curated
Hs-675-T	Hs 675.T	CVCL_0836	no available	Homo Sapiens	Colon	Colon	no available	no available	Male	Caucasian	Colorectal carcinoma	fibroblast	cell	HS675; HS675T; HS-675-T; 675T	curated
Hs-683	Hs 683	CVCL_0844	HS-683 cell	Homo Sapiens	Brain	Left temporal lobe	76Y	Elderly	Male	Caucasian	Oligodendroglioma	no available	cell	HS683; HS 683; HS-683 CELL; HS683 CELL; HS683T; HS 683T; HS 683.T; HS-683	curated
Hs-688A-T	Hs 688(A).T	CVCL_0846	no available	Homo Sapiens	Skin	Skin	69Y	Elderly	Male	Caucasian	Melanoma	skin fibroblast	cell	HS688AT; HS688(A)T; HS-688A-T	curated
Hs-688B-T	Hs 688(B).T	CVCL_0847	no available	Homo Sapiens	Skin	Inguinal lymph node	69Y	Elderly	Male	Caucasian	Melanoma	no available	cell	HS-688B-T; HS 688T	curated
Hs-695-T	Hs 695T	CVCL_0851	no available	Homo Sapiens	Skin	Lymph node	26Y	Adult	Male	Caucasian	Amelanotic melanoma	no available	cell	HS-695-T; HS 695.T; HS-695T; HS695; HS 695T; HS695T	curated
Hs-698-T	Hs 698.T	CVCL_0855	no available	Homo Sapiens	Large Intestine	Connective tissue	70Y	Elderly	Male	South Asian	Colorectal carcinoma	fibroblast	cell	HS-698-T; HS698T	curated
Hs-706-T	Hs 706.T	CVCL_0863	no available	Homo Sapiens	Bone	Bone	16Y	Juvenile	Female	Caucasian	Malignancy in giant cell tumor of bone	no available	cell	HS706T; HS-706-T	curated
Hs-729-T	Hs 729.T	CVCL_0871	no available	Homo Sapiens	Soft Tissue	Muscle	74Y	Elderly	Male	Caucasian	Embryonal rhabdomyosarcoma	muscle fibroblast	cell	HS729T; HS729; HS 729; HS-729; HS-729-T; HS 729T	curated
Hs-737-T	Hs 737.T	CVCL_0878	no available	Homo Sapiens	Bone	no available	10Y	Children	Female	Caucasian	Other solid cancers	no available	cell	HS737T; HS-737-T	curated
Hs-739-T	Hs 739.T	CVCL_0882	no available	Homo Sapiens	Breast	Mammary gland	52Y	Adult	Female	Asian	Breast carcinoma	fibroblast	cell	HS739T; HS-739-T	curated
Hs-742-T	Hs 742.T	CVCL_0888	no available	Homo Sapiens	Breast	Mammary gland	71Y	Elderly	Female	Caucasian	Breast carcinoma	fibroblast	cell	HS-742-T; HS742T	curated
Hs-751-T	Hs 751.T	CVCL_0891	no available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	19Y	Adult	Male	Caucasian	Hodgkin's lymphoma	fibroblast	cell	HS751T	curated
Hs-819-T	Hs 819.T	CVCL_0928	no available	Homo Sapiens	Bone	Bone	60Y	Adult	Male	Caucasian	Chondrosarcoma	fibroblast	cell	HS819.T; HS-819-T; HS819T	curated
Hs-821-T	Hs 821.T	CVCL_0932	no available	Homo Sapiens	Bone	Bone	31Y	Adult	Female	White	Other solid cancers	fibroblast	cell	HS821T; HS-821-T	curated
Hs-822-T	Hs 822.T	CVCL_0933	no available	Homo Sapiens	Bone	Bone	9Y	Children	Female	White	Ewing sarcoma	fibroblast	cell	HS822T; HS-822-T	curated
Hs-834-T	Hs 834.T	CVCL_0938	no available	Homo Sapiens	Skin	Lymph node; Cervical lymph node	27Y	Adult	Female	no available	Melanoma	fibroblast	cell	HS834T; HS-834-T	curated
Hs-839-T	Hs 839.T	CVCL_0941	no available	Homo Sapiens	Skin	Skin	42Y	Adult	Female	Caucasian	Melanoma	skin fibroblast	cell	HS-839-T; HS839T; HS839.T	curated
Hs-840-T	Hs 840.T	CVCL_0942	no available	Homo Sapiens	Head and Neck	Pharynx	7Y	Children	Male	Caucasian	Non-cancerous	fibroblast	cell	HS840_T; HS-840-T; HS840T	curated
Hs-852-T	Hs 852.T	CVCL_0950	no available	Homo Sapiens	Skin	Skin; Under finger nail	53Y	Adult	Male	Asian	Melanoma	epithelial cell	cell	HS852; HS852T; HS852.T; HS-852-T	curated
Hs-860-T	Hs 860.T	CVCL_0957	no available	Homo Sapiens	Bone	Bone	22Y	Adult	Male	Caucasian	Osteosarcoma	no available	cell	HS860T; HS-860-T	curated
Hs-863-T	Hs 863.T	CVCL_0959	no available	Homo Sapiens	Bone	Bone	5Y	Children	Female	Caucasian	Ewing sarcoma	fibroblast	cell	HS-863-T; HS863T	curated
Hs-870-T	Hs 870.T	CVCL_0966	no available	Homo Sapiens	Bone	Bone	22Y	Adult	Male	Caucasian	Osteosarcoma	fibroblast	cell	HS870T; HS-870-T	curated
Hs-888-Lu	Hs 888.Lu	CVCL_0977	Hs888Lu cell	Homo Sapiens	Lung	Lung	20Y	Adult	Male	Caucasian	Non-cancerous	fibroblast of lung	cell	HS888LU; HS888 LU; HS 888LU	curated
Hs-888-Sk	Hs 888.Sk	CVCL_0978	no available	Homo Sapiens	Skin	Skin	20Y	Adult	Male	Caucasian	Non-cancerous	skin fibroblast	cell	Hs-888-Sk	curated
Hs-888-T	Hs 888.T	CVCL_0979	no available	Homo Sapiens	Bone	Lung	20Y	Adult	Male	Caucasian	Osteosarcoma	fibroblast of lung	cell	HS-888-T; HS888T	curated
Hs-895-Sk	Hs 895.Sk	CVCL_0992	no available	Homo Sapiens	Skin	Skin	48Y	Adult	Female	Caucasian	Non-cancerous	skin fibroblast	cell	HS 895 SK; HS-895-SK	curated
Hs-895-T	Hs 895.T	CVCL_0993	no available	Homo Sapiens	Skin	Skin	48Y	Adult	Female	Caucasian	Melanoma	skin fibroblast	cell	HS-895-T; HS 895 T; HS895.T; HS895T	curated
RPK-1	RPK-1	CVCL_0B31	RPK-1 cell	Homo Sapiens	Pancreas	Liver	no available	no available	no available	Japanese	Pancreatic ductal adenocarcinoma	no available	cell	RPK1; RPK1 CELL	curated
CHLA-218	CHLA-218	CVCL_0B48	no available	Homo Sapiens	Bone	no available	no available	Children	no available	no available	Primitive neuroectodermal tumor	no available	cell	CHLA218	curated
CHLA-57	CHLA-57	CVCL_0B49	no available	Homo Sapiens	Bone	no available	no available	Children	no available	no available	Primitive neuroectodermal tumor	no available	cell	CHLA57	curated
CHLA-99	CHLA-99	CVCL_0B50	no available	Homo Sapiens	Bone	no available	no available	Children	no available	no available	Ewing sarcoma	no available	cell	CHLA99	curated
WM3772F	WM3772F	CVCL_0B81	no available	Homo Sapiens	Eye	Lung	no available	no available	Female	no available	Uveal melanoma	no available	cell	WM3772	curated
CII	CII	CVCL_0D73	no available	Homo Sapiens	Blood	Peripheral blood	47Y	Adult	Female	no available	Chronic lymphocytic leukemia	no available	cell	CLL-CII	curated
KP-3N	KP-3N	CVCL_0U13	no available	Homo Sapiens	Pancreas	Liver	75Y	Elderly	Male	Japanese	Pancreatic adenosquamous carcinoma	no available	cell	KP-3N	curated
Hs-934-T	Hs 934.T	CVCL_1031	no available	Homo Sapiens	Skin	Connective tissue	58Y	Adult	Female	Caucasian	Melanoma	fibroblast	cell	HS934T; HS-934-T	curated
Hs-935-T	Hs 935.T	CVCL_1032	no available	Homo Sapiens	Skin	Connective tissue	58Y	Adult	Female	Caucasian	Melanoma	fibroblast	cell	HS 935.T; HS-935-T	curated
Hs-936-T	Hs 936.T	CVCL_1033	no available	Homo Sapiens	Skin	Skin	no available	no available	Male	Caucasian	Melanoma	no available	cell	HS-936.T; HS 936T; HS-936-T; HS936T; HS936.T; HS 936.T	curated
Hs-939-T	Hs 939.T	CVCL_1036	no available	Homo Sapiens	Skin	no available	24Y	Adult	Female	Caucasian	Melanoma	no available	cell	HS939T; HS-939-T; HS939-T	curated
Hs-940-T	Hs 940.T	CVCL_1038	no available	Homo Sapiens	Skin	Skin	57Y	Adult	Male	Caucasian	Melanoma	skin fibroblast	cell	HS940T; HS-940-T; HS940-T; HS-940; HS940; HS940.T	curated
Hs-944-T	Hs 944.T	CVCL_1040	no available	Homo Sapiens	Skin	no available	51Y	Adult	no available	Caucasian	Cutaneous melanoma	no available	cell	HS944; HS944T; HS-944-T; HS 944; HS 944T	curated
22RV1	22Rv1	CVCL_1045	CWR22-Rv1 cell	Homo Sapiens	Prostate	Prostate	no available	Adult	Male	Caucasian	Prostate carcinoma	no available	cell	CWR22R-V1; CWR-R1 CELL; R1 CELL; CWR22R; RV1 CELL; 22-RV1 CELL; CWR22RV1; CWR22R-V1 CELL; CWR22-RV1; 22RV1; 22RV-1 CELL; CWR-22RV1; 22RV1 CELL; CWR22-R1; CWR22RV1 CELL; CWR22-R1 CELL; 22RV-1	curated
23132-87	23132/87	CVCL_1046	no available	Homo Sapiens	Stomach	Stomach	72Y	Elderly	Male	Caucasian	Gastric adenocarcinoma	no available	cell	23132; 23132-87; 2313287; ST 23132; ST23132	curated
639-V	639V	CVCL_1048	no available	Homo Sapiens	Bladder	Left ureter	69Y	Elderly	Male	Caucasian	Ureter transitional cell carcinoma	no available	cell	639-V; 639 V; 639V	curated
647-V	647V	CVCL_1049	no available	Homo Sapiens	Bladder	Urinary bladder	59Y	Adult	Male	Caucasian	Bladder carcinoma	no available	cell	647 V; 647-V	curated
769-P	769-P	CVCL_1050	769-P cell	Homo Sapiens	Kidney	Kidney	63Y	Adult	Female	Caucasian	Renal cell carcinoma	no available	cell	769P; 769-P	curated
786-0	786-O	CVCL_1051	RCC 786-O cell	Homo Sapiens	Kidney	Kidney	58Y	Adult	Male	Caucasian	Renal cell carcinoma	no available	cell	786-O RCC; 786-0WT; 786-0 CELL; 7860; 786O; 786-O; 786.O; 786-0; 786-O CELL; RCC 786-O; RCC 7860; RCC_7860	curated
8-MG-BA	8-MG-BA	CVCL_1052	no available	Homo Sapiens	Brain	Frontal lobe; Frontal brain lobe	54Y	Adult	Female	Caucasian	Glioblastoma	no available	cell	8MGBA	curated
8305C	8305C	CVCL_1053	8305C cell	Homo Sapiens	Thyroid	Thyroid; Thyroid gland	67Y	Elderly	Female	Japanese	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	8305-C CELL; 8305-C; 8305C_1; 8305C	curated
8505C	8505C	CVCL_1054	8505C cell	Homo Sapiens	Thyroid	Thyroid; Thyroid gland	78Y	Elderly	Female	Japanese	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	NAN; 8505C	curated
A427	A-427	CVCL_1055	A-427 cell	Homo Sapiens	Lung	Lung	52Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	A427N; A427	curated
A498	A-498	CVCL_1056	A-498 cell	Homo Sapiens	Kidney	Kidney	52Y	Adult	Female	Caucasian	Renal cell carcinoma	no available	cell	A498 CELL; A498	curated
A101D	A101D	CVCL_1057	no available	Homo Sapiens	Skin	Lymph node; Skin	56Y	Adult	Male	Caucasian	Melanoma	no available	cell	A-101D	curated
A204	A-204	CVCL_1058	A-204 cell	Homo Sapiens	Soft Tissue	Muscle	1Y	Infant	Female	Caucasian	Embryonal rhabdomyosarcoma	no available	cell	A204; HTB-82 CELL	curated
A2058	A2058	CVCL_1059	A-2058 cell	Homo Sapiens	Skin	Lymph node	43Y	Adult	Male	Caucasian	Amelanotic melanoma	no available	cell	A 2058 CELL; A-2058; A2058 CELL; A 2058	curated
A253	A-253	CVCL_1060	A-253 cell	Homo Sapiens	Mouth	Salivary gland	54Y	Adult	Male	Caucasian	Submandibular gland squamous cell carcinoma	no available	cell	A253; A253 CELL; A 253	curated
A3	Jurkat clone A3	CVCL_1061	A3 cell	Homo Sapiens	Blood	Peripheral blood	14Y	Juvenile	Male	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	JURKAT CLONE A3 CELL; A3; JURKAT A3 CELL	curated
A3-KAW	A3/Kawakami	CVCL_1062	no available	Homo Sapiens	Ascites	Ascites	68Y	Elderly	Female	Japanese	Diffuse large b-cell lymphoma	no available	cell	A3KAW; A3-KAW; A3/KAWAKAMI; A3/KAW; A3/KAWA	curated
A388	A-388	CVCL_1063	no available	Homo Sapiens	Skin	Lymph node	86Y	Elderly	Male	Caucasian	Skin squamous cell carcinoma	no available	cell	A388	curated
A4-Fuk	A4/Fukuda	CVCL_1064	no available	Homo Sapiens	Ascites	Ascites	52Y	Adult	Female	Japanese	B-cell adult acute lymphocytic leukemia	no available	cell	A4-FUK; A4:FUK; A4FUK; A4/FUK; A4/FUKUDA	curated
A704	A-704	CVCL_1065	A-704 cell	Homo Sapiens	Kidney	Kidney	78Y	Elderly	Male	African American	Renal cell carcinoma	kidney epithelial cell	cell	A704; A.704	curated
ABC-1	ABC-1	CVCL_1066	no available	Homo Sapiens	Lung	Pleural effusion	47Y	Adult	Male	Japanese	Lung adenocarcinoma	no available	cell	ABC1	curated
ACHN	ACHN	CVCL_1067	ACHN cell	Homo Sapiens	Kidney	Pleural effusion	22Y	Adult	Male	Caucasian	Kidney carcinoma; Papillary renal cell carcinoma	no available	cell	ACHN	curated
ACN	ACN	CVCL_1068	no available	Homo Sapiens	Peripheral Nervous System	no available	no available	no available	no available	Caucasian	Neuroblastoma	no available	cell	ACN	curated
ALL-PO	ALL-PO	CVCL_1069	no available	Homo Sapiens	Bone Marrow	Bone marrow	4M	no available	Female	Caucasian	B-cell acute lymphoblastic leukemia	no available	cell	ALLPO	curated
AM-38	AM-38	CVCL_1070	no available	Homo Sapiens	Brain	Left occipital lobe	36Y	Adult	Male	Japanese	Glioblastoma	no available	cell	AM38; AM	curated
AML-193	AML-193	CVCL_1071	AML-193 cell	Homo Sapiens	Blood	Peripheral blood	13Y	Juvenile	Female	African American and Caucasian	Childhood acute myeloid leukemia	no available	cell	AML193; AML193 CELL	curated
ARH-77	ARH-77	CVCL_1072	ARH-77 cell	Homo Sapiens	Blood	Peripheral blood	33Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	ARH77; ARH77 CELL; ARH 77	curated
ATN-1	ATN-1	CVCL_1073	no available	Homo Sapiens	Blood	Peripheral blood	47Y	Adult	Male	Japanese	Adult t acute lymphoblastic leukemia	T cell	cell	ATN1	curated
AU565	AU565	CVCL_1074	AU-565 cell	Homo Sapiens	Breast	Pleural effusion	43Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	AU 565; AU-565; AU565 CELL	curated
BALL-1	BALL-1	CVCL_1075	BALL-1 cell	Homo Sapiens	Blood	Peripheral blood	75Y	Elderly	Male	Japanese	B-cell adult acute lymphocytic leukemia	B cell	cell	B-CELL ACUTE LYMPHOBLASTIC LEUKEMIA-1; BALL1; BALL 1; BALL-1	curated
BB30-HNC	BB30-HNC	CVCL_1076	no available	Homo Sapiens	Head and Neck	no available	no available	no available	Female	Caucasian	Head and neck squamous cell carcinoma	no available	cell	BB30-SCCHN; BB30HNC; BB30 HNC	curated
BB49-HNC	BB49-HNC	CVCL_1077	no available	Homo Sapiens	Mouth	no available	70Y	Elderly	no available	Caucasian	Floor of mouth squamous cell carcinoma	no available	cell	BB49 HNC; BB49-SCCHN; BB49HNC	curated
BB65-RCC	BB65-RCC	CVCL_1078	no available	Homo Sapiens	Kidney	Kidney	no available	no available	Male	Caucasian	Renal cell carcinoma	no available	cell	BB65 RCC; CAJE; BB65RCC; BB65	curated
BC-1	BC-1	CVCL_1079	BC-1 cell	Homo Sapiens	Haematopoietic and Lymphoid	Ascites; Peritoneal cavity	46Y	Adult	Male	Caucasian	Primary effusion b-cell non-hodgkin lymphoma	B cell	cell	BC1	curated
BC-3	BC-3	CVCL_1080	BC-3 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	85Y	Elderly	Male	Caucasian	Primary effusion b-cell non-hodgkin lymphoma	no available	cell	BC3	curated
BE-13	BE-13	CVCL_1081	no available	Homo Sapiens	Blood	Peripheral blood	4Y	Children	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	BE-13; BE13	curated
BEN	BEN	CVCL_1082	BEN cell	Homo Sapiens	Lung	Supraclavicular lymph node	71Y	Elderly	Male	Caucasian	Non-small cell lung carcinoma	no available	cell	BEN	curated
BFTC-905	BFTC-905	CVCL_1083	no available	Homo Sapiens	Bladder	Urinary bladder	51Y	Adult	Female	Chinese; Taiwan	Bladder carcinoma	no available	cell	BLACK FOOT DISEASE TRANSITIONAL CARCINOMA 905; BFTC905; BFTC 905	curated
BFTC-909	BFTC-909	CVCL_1084	no available	Homo Sapiens	Kidney	Renal pelvis	64Y	Adult	Male	Chinese; Taiwan	Kidney carcinoma; Renal pelvis urothelial carcinoma	no available	cell	BFTC 909; BFTC909; BLACK FOOT DISEASE TRANSITIONAL CARCINOMA 909	curated
BHT-101	BHT-101	CVCL_1085	BHT-101 cell	Homo Sapiens	Thyroid	Lymph node	63Y	Adult	Female	Caucasian	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	BHT101	curated
BHY	BHY	CVCL_1086	BHY cell	Homo Sapiens	Alveolar Ridgey	Alveolar ridgey	52Y	Adult	Male	Japanese	Alveolar ridge squamous cell carcinoma	no available	cell	BHY	curated
BL-41	BL-41	CVCL_1087	BL-41 cell	Homo Sapiens	Haematopoietic and Lymphoid	no available	8Y	Children	Male	Caucasian	Burkitt lymphoma	B cell	cell	BL 41; IARC-BL41; BL41; IARC BL41; BL 041; IARC-BL-41; IARC/BL 41; IARC BL 41; IARC/BL41	curated
BL-70	BL-70	CVCL_1088	BL-70 cell	Homo Sapiens	Haematopoietic and Lymphoid	no available	16Y	Juvenile	Male	Caucasian	Burkitt lymphoma	B cell	cell	BL 70; IARC-BL70; IARC BL 70; BL70; IARC/BL 70; IARC BL70; IARC/BL70	curated
BOKU	BOKU	CVCL_1089	no available	Homo Sapiens	Cervix	Uterus	no available	no available	Female	Japanese	Human papillomavirus-related squamous cell carcinoma	no available	cell	BOKU	curated
BONNA-12	BONNA-12	CVCL_1090	no available	Homo Sapiens	Haematopoietic and Lymphoid	Spleen	46Y	Adult	Male	Caucasian	Hairy cell leukemia	no available	cell	BONNA12; BONNA-12	curated
BPH-1	BPH-1	CVCL_1091	BPH-1 cell	Homo Sapiens	Prostate	Prostate	68Y	Elderly	Male	Caucasian	Benign prostatic hyperplasia	no available	cell	BPH1 CELL; BPH1; BENIGN PROSTATIC HYPERPLASIA-1	curated
BT-549	BT-549	CVCL_1092	BT-549 cell	Homo Sapiens	Breast	Breast	72Y	Elderly	Female	Caucasian	Invasive breast carcinoma	no available	cell	BT 549; BT.549; BT-B; BT549; BT459 CELL	curated
Becker	Becker	CVCL_1093	no available	Homo Sapiens	Brain	Brain	57Y	Adult	Male	Caucasian	Brain astrocytoma	no available	cell	AK; BECKER	curated
C-33-A	C-33 A	CVCL_1094	C-33A cell	Homo Sapiens	Cervix	Uterus	66Y	Elderly	Female	Caucasian	Human papillomavirus-independent cervical squamous cell carcinoma	no available	cell	C33-A; C33A; C-33A; C-33-A; C33; C33A CELL	curated
C-4-II	C-4-II	CVCL_1095	no available	Homo Sapiens	Cervix	Cervix	41Y	Adult	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	no available	cell	C4 II; C-4II; C4II; C-4 II	curated
C2BBe1	C2BBe1	CVCL_1096	Caco-2/BBe cell	Homo Sapiens	Colon	Colon	72Y	Elderly	Male	Caucasian	Colon adenocarcinoma	no available	cell	CACO-2BBE1 CELL; CACO2BBE CELL; CACO-2 BRUSH BORDER EXPRESSING 1; CACO-2 BBE; CACO2-BBE; C2BBE 1; CACO-2/BBE 1; BBE; C2BBE1; CACO2BBE; C2BBE1 CELL; CACO-2 BBE CELL; CACO-2BBE CELL; CACO-2/BBE; CACO-2BBE	curated
C32	C32 [Human melanoma]	CVCL_1097	no available	Homo Sapiens	Skin	Skin	53Y	Adult	Male	Caucasian	Amelanotic melanoma	no available	cell	C32R; C32 MEL; C-32; C32-MEL	curated
C3A	Hep-G2/C3A	CVCL_1098	Hep-G2/C3A cell	Homo Sapiens	Liver	Liver	15Y	Juvenile	Male	Caucasian	Hepatoblastoma	no available	cell	HEP G2/C3A; HEPG2/C3A CELL; HEP-G2/C3A; C3A CELL; C3A; HEPG2/C3A	curated
C8166	C8166	CVCL_1099	no available	Homo Sapiens	Blood	Umbilical cord blood	<1D	no available	no available	Caucasian	Non-cancerous	no available	cell	C8166-CD4	curated
Ca-Ski	Ca Ski	CVCL_1100	CaSki cell	Homo Sapiens	Cervix	Small intestine	40Y	Adult	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	no available	cell	CA-SKI; CASKI; CA SKI CELL	curated
CA46	CA46	CVCL_1101	CA-46 cell	Homo Sapiens	Ascites	Ascites	no available	no available	Male	no available	Burkitt lymphoma	B cell	cell	CA 46; CA-46; CA46 CELL	curated
Ca9-22	Ca9-22	CVCL_1102	Ca9-22 cell	Homo Sapiens	Mouth	Gingivay	43Y	Adult	Male	Japanese	Gingival squamous cell carcinoma	no available	cell	CA 9-22; CA922; CA9-22	curated
CADO-ES1	CADO-ES1	CVCL_1103	no available	Homo Sapiens	Bone	Pleural effusion	19Y	Adult	Female	Japanese	Ewing sarcoma	no available	cell	ESCADO1; CADO-ES; CADOES1; CADO-ES-1; CENTER FOR ADULT DISEASES OSAKA-EWING SARCOMA 1; CADO ES1	curated
CAL-120	CAL-120	CVCL_1104	no available	Homo Sapiens	Breast	Pleural effusion	43Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	CAL120; CAL 120	curated
CAL-12T	CAL-12T	CVCL_1105	no available	Homo Sapiens	Lung	Lung	no available	no available	Male	Caucasian	Non-small cell lung carcinoma	no available	cell	CAL12T; CAL 12T; CAL 12; CAL.12T; CAL-12T; CENTRE ANTOINE LACASSAGNE-12T	curated
CAL-148	CAL-148	CVCL_1106	no available	Homo Sapiens	Breast	Pleural effusion	58Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	CAL148; CENTRE ANTOINE LACASSAGNE-148; CAL 148	curated
CAL-27	CAL-27	CVCL_1107	CAL-27 cell	Homo Sapiens	Mouth	Tongue	56Y	Adult	Male	Caucasian	Tongue adenosquamous carcinoma	no available	cell	CAL27 CELL; CAL 27 CELL; CAL27; CAL-27; CENTRE ANTOINE LACASSAGNE-27; CAL-27 OSCC CELL; CAL 27	curated
CAL-33	CAL-33	CVCL_1108	CAL-33 cell	Homo Sapiens	Mouth	Tongue	69Y	Elderly	Male	Caucasian	Tongue squamous cell carcinoma	no available	cell	CAL33; CAL 33; CENTRE ANTOINE LACASSAGNE-33; CAL-33	curated
CAL-39	CAL-39	CVCL_1109	no available	Homo Sapiens	Vulva	Vulva	76Y	Elderly	Female	Caucasian	Vulvar squamous cell carcinoma	no available	cell	CENTRE ANTOINE LACASSAGNE-39; CAL 39; CAL39	curated
CAL-51	CAL-51	CVCL_1110	CAL-51 cell	Homo Sapiens	Breast	Pleural effusion	45Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	CAL 51; CENTRE ANTOINE LACASSAGNE-51; CAL51	curated
CAL-54	CAL-54	CVCL_1111	no available	Homo Sapiens	Kidney	Pleural effusion	75Y	Elderly	Male	Caucasian	Renal cell carcinoma	no available	cell	CAL 54; CENTRE ANTOINE LACASSAGNE-54; CAL54	curated
CAL-62	CAL-62	CVCL_1112	CAL-62 cell	Homo Sapiens	Thyroid	Pleural effusion; Thyroid gland	70Y	Elderly	Female	Caucasian	Thyroid gland undifferentiated (anaplastic) carcinoma	no available	cell	CAL 62; CAL62; CAL-62; CENTRE ANTOINE LACASSAGNE-62	curated
CAL-72	CAL-72	CVCL_1113	CAL-72 cell	Homo Sapiens	Bone	Left knee; Patella	10Y	Children	Male	African	Osteosarcoma	no available	cell	CENTRE ANTOINE LACASSAGNE-72; CAL72 CELL; CAL72; CAL 72	curated
CAL-85-1	CAL-85-1	CVCL_1114	no available	Homo Sapiens	Breast	Breast	35Y	Adult	Female	Asian	Breast carcinoma	no available	cell	CAL85-1; CAL-85-1; CAL851; CAL 85-1; CENTRE ANTOINE LACASSAGNE-85-1	curated
CAMA-1	CAMA-1	CVCL_1115	CAMA-1 cell	Homo Sapiens	Breast	Pleural effusion	51Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	CAMA; CAMA1; CAMA-1	curated
CaR-1	CaR-1	CVCL_1116	CaR-1 cell	Homo Sapiens	Large Intestine	Left inguinal lymph node; Rectum	70Y	Elderly	Male	Japanese	Colorectal carcinoma	no available	cell	CAR1	curated
CAS-1	CAS-1	CVCL_1117	no available	Homo Sapiens	Brain	Brain	63Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	CAS1	curated
CCF-STTG1	CCF-STTG1	CVCL_1118	CCF-STTG1 cell	Homo Sapiens	Brain	Brain	68Y	Elderly	Female	Caucasian	Brain astrocytoma	no available	cell	STTG1; CCFSTTG1	curated
