Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]
PXD004940-Sample-28	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 28	proteomic profiling by mass spectrometry	151119_Q_Hela_01_01_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151119_Q_Hela_01_01_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-29	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 29	proteomic profiling by mass spectrometry	151119_Q_Hela_01_02_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151119_Q_Hela_01_02_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-30	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	2	cell	run 30	proteomic profiling by mass spectrometry	151119_Q_Hela_01_03_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151119_Q_Hela_01_03_1ug_50cm_HCD_IT_EasySpray_240min_3_ACN.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-31	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 31	proteomic profiling by mass spectrometry	151019_Q_Hela_01_01_1ug_50cm_CID_IT_EasySpray_90min_rep.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_01_01_1ug_50cm_CID_IT_EasySpray_90min_rep.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-32	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 32	proteomic profiling by mass spectrometry	151019_Q_Hela_01_02_1ug_50cm_CID_IT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_01_02_1ug_50cm_CID_IT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-33	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 33	proteomic profiling by mass spectrometry	151019_Q_Hela_01_03_1ug_50cm_CID_IT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_01_03_1ug_50cm_CID_IT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-34	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 34	proteomic profiling by mass spectrometry	151019_Q_Hela_02_01_1ug_50cm_CID_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_02_01_1ug_50cm_CID_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-35	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 35	proteomic profiling by mass spectrometry	151019_Q_Hela_02_02_1ug_50cm_CID_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_02_02_1ug_50cm_CID_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-36	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 36	proteomic profiling by mass spectrometry	151019_Q_Hela_02_03_1ug_50cm_CID_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_02_03_1ug_50cm_CID_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-37	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 37	proteomic profiling by mass spectrometry	151019_Q_Hela_03_01_1ug_50cm_HCD_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_03_01_1ug_50cm_HCD_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-38	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 38	proteomic profiling by mass spectrometry	151019_Q_Hela_03_02_1ug_50cm_HCD_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_03_02_1ug_50cm_HCD_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-39	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 39	proteomic profiling by mass spectrometry	151019_Q_Hela_03_03_1ug_50cm_HCD_FT_EasySpray_90min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151019_Q_Hela_03_03_1ug_50cm_HCD_FT_EasySpray_90min.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-40	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 40	proteomic profiling by mass spectrometry	151125_Q_Hela_02_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_02_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-41	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 41	proteomic profiling by mass spectrometry	151125_Q_Hela_02_02_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_02_02_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-42	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 42	proteomic profiling by mass spectrometry	151209_Q_Hela_02_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151209_Q_Hela_02_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_IT_Universal.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-43	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 43	proteomic profiling by mass spectrometry	151125_Q_Hela_04_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_04_01_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-44	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	3	cell	run 44	proteomic profiling by mass spectrometry	151125_Q_Hela_04_02_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_04_02_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap;AC=MS:1000449	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=Y;MT=Variable	7 ppm	0.5 Da	Hela cell
PXD004940-Sample-45	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	4	cell	run 45	proteomic profiling by mass spectrometry	151125_Q_Hela_04_03_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_04_03_50cm_EasySpray_90min_PhosphoEnriched_CIDMSA_OT.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-46	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	5	cell	run 46	proteomic profiling by mass spectrometry	151125_Q_Hela_01_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_01_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-47	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	6	cell	run 47	proteomic profiling by mass spectrometry	151125_Q_Hela_01_02_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_01_02_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-48	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	7	cell	run 48	proteomic profiling by mass spectrometry	151125_Q_Hela_01_04_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_01_04_50cm_EasySpray_90min_PhosphoEnriched_HCD_IT_Universal.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-49	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	8	cell	run 49	proteomic profiling by mass spectrometry	151209_Q_Hela_03_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151209_Q_Hela_03_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-50	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	9	cell	run 50	proteomic profiling by mass spectrometry	151125_Q_Hela_03_04_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_03_04_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-51	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	10	cell	run 51	proteomic profiling by mass spectrometry	151125_Q_Hela_03_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/151125_Q_Hela_03_01_50cm_EasySpray_90min_PhosphoEnriched_HCD_OT.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-52	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	11	cell	run 52	proteomic profiling by mass spectrometry	160719_Q_QC2H_ESES_01_01_Hela_1ug_1e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_Q_QC2H_ESES_01_01_Hela_1ug_1e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-53	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	12	cell	run 53	proteomic profiling by mass spectrometry	160719_S_ESES_02_01_Hela_1ug_4e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_S_ESES_02_01_Hela_1ug_4e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-54	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	13	cell	run 54	proteomic profiling by mass spectrometry	160719_S_ESES_01_02_Hela_1ug_1e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_S_ESES_01_02_Hela_1ug_1e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-55	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	14	cell	run 55	proteomic profiling by mass spectrometry	160719_S_ESES_02_02_Hela_1ug_4e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_S_ESES_02_02_Hela_1ug_4e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-56	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	15	cell	run 56	proteomic profiling by mass spectrometry	160719_S_ESES_01_03_Hela_1ug_1e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_S_ESES_01_03_Hela_1ug_1e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
PXD004940-Sample-57	Homo sapiens	Hela cell	not applicable	not applicable	not available	Crohn's disease	not available	not available	16	cell	run 57	proteomic profiling by mass spectrometry	160719_S_ESES_02_03_Hela_1ug_4e5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004940/160719_S_ESES_02_03_Hela_1ug_4e5.raw	1						NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1			NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable				
