source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[Condition BioReplicate]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Condition BioReplicate]
PXD001064-Sample-39	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-11-B	1	cell	run 39	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_007_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_007_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-11-B
PXD001064-Sample-40	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-11-B	1	cell	run 40	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_024_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_024_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-11-B
PXD001064-Sample-41	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-12-A	1	cell	run 41	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_009_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_009_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-12-A
PXD001064-Sample-42	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-12-A	1	cell	run 42	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_020_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_020_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-12-A
PXD001064-Sample-43	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-12-B	1	cell	run 43	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_010_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-12-B
PXD001064-Sample-44	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-12-B	1	cell	run 44	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_021_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-12-B
PXD001064-Sample-45	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-13-A	1	cell	run 45	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_004_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-13-A
PXD001064-Sample-46	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-13-A	1	cell	run 46	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_003_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_003_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-13-A
PXD001064-Sample-47	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-13-B	1	cell	run 47	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130116_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130116_005_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-13-B
PXD001064-Sample-48	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-13-B	1	cell	run 48	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_004_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-13-B
PXD001064-Sample-49	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-14-A	1	cell	run 49	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_035_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_035_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-14-A
PXD001064-Sample-50	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-14-A	1	cell	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_016_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_016_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-14-A
PXD001064-Sample-51	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-14-B	1	cell	run 51	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130211_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130211_021_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-14-B
PXD001064-Sample-52	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-14-B	1	cell	run 52	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_017_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_017_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-14-B
PXD001064-Sample-53	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-15-A	1	cell	run 53	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_025_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_025_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-15-A
PXD001064-Sample-54	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-15-A	1	cell	run 54	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_027_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_027_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-15-A
PXD001064-Sample-55	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-15-B	1	cell	run 55	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_028_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_028_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-15-B
PXD001064-Sample-56	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-15-B	1	cell	run 56	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_030_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_030_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-15-B
PXD001064-Sample-57	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-15-B	1	cell	run 57	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_032_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_032_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-15-B
PXD001064-Sample-58	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-16-A	1	cell	run 58	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_014_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_014_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-16-A
PXD001064-Sample-59	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-16-A	1	cell	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_010_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_010_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-16-A
PXD001064-Sample-60	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-16-B	1	cell	run 60	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_011_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-16-B
PXD001064-Sample-61	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-16-B	1	cell	run 61	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_011_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-16-B
PXD001064-Sample-62	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-17-A	1	cell	run 62	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_004_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_004_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-17-A
PXD001064-Sample-63	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-17-A	1	cell	run 63	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_001_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_001_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-17-A
PXD001064-Sample-64	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-17-B	1	cell	run 64	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_005_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-17-B
PXD001064-Sample-65	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-17-B	1	cell	run 65	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130220_013_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130220_013_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-17-B
PXD001064-Sample-66	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-18-A	1	cell	run 66	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130104_018_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130104_018_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-18-A
PXD001064-Sample-67	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-18-A	1	cell	run 67	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_008_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_008_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-18-A
PXD001064-Sample-68	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-18-B	1	cell	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130124_005_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130124_005_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-18-B
PXD001064-Sample-69	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-18-B	1	cell	run 69	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130319_011_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130319_011_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-18-B
PXD001064-Sample-70	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-19-A	1	cell	run 70	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_023_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_023_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-19-A
PXD001064-Sample-71	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-19-A	1	cell	run 71	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_007_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_007_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-19-A
PXD001064-Sample-72	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-19-B	1	cell	run 72	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130109_032_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130109_032_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-19-B
PXD001064-Sample-73	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-19-B	1	cell	run 73	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_008_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_008_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-19-B
PXD001064-Sample-74	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-20-A	1	cell	run 74	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_021_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_021_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-20-A
PXD001064-Sample-75	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-20-A	1	cell	run 75	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_027_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_027_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-20-A
PXD001064-Sample-76	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-20-B	1	cell	run 76	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130308_024_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130308_024_SW.mzML	2	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-20-B
PXD001064-Sample-77	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	CNT Twin pair-20-B	1	cell	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	yanliu_L130313_028_SW.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001064/yanliu_L130313_028_SW.mzML	1	1	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not available	50 ppm	0.5 Da	CNT Twin pair-20-B
