source Name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism]
PXD012636-Sample-81	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 81	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_1_150711015346.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_1_150711015346.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-82	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 82	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-83	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 83	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-84	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 84	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_4_150710230635.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_4_150710230635.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-85	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 85	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-86	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 86	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-87	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 87	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-88	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 88	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-89	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 89	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-90	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 90	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-91	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 91	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_11_150710085534.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_11_150710085534.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-92	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 92	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_12_150710142516.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Atria_Fraction_12_150710142516.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-93	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 93	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_1_150711034012.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_1_150711034012.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-94	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 94	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_2_150711003010.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_2_150711003010.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-95	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 95	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-96	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 96	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-97	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 97	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-98	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 98	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-99	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 99	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-100	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 100	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_8.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-101	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 101	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_9.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-102	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 102	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Left_Ventricle_Fraction_10.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-103	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 103	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_1_150710114013.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_1_150710114013.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-104	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 104	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-105	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 105	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-106	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 106	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_4_150710214251.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_4_150710214251.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-107	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 107	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-108	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 108	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_6.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
PXD012636-Sample-109	Equus caballus	heart	not applicable	not applicable	not available	not available	not available	not available	1	organism part	run 109	proteomic profiling by mass spectrometry	20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD012636/20150622_QE5_UPLC8_ALL_SA_Horse_Heart_3_Right_Atria_Fraction_7.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	AC=MS:1001251;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=Q;MT=Variable	HCD	4.5 ppm	20 ppm	Equus caballus
