source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[equalization]	characteristics[origin]	characteristics[individual]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[ion exchange method]	comment[salt step]	comment[fractionation method]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD026126-Sample 31	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 31	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_d.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F1_d.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 32	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 32	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 33	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 33	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 34	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 34	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F2_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 35	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 35	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 36	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 36	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 37	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 37	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F3_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 38	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 38	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 39	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 39	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 40	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 40	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F4_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 41	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 41	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 42	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 42	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 43	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 43	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F5_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 44	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 44	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 45	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 45	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 46	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 46	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_400_F6_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	400 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	6	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 47	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 47	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 48	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 48	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 49	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 49	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_d.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F1_d.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 50	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 50	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 51	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 51	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 52	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 52	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F2_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	2	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 53	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 53	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 54	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 54	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 55	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 55	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F3_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	3	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 56	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 56	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 57	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 57	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 58	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 58	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F4_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	4	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 59	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 59	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_a.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 60	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 60	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_b.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
PXD026126-Sample 61	Homo Sapiens	Blood	PBMC	whole cell	peripheral blood	1	not available	not available	not available	not available	normal	1	run 61	proteomic profiling by mass spectrometer	20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026126/20180615_rmi049_75idPLRPS_APA_PBMC_700_F5_c.raw	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	700 mM	AC=PRIDE:0000565;NT=High-performance liquid chromatography	5	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	10 ppm	2.2 Da	Blood
