Source Name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[enrichment method]	characteristics[enrichment process]	characteristics[synthetic peptide]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 202	ES_XP_MB_415.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_415.raw	41	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 203	ES_XP_MB_416.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_416.raw	42	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 204	ES_XP_MB_417.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_417.raw	43	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 205	ES_XP_MB_418.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_418.raw	44	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 206	ES_XP_MB_419.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_419.raw	45	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 207	ES_XP_MB_420.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_420.raw	46	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 208	ES_XP_MB_421.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_421.raw	47	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 209	ES_XP_MB_422.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_422.raw	48	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 210	ES_XP_MB_423.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_423.raw	49	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 211	ES_XP_MB_424.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_424.raw	50	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 212	ES_XP_MB_425.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_425.raw	51	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 213	ES_XP_MB_426.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_426.raw	52	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 214	ES_XP_MB_427.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_427.raw	53	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
PXD002255-Sample-1	Homo sapiens	uterine cervix	31Y	adult	black	HeLa	not applicable	female	cervical cancer	ChIRP	enrichment of mRNA binding protein	no synthetic	1	run 215	ES_XP_MB_428.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_MB_428.raw	54	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	40% NCE	20 ppm	0.05 Da	HeLa
