source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cause of death]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 38	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_1_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_1_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 39	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_1_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_1_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 40	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_2_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_2_001.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 41	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_2_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_2_002.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 42	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_2_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_2_003.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 43	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_3_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_3_001.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 44	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_3_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_3_002.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 45	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_3_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_3_003.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 46	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_4_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_4_001.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 47	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_4_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_4_002.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 48	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_4_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_4_003.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 49	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_5_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_5_001.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 50	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_5_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_5_002.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 51	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_5_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_5_003.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 52	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_6_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_6_001.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 53	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_6_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_6_002.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 54	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_6_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_6_003.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 55	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_7_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_7_001.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 56	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_7_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_7_002.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 57	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_7_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_7_003.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 58	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_8_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_8_001.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 59	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_8_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_8_002.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 60	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_8_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_8_003.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-7	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	7	ms run 61	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_9_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_9_001.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-8	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	8	ms run 62	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_9_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_9_002.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-9	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	9	ms run 63	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_9_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_9_003.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-10	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	10	ms run 64	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_FT_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_FT_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-11	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	11	ms run 65	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_FT_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_FT_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-12	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	12	ms run 66	proteomic profiling by mass spectrometry	0993_Mercury_20201124_120_131_7737_Apex_FT_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/0993_Mercury_20201124_120_131_7737_Apex_FT_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-13	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	13	ms run 67	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14051Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14051Apex_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-14	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	14	ms run 68	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14051Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14051Apex_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-15	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	15	ms run 69	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14051Apex_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14051Apex_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-16	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	16	ms run 70	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14083Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14083Apex_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-17	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	17	ms run 71	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14083Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14083Apex_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-18	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	18	ms run 72	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14083Apex_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14083Apex_003.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-19	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	19	ms run 73	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14208Apex_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14208Apex_001.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
MSV000087095-Sample-20	Homo sapiens	Heart	Heart Apex	whole tissue	not available	not available	not available	not available	not available	not available	20	ms run 74	proteomic profiling by mass spectrometry	993_Mercury_20201204_120_131_7735_14208Apex_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201204_120_131_7735_14208Apex_002.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	20 ppm	0.05 Da	heart
