source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	assay name	comment[technical replicate]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[file URI]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[Label]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD019263-Sample 17	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 50	2	17	PXD019263	/apps/WDDD/PXD019263/HepG2_19_191221150038.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_19_191221150038.raw	HepG2
PXD019263-Sample 17	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 51	3	17	PXD019263	/apps/WDDD/PXD019263/HepG2_19_191221160309.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_19_191221160309.raw	HepG2
PXD019263-Sample 18	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 52	1	18	PXD019263	/apps/WDDD/PXD019263/HepG2_20.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_20.raw	HepG2
PXD019263-Sample 18	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 53	2	18	PXD019263	/apps/WDDD/PXD019263/HepG2_20_191221170538.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_20_191221170538.raw	HepG2
PXD019263-Sample 18	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 54	3	18	PXD019263	/apps/WDDD/PXD019263/HepG2_20_191221180810.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_20_191221180810.raw	HepG2
PXD019263-Sample 19	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 55	1	19	PXD019263	/apps/WDDD/PXD019263/HepG2_21.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_21.raw	HepG2
PXD019263-Sample 19	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 56	2	19	PXD019263	/apps/WDDD/PXD019263/HepG2_21_191221191041.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_21_191221191041.raw	HepG2
PXD019263-Sample 19	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 57	3	19	PXD019263	/apps/WDDD/PXD019263/HepG2_21_191221201312.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_21_191221201312.raw	HepG2
PXD019263-Sample 20	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 58	1	20	PXD019263	/apps/WDDD/PXD019263/HepG2_22.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_22.raw	HepG2
PXD019263-Sample 20	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 59	2	20	PXD019263	/apps/WDDD/PXD019263/HepG2_22_191221211543.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_22_191221211543.raw	HepG2
PXD019263-Sample 20	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 60	3	20	PXD019263	/apps/WDDD/PXD019263/HepG2_22_191221221814.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_22_191221221814.raw	HepG2
PXD019263-Sample 21	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 61	1	21	PXD019263	/apps/WDDD/PXD019263/HepG2_23-25.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_23-25.raw	HepG2
PXD019263-Sample 21	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 62	2	21	PXD019263	/apps/WDDD/PXD019263/HepG2_23-25_191222012542.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_23-25_191222012542.raw	HepG2
PXD019263-Sample 21	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 63	3	21	PXD019263	/apps/WDDD/PXD019263/HepG2_23-25_191222022813.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_23-25_191222022813.raw	HepG2
PXD019263-Sample 22	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 64	1	22	PXD019263	/apps/WDDD/PXD019263/HepG2_complex_sample_r1.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_complex_sample_r1.raw	HepG2
PXD019263-Sample 22	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 65	2	22	PXD019263	/apps/WDDD/PXD019263/HepG2_complex_sample_r2.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_complex_sample_r2.raw	HepG2
PXD019263-Sample 22	homo sapiens	not available	not available	not available	not available	not available	not available	not available	HepG2	not available	not available	run 66	3	22	PXD019263	/apps/WDDD/PXD019263/HepG2_complex_sample_r3.raw	NT=Q Exactive HF-X;AC=MS:1002877	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	NT=CID;AC=MS:1000133	not available	not available	29 NCE	HepG2_complex_sample_r3.raw	HepG2
